Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-35.0,NaN,25.2,,,,
0.0600,3,-51.2,0.0180,25.2,,,,
0.1200,23,-32.7,0.0030,25.3,,,,
0.1800,44,-11.9,0.0030,25.3,,,,
0.2400,64,0.9,0.0030,25.3,,,,
0.3000,84,10.1,0.0030,25.3,,,,
0.3600,104,17.9,0.0030,25.3,,,,
0.4200,124,25.2,0.0030,25.3,,,,
0.4800,144,31.8,0.0030,25.3,,,,
0.5400,164,37.8,0.0030,25.3,,,,
0.6000,184,43.4,0.0030,25.3,,,,
0.6600,205,48.7,0.0030,25.3,,,,
0.7200,225,53.6,0.0030,25.3,,,,
0.7800,244,58.5,0.0030,25.3,,,,
0.8400,263,63.7,0.0030,25.3,,,,
0.9000,283,69.0,0.0030,25.3,,,,
0.9600,302,74.6,0.0030,25.3,,,,
1.0200,320,80.8,0.0035,25.3,,,,
1.0800,337,88.0,0.0035,25.3,,,,
1.1400,355,96.8,0.0035,25.3,,,,
1.2000,370,108.0,0.0040,25.3,252.50,2.40,,
1.2600,384,124.2,0.0040,25.3,305.38,2.48,,
1.3200,395,147.8,0.0055,25.3,334.01,2.52,,
1.3800,402,170.9,0.0080,25.3,318.93,2.50,,
1.4400,408,185.4,0.0095,25.2,257.32,2.41,,
1.4700,504,190.4,0.0005,25.3,205.30,2.31,,
1.5000,510,195.0,0.0050,25.3,145.88,2.16,,
1.5300,515,198.8,0.0060,25.3,111.70,2.05,,
1.5600,521,202.1,0.0050,25.3,102.58,2.01,,
1.5900,526,205.1,0.0055,25.3,93.94,1.97,,
1.6200,532,207.7,0.0055,25.3,84.31,1.93,,
1.6500,537,210.3,0.0065,25.2,77.31,1.89,,
1.6800,542,212.5,0.0065,25.2,71.30,1.85,,
1.7100,547,214.4,0.0065,25.2,66.05,1.82,,
1.7400,552,216.4,0.0060,25.3,61.26,1.79,,
1.7700,557,218.2,0.0060,25.2,56.87,1.75,,
1.8000,562,219.9,0.0060,25.2,53.63,1.73,,
1.8300,567,221.4,0.0060,25.2,49.56,1.70,,
1.8600,572,222.8,0.0060,25.2,46.41,1.67,,
1.8900,577,224.2,0.0055,25.2,44.82,1.65,,
1.9200,582,225.5,0.0055,25.2,43.08,1.63,,
1.9500,587,226.7,0.0055,25.2,41.52,1.62,,
1.9800,592,228.1,0.0055,25.2,39.72,1.60,,
2.0100,598,229.2,0.0055,25.2,37.22,1.57,,
2.0400,603,230.2,0.0065,25.2,35.67,1.55,,
2.0700,608,231.3,0.0060,25.2,,,,
2.1000,613,232.3,0.0060,25.2,,,,
2.1300,618,233.2,0.0060,25.2,,,,
2.1600,623,234.3,0.0060,25.2,,,,
2.1900,628,235.1,0.0060,25.2,,,,
SystemInternal6/27/2024 10:58:55 AM,,,,,,,,1/1
