Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-87.5,NaN,21.8,,,,
0.0600,8,-89.9,0.0080,21.6,,,,
0.1200,26,-82.8,0.0035,21.6,,,,
0.1800,46,-74.0,0.0030,21.6,,,,
0.2400,66,-62.9,0.0030,21.6,,,,
0.3000,86,-48.1,0.0030,21.7,,,,
0.3600,106,-26.5,0.0030,21.7,,,,
0.4200,127,-5.7,0.0030,21.8,,,,
0.4800,147,6.8,0.0030,21.8,,,,
0.5400,167,16.8,0.0030,21.9,,,,
0.6000,187,25.4,0.0030,21.9,,,,
0.6600,207,33.4,0.0030,22.0,,,,
0.7200,227,41.0,0.0030,22.0,,,,
0.7800,247,48.6,0.0030,22.0,,,,
0.8400,268,56.1,0.0030,22.1,,,,
0.9000,288,63.4,0.0030,22.1,,,,
0.9600,308,71.3,0.0030,22.2,,,,
1.0200,328,80.0,0.0030,22.2,,,,
1.0800,348,89.8,0.0030,22.3,,,,
1.1400,368,102.6,0.0030,22.3,289.91,2.46,,
1.2000,387,121.6,0.0030,22.3,342.47,2.53,,
1.2600,398,149.5,0.0055,22.3,364.68,2.56,,
1.3200,406,172.5,0.0075,22.4,336.05,2.53,,
1.3800,413,186.3,0.0090,22.4,257.28,2.41,,
1.4100,509,191.4,0.0005,22.5,194.73,2.29,,
1.4400,515,195.6,0.0055,22.5,131.39,2.12,,
1.4700,520,199.2,0.0060,22.6,105.61,2.02,,
1.5000,525,202.4,0.0055,22.6,97.69,1.99,,
1.5300,530,205.3,0.0055,22.6,89.41,1.95,,
1.5600,536,207.8,0.0050,22.6,81.39,1.91,,
1.5900,542,210.2,0.0055,22.6,74.11,1.87,,
1.6200,547,212.3,0.0060,22.6,68.16,1.83,,
1.6500,553,214.3,0.0050,22.6,63.38,1.80,,
1.6800,558,216.1,0.0060,22.6,59.41,1.77,,
1.7100,563,217.8,0.0060,22.6,55.42,1.74,,
1.7400,568,219.5,0.0055,22.6,52.13,1.72,,
1.7700,574,221.0,0.0055,22.7,48.75,1.69,,
1.8000,579,222.4,0.0065,22.7,45.76,1.66,,
1.8300,584,223.7,0.0065,22.7,43.47,1.64,,
1.8600,589,225.0,0.0060,22.7,41.62,1.62,,
1.8900,594,226.2,0.0060,22.7,40.13,1.60,,
1.9200,599,227.4,0.0060,22.7,38.33,1.58,,
1.9500,604,228.6,0.0060,22.7,36.66,1.56,,
1.9800,609,229.6,0.0055,22.7,34.95,1.54,,
2.0100,614,230.6,0.0055,22.7,33.67,1.53,,
2.0400,620,231.6,0.0055,22.7,,,,
2.0700,625,232.6,0.0065,22.7,,,,
2.1000,630,233.5,0.0060,22.8,,,,
2.1300,635,234.4,0.0060,22.8,,,,
2.1600,640,235.2,0.0060,22.8,,,,
SystemInternal6/28/2024 7:57:25 AM,,,,,,,,1/1
