Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-75.9,NaN,24.5,,,,
0.0600,10,-77.3,0.0060,24.5,,,,
0.1200,30,-68.4,0.0030,24.5,,,,
0.1800,51,-57.2,0.0030,24.5,,,,
0.2400,71,-41.5,0.0030,24.5,,,,
0.3000,91,-20.8,0.0030,24.5,,,,
0.3600,111,-3.8,0.0030,24.6,,,,
0.4200,131,7.4,0.0030,24.6,,,,
0.4800,151,16.5,0.0030,24.6,,,,
0.5400,171,24.2,0.0030,24.6,,,,
0.6000,192,31.2,0.0030,24.6,,,,
0.6600,212,37.8,0.0030,24.6,,,,
0.7200,232,43.9,0.0030,24.7,,,,
0.7800,252,49.9,0.0030,24.7,,,,
0.8400,272,55.8,0.0030,24.7,,,,
0.9000,292,61.6,0.0030,24.7,,,,
0.9600,312,67.7,0.0030,24.7,,,,
1.0200,332,74.0,0.0030,24.7,,,,
1.0800,351,80.7,0.0030,24.8,,,,
1.1400,371,88.7,0.0030,24.8,,,,
1.2000,388,98.0,0.0035,24.8,,,,
1.2600,405,110.6,0.0035,24.8,277.25,2.44,,
1.3200,419,129.5,0.0045,24.8,324.24,2.51,,
1.3800,429,155.0,0.0060,24.8,340.15,2.53,,
1.4400,436,175.8,0.0085,24.8,309.56,2.49,,
1.5000,442,188.4,0.0095,24.8,235.54,2.37,,
1.5300,539,193.2,0.0005,24.9,178.90,2.25,,
1.5600,544,197.3,0.0060,24.9,125.64,2.10,,
1.5900,549,200.8,0.0060,24.9,104.07,2.02,,
1.6200,555,204.0,0.0055,24.9,96.91,1.99,,
1.6500,560,206.8,0.0060,24.9,88.13,1.95,,
1.6800,565,209.3,0.0055,24.9,80.07,1.90,,
1.7100,571,211.6,0.0055,24.9,73.30,1.87,,
1.7400,576,213.7,0.0065,24.9,67.50,1.83,,
1.7700,581,215.7,0.0060,24.9,62.89,1.80,,
1.8000,586,217.5,0.0060,24.9,58.56,1.77,,
1.8300,591,219.2,0.0060,24.9,54.75,1.74,,
1.8600,596,220.8,0.0055,24.9,51.61,1.71,,
1.8900,601,222.3,0.0055,24.9,48.75,1.69,,
1.9200,606,223.7,0.0055,24.9,46.66,1.67,,
1.9500,612,225.1,0.0055,24.9,44.14,1.64,,
1.9800,617,226.4,0.0065,24.9,41.79,1.62,,
2.0100,622,227.6,0.0060,24.9,39.48,1.60,,
2.0400,627,228.8,0.0060,24.9,37.28,1.57,,
2.0700,632,229.8,0.0060,24.9,35.61,1.55,,
2.1000,637,230.9,0.0055,24.9,34.48,1.54,,
2.1300,642,231.9,0.0055,25.0,,,,
2.1600,648,232.9,0.0055,25.0,,,,
2.1900,653,233.9,0.0065,25.0,,,,
2.2200,658,234.8,0.0065,25.0,,,,
2.2500,663,235.7,0.0065,25.0,,,,
6/28/2024 7:40:19 AMSystemInternal,,,,,,,,1/1
