Sample.ID1,Weight,Salinity
Junk,60.197,36.4
CRM,60.457,33.6
Junk2,60.081,36.4
Tank1_Initial_0626_1200,60.453,36.4
Tank2_Initial_0626_1200,60.239,36.4
Tank3_Initial_0626_1200,59.939,36.4
Tank4_Initial_0626_1200,60.174,36.4
Tank5_Initial_0626_1200,59.958,36.4
Tank6_Initial_0626_1200,60.176,36.4
Tank7_Initial_0626_1200,60.34,36.4
Tank8_Initial_0626_1200,60.081,36.4
Junk3,60.11,36.4
Tank9_Initial_0626_1200,60.103,36.4
Tank10_Initial_0626_1200,60.073,36.4
Tank11_Initial_0626_1200,60.351,36.4
Tank12_Initial_0626_1200,60.334,36.4
Tank13_Initial_0626_1200,60.024,36.4
Tank14_Initial_0626_1200,60.299,36.4
Tank15_Initial_0626_1200,59.906,36.4
Tank16_Initial_0626_1200,60.103,36.4
Junk4,60.464,36.4
C1_End_0626_1400,60.296,36.4
C2_End_0626_1400,60.233,36.4
C3_End_0626_1400,60.14,36.4
C4_End_0626_1400,60.134,36.4
C5_End_0626_1400,59.95,36.4
C6_End_0626_1400,60.352,36.4
C7_End_0626_1400,60.089,36.4
C8_End_0626_1400,59.951,36.4
