Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-73.8,NaN,24.0,,,,
0.0600,12,-75.0,0.0050,24.0,,,,
0.1200,32,-65.8,0.0030,24.1,,,,
0.1800,52,-53.7,0.0030,24.1,,,,
0.2400,73,-37.3,0.0030,24.1,,,,
0.3000,93,-16.5,0.0030,24.1,,,,
0.3600,113,-0.8,0.0030,24.1,,,,
0.4200,133,9.7,0.0030,24.1,,,,
0.4800,153,18.1,0.0030,24.1,,,,
0.5400,173,25.5,0.0030,24.2,,,,
0.6000,193,32.2,0.0030,24.2,,,,
0.6600,214,38.5,0.0030,24.2,,,,
0.7200,234,44.7,0.0030,24.2,,,,
0.7800,254,50.4,0.0030,24.2,,,,
0.8400,274,56.1,0.0030,24.2,,,,
0.9000,294,61.8,0.0030,24.2,,,,
0.9600,314,67.7,0.0030,24.3,,,,
1.0200,334,73.9,0.0030,24.3,,,,
1.0800,353,80.4,0.0030,24.3,,,,
1.1400,372,88.1,0.0030,24.3,,,,
1.2000,390,97.3,0.0030,24.3,,,,
1.2600,406,109.2,0.0040,24.3,269.16,2.43,,
1.3200,420,127.0,0.0040,24.3,319.12,2.50,,
1.3800,430,152.4,0.0060,24.3,339.53,2.53,,
1.4400,437,174.1,0.0080,24.3,313.92,2.50,,
1.5000,443,187.3,0.0105,24.3,243.35,2.39,,
1.5300,539,191.9,0.0005,24.4,186.92,2.27,,
1.5600,544,196.1,0.0055,24.4,130.08,2.11,,
1.5900,550,199.8,0.0050,24.4,105.57,2.02,,
1.6200,555,203.0,0.0060,24.4,98.88,2.00,,
1.6500,560,205.9,0.0060,24.4,90.72,1.96,,
1.6800,565,208.5,0.0055,24.4,81.39,1.91,,
1.7100,570,210.8,0.0055,24.4,74.26,1.87,,
1.7400,576,212.9,0.0055,24.4,68.50,1.84,,
1.7700,581,214.9,0.0065,24.4,63.55,1.80,,
1.8000,586,216.8,0.0060,24.4,59.22,1.77,,
1.8300,591,218.5,0.0060,24.4,55.42,1.74,,
1.8600,596,220.1,0.0060,24.4,51.76,1.71,,
1.8900,601,221.6,0.0060,24.4,48.75,1.69,,
1.9200,606,223.0,0.0060,24.4,46.81,1.67,,
1.9500,611,224.4,0.0060,24.4,44.81,1.65,,
1.9800,616,225.7,0.0055,24.4,42.65,1.63,,
2.0100,621,227.0,0.0055,24.4,40.34,1.61,,
2.0400,626,228.2,0.0055,24.4,37.94,1.58,,
2.0700,632,229.2,0.0055,24.4,35.95,1.56,,
2.1000,637,230.3,0.0065,24.4,34.48,1.54,,
2.1300,642,231.3,0.0060,24.4,,,,
2.1600,647,232.3,0.0060,24.5,,,,
2.1900,652,233.3,0.0060,24.5,,,,
2.2200,657,234.2,0.0060,24.5,,,,
2.2500,662,235.1,0.0060,24.5,,,,
6/28/2024 7:18:35 AMSystemInternal,,,,,,,,1/1
