Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-69.8,NaN,23.6,,,,
0.0600,8,-73.8,0.0075,23.4,,,,
0.1200,28,-64.0,0.0030,23.5,,,,
0.1800,48,-51.4,0.0030,23.5,,,,
0.2400,68,-33.0,0.0030,23.5,,,,
0.3000,89,-11.6,0.0030,23.5,,,,
0.3600,109,2.2,0.0030,23.5,,,,
0.4200,129,12.0,0.0030,23.6,,,,
0.4800,149,20.3,0.0030,23.6,,,,
0.5400,169,27.6,0.0030,23.6,,,,
0.6000,189,34.5,0.0030,23.6,,,,
0.6600,209,40.8,0.0030,23.6,,,,
0.7200,230,46.9,0.0030,23.7,,,,
0.7800,250,52.9,0.0030,23.7,,,,
0.8400,270,58.8,0.0030,23.7,,,,
0.9000,290,64.7,0.0030,23.7,,,,
0.9600,310,70.9,0.0030,23.7,,,,
1.0200,330,77.5,0.0030,23.8,,,,
1.0800,348,85.0,0.0035,23.8,,,,
1.1400,368,94.1,0.0030,23.8,,,,
1.2000,384,105.3,0.0035,23.8,256.41,2.41,,
1.2600,399,121.4,0.0040,23.8,311.45,2.49,,
1.3200,411,145.8,0.0050,23.8,341.97,2.53,,
1.3800,419,169.8,0.0075,23.8,327.57,2.52,,
1.4400,425,184.7,0.0095,23.8,264.69,2.42,,
1.4700,522,189.7,0.0005,23.9,210.60,2.32,,
1.5000,528,194.2,0.0055,23.9,147.41,2.17,,
1.5300,533,198.1,0.0065,23.9,111.94,2.05,,
1.5600,538,201.5,0.0060,23.9,103.00,2.01,,
1.5900,545,204.5,0.0040,23.9,94.99,1.98,,
1.6200,550,207.2,0.0055,23.9,84.86,1.93,,
1.6500,556,209.7,0.0050,23.9,77.25,1.89,,
1.6800,561,211.8,0.0055,23.9,70.59,1.85,,
1.7100,566,213.9,0.0055,24.0,65.55,1.82,,
1.7400,572,215.8,0.0050,24.0,61.42,1.79,,
1.7700,578,217.6,0.0055,24.0,57.37,1.76,,
1.8000,583,219.2,0.0060,24.0,53.99,1.73,,
1.8300,588,220.9,0.0060,24.0,50.09,1.70,,
1.8600,593,222.3,0.0055,24.0,47.41,1.68,,
1.8900,598,223.6,0.0055,24.0,44.97,1.65,,
1.9200,604,225.0,0.0055,24.0,42.79,1.63,,
1.9500,609,226.2,0.0065,24.0,41.13,1.61,,
1.9800,614,227.5,0.0065,24.0,39.68,1.60,,
2.0100,620,228.6,0.0055,24.0,37.65,1.58,,
2.0400,625,229.7,0.0065,24.0,35.29,1.55,,
2.0700,630,230.8,0.0065,24.0,33.79,1.53,,
2.1000,635,231.7,0.0065,24.0,,,,
2.1300,640,232.7,0.0060,24.0,,,,
2.1600,645,233.6,0.0060,24.0,,,,
2.1900,650,234.6,0.0060,24.0,,,,
2.2200,655,235.5,0.0060,24.0,,,,
6/27/2024 10:58:41 AMSystemInternal,,,,,,,,1/1
