SAMPLEID,CORAL_NUM,GENOTYPE,TREATMENT,VOLUME(ML),BP(G),BP+DR(G),DTB(G),BP+BR(G),AFDW
N_43_a,43,N,Coral_Dom,1,0.9651,0.9897,0.0246,0.9836,0.0061
N_43_b,43,N,Coral_Dom,1,0.9632,0.989,0.0258,0.9821,0.0069
C_46,46,C,Algae_Dom,1,0.9797,1.0302,0.0505,1.0188,0.0114
C_46_a,46,C,Algae_Dom,1,0.9824,1.0341,0.0517,1.0198,0.0143
C_46_b,46,C,Algae_Dom,1,0.9662,1.0202,0.054,1.0053,0.0149
C_48,48,C,Control,1,0.9731,1.0151,0.042,1.0074,0.0077
C_48_a,48,C,Control,1,0.9669,1.0103,0.0434,1.0009,0.0094
C_48_b,48,C,Control,1,0.9696,1.0143,0.0447,1.0048,0.0095
I_50,50,I,Rubble_Dom,1,0.971,1.0049,0.0339,0.9976,0.0073
I_50_a,50,I,Rubble_Dom,1,0.9663,1.0011,0.0348,0.9929,0.0082
I_50_b,50,I,Rubble_Dom,1,0.9711,1.0082,0.0371,0.9981,0.0101
F_51,51,F,Coral_Dom,1,0.7938,0.8174,0.0236,0.8119,0.0055
F_51_a,51,F,Coral_Dom,1,0.9851,1.0082,0.0231,1.0029,0.0053
F_51_b,51,F,Coral_Dom,1,0.9802,1.0046,0.0244,0.9994,0.0052
L_53,53,L,Algae_Dom,1,0.9713,0.9959,0.0246,0.9892,0.0067
L_53_a,53,L,Algae_Dom,1,0.9714,0.9959,0.0245,0.9891,0.0068
L_53_b,53,L,Algae_Dom,1,0.9717,0.9973,0.0256,0.9902,0.0071
D_55,55,D,Pre,1,0.9633,0.9982,0.0349,0.9911,0.0071
D_55_a,55,D,Pre,1,0.9612,0.9975,0.0363,0.9894,0.0081
D_55_b,55,D,Pre,1,0.9642,1.001,0.0368,0.9931,0.0079
A_56,56,A,Algae_Dom,1,0.7971,0.8283,0.0312,0.8195,0.0088
A_56_a,56,A,Algae_Dom,1,0.9719,0.9907,0.0188,0.9862,0.0045
A_56_b,56,A,Algae_Dom,1,0.9703,0.9885,0.0182,0.9841,0.0044
Q_57,57,Q,Pre,1,0.9864,1.0263,0.0399,1.0175,0.0088
Q_57_a,57,Q,Pre,1,0.9672,1.0073,0.0401,0.9983,0.009
Q_57_b,57,Q,Pre,1,0.9646,1.0064,0.0418,0.9972,0.0092
A_58,58,A,Control,1,0.9775,0.9937,0.0162,0.9922,0.0015
A_58_a,58,A,Control,1,0.9821,1.0009,0.0188,0.9961,0.0048
A_58_b,58,A,Control,1,0.952,0.9709,0.0189,0.9661,0.0048
K_59,59,K,Algae_Dom,1,0.7957,0.8366,0.0409,0.8245,0.0121
K_59_a,59,K,Algae_Dom,1,0.969,1.0042,0.0352,0.9947,0.0095
K_59_b,59,K,Algae_Dom,1,0.971,1.0071,0.0361,0.9975,0.0096
J_60,60,J,Control,1,0.9756,1.003,0.0274,0.9967,0.0063
J_60_a,60,J,Control,1,0.9731,0.9975,0.0244,0.9901,0.0074
J_60_b,60,J,Control,1,0.9602,0.9842,0.024,0.9772,0.007
K_64,64,K,Control,1,0.7859,0.8191,0.0332,0.8121,0.007
K_64_a,64,K,Control,1,0.9724,1.006,0.0336,0.9979,0.0081
K_64_b,64,K,Control,1,0.9622,0.9957,0.0335,0.9881,0.0076
R_66,66,R,Control,1,0.9867,1.0176,0.0309,1.0106,0.007
R_66_a,66,R,Control,1,0.9747,1.0023,0.0276,0.9946,0.0077
R_66_b,66,R,Control,1,0.9732,1.0015,0.0283,0.9931,0.0084
U_67,67,U,Pre,1,0.9768,1.0174,0.0406,1.0083,0.0091
U_67_a,67,U,Pre,1,0.9601,1.0055,0.0454,0.9914,0.0141
U_67_b,67,U,Pre,1,0.9719,1.0186,0.0467,1.0035,0.0151
F_68,68,F,Control,1,0.974,1.0089,0.0349,0.9988,0.0101
F_68_a,68,F,Control,1,0.9686,1.0033,0.0347,0.9935,0.0098
F_68_b,68,F,Control,1,0.966,1.0004,0.0344,0.9905,0.0099
M_71,71,M,Coral_Dom,1,0.7849,0.8294,0.0445,0.8176,0.0118
M_71_a,71,M,Coral_Dom,1,0.9881,1.0316,0.0435,1.0211,0.0105
M_71_b,71,M,Coral_Dom,1,0.9834,1.0282,0.0448,1.0174,0.0108
B_73,73,B,Rubble_Dom,1,0.799,0.8301,0.0311,0.8217,0.0084
B_73_a,73,B,Rubble_Dom,1,0.965,0.9958,0.0308,0.9878,0.008
B_73_b,73,B,Rubble_Dom,1,0.9718,1.0034,0.0316,0.996,0.0074
E_74,74,E,Rubble_Dom,1,0.976,1.0128,0.0368,1.0028,0.01
E_74_a,74,E,Rubble_Dom,1,0.9634,0.9972,0.0338,0.9848,0.0124
E_74_b,74,E,Rubble_Dom,1,0.974,1.0083,0.0343,0.9954,0.0129
K_76,76,K,Coral_Dom,1,0.9758,0.9993,0.0235,0.9952,0.0041
K_76_a,76,K,Coral_Dom,1,0.9757,0.9932,0.0175,0.9892,0.004
K_76_b,76,K,Coral_Dom,1,0.9812,0.9987,0.0175,0.9947,0.004
L_78,78,L,Control,1,0.9792,1.0112,0.032,1.0034,0.0078
L_78_a,78,L,Control,1,0.9697,1.0022,0.0325,0.9946,0.0076
L_78_b,78,L,Control,1,0.9661,0.9989,0.0328,0.9912,0.0077
S_80,80,S,Rubble_Dom,1,0.9812,1.0307,0.0495,1.0182,0.0125
S_80_a,80,S,Rubble_Dom,1,0.9625,1.0168,0.0543,0.9984,0.0184
S_80_b,80,S,Rubble_Dom,1,0.9764,1.0315,0.0551,1.0129,0.0186
A_82,82,A,Pre,1,0.9555,0.9926,0.0371,0.9832,0.0094
A_82_a,82,A,Pre,1,0.967,1.0076,0.0406,0.9977,0.0099
A_82_b,82,A,Pre,1,0.9743,1.0146,0.0403,1.0048,0.0098
S_83,83,S,Pre,1,0.9825,1.0098,0.0273,1.0039,0.0059
S_83_a,83,S,Pre,1,0.9663,0.9984,0.0321,0.989,0.0094
S_83_b,83,S,Pre,1,0.9684,1.0002,0.0318,0.9907,0.0095
E_85,85,E,Control,1,0.9824,1.0148,0.0324,1.0064,0.0084
E_85_a,85,E,Control,1,0.965,0.9839,0.0189,0.9777,0.0062
E_85_b,85,E,Control,1,0.9522,0.9711,0.0189,0.9651,0.006
E_86,86,E,Algae_Dom,1,0.9862,1.0382,0.052,1.0236,0.0146
E_86_a,86,E,Algae_Dom,1,0.9722,1.0257,0.0535,1.0106,0.0151
E_86_b,86,E,Algae_Dom,1,0.9675,1.0209,0.0534,1.0059,0.015
G_90,90,G,Rubble_Dom,1,0.7869,0.8202,0.0333,0.8119,0.0083
G_90_a,90,G,Rubble_Dom,1,0.9655,0.9954,0.0299,0.9887,0.0067
G_90_b,90,G,Rubble_Dom,1,0.969,1.0007,0.0317,0.9934,0.0073
G_91,91,G,Pre,1,0.9693,1.0062,0.0369,0.998,0.0082
G_91_a,91,G,Pre,1,0.9782,1.0155,0.0373,1.0056,0.0099
G_91_b,91,G,Pre,1,0.9812,1.0176,0.0364,1.0085,0.0091
G_92,92,G,Algae_Dom,1,0.966,1.0004,0.0344,0.992,0.0084
G_92_a,92,G,Algae_Dom,1,0.9676,1.0007,0.0331,0.9891,0.0116
G_92_b,92,G,Algae_Dom,1,0.9643,0.9981,0.0338,0.9858,0.0123
L_95,95,L,Coral_Dom,1,0.79,0.8257,0.0357,0.8152,0.0105
L_95_a,95,L,Coral_Dom,1,0.9747,1.01,0.0353,0.9993,0.0107
L_95_b,95,L,Coral_Dom,1,0.9734,1.0104,0.037,0.9994,0.011
N_96,96,N,Rubble_Dom,1,0.7919,0.8148,0.0229,0.8098,0.005
N_96_a,96,N,Rubble_Dom,1,0.9793,0.9989,0.0196,0.9946,0.0043
N_96_b,96,N,Rubble_Dom,1,0.9774,0.9969,0.0195,0.9938,0.0031
V_97,97,V,Algae_Dom,1,0.7965,0.818,0.0215,0.8144,0.0036
V_97_a,97,V,Algae_Dom,1,0.959,0.9741,0.0151,0.9719,0.0022
V_97_b,97,V,Algae_Dom,1,0.9708,0.9861,0.0153,0.9837,0.0024
U_100,100,U,Algae_Dom,1,0.9731,1.0026,0.0295,0.9951,0.0075
U_100_a,100,U,Algae_Dom,1,0.9765,1.0059,0.0294,0.9987,0.0072
U_100_b,100,U,Algae_Dom,1,0.9659,0.9946,0.0287,0.9877,0.0069
