Sample.ID1,Weight,Salinity
Junk,60.006,36.4
CRM,59.915,33.6
Junk2,59.824,36.4
C1_End_0626_2300,59.807,36.4
C2_End_0626_2300,59.85,36.4
C3_End_0626_2300,60.336,36.4
C4_End_0626_2300,59.818,36.4
C5_End_0626_2300,59.98,36.4
C6_End_0626_2300,60.059,36.4
C7_End_0626_2300,60.089,36.4
C8_End_0626_2300,60.138,36.4
Junk3,60.136,36.4
C9_End_0626_2300,60.006,36.4
C10_End_0626_2300,59.993,36.4
C11_End_0626_2300,59.984,36.4
C12_End_0626_2300,60.036,36.4
C13_End_0626_2300,60.217,36.4
C14_End_0626_2300,60.257,36.4
C15_End_0626_2300,59.802,36.4
C16_End_0626_2300,59.935,36.4
