"SampleID","TA","Mass","Salinity"
"Junk",2392.86989835923,60.006,36.4
"CRM",2241.53764461189,59.915,33.6
"Junk2",2355.32539063694,59.824,36.4
"C1_End_0626_2300",2075.02924801519,59.807,36.4
"C2_End_0626_2300",2268.93258989592,59.85,36.4
"C3_End_0626_2300",2328.17004157087,60.336,36.4
"C4_End_0626_2300",2341.71558417818,59.818,36.4
"C5_End_0626_2300",2343.05497369816,59.98,36.4
"C6_End_0626_2300",2349.68672650889,60.059,36.4
"C7_End_0626_2300",2194.47650232104,60.089,36.4
"C8_End_0626_2300",2180.8508391247,60.138,36.4
"Junk3",2339.26238881389,60.136,36.4
"C9_End_0626_2300",2312.01366532198,60.006,36.4
"C10_End_0626_2300",2341.9576581637,59.993,36.4
"C11_End_0626_2300",2269.21677853123,59.984,36.4
"C12_End_0626_2300",2270.91253115642,60.036,36.4
"C13_End_0626_2300",2288.23882158119,60.217,36.4
"C14_End_0626_2300",2357.2335069306,60.257,36.4
"C15_End_0626_2300",2278.40071089952,59.802,36.4
"C16_End_0626_2300",2288.05967091488,59.935,36.4
