Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-62.6,NaN,24.0,,,,
0.0600,11,-69.7,0.0055,24.0,,,,
0.1200,31,-59.2,0.0030,24.0,,,,
0.1800,51,-44.6,0.0030,24.1,,,,
0.2400,72,-24.4,0.0030,24.1,,,,
0.3000,92,-5.7,0.0030,24.1,,,,
0.3600,112,6.2,0.0030,24.1,,,,
0.4200,132,15.7,0.0030,24.1,,,,
0.4800,152,23.7,0.0030,24.1,,,,
0.5400,172,30.7,0.0030,24.1,,,,
0.6000,192,37.5,0.0030,24.2,,,,
0.6600,212,43.7,0.0030,24.2,,,,
0.7200,232,50.1,0.0030,24.2,,,,
0.7800,253,56.0,0.0030,24.2,,,,
0.8400,273,62.0,0.0030,24.2,,,,
0.9000,293,68.3,0.0030,24.2,,,,
0.9600,313,74.7,0.0030,24.2,,,,
1.0200,332,81.9,0.0030,24.3,,,,
1.0800,352,90.1,0.0030,24.3,,,,
1.1400,372,100.4,0.0030,24.3,,,,
1.2000,390,114.5,0.0035,24.3,296.95,2.47,,
1.2600,404,135.6,0.0045,24.3,336.11,2.53,,
1.3200,414,161.7,0.0060,24.3,338.88,2.53,,
1.3800,421,179.8,0.0085,24.3,293.95,2.47,,
1.4400,427,191.2,0.0100,24.3,212.47,2.33,,
1.4700,523,195.6,0.0005,24.4,154.85,2.19,,
1.5000,529,199.2,0.0050,24.4,109.41,2.04,,
1.5300,535,202.7,0.0050,24.4,97.27,1.99,,
1.5600,540,205.6,0.0060,24.4,90.20,1.96,,
1.5900,545,208.1,0.0055,24.4,82.84,1.92,,
1.6200,551,210.4,0.0050,24.4,76.35,1.88,,
1.6500,556,212.7,0.0060,24.4,70.15,1.85,,
1.6800,561,214.8,0.0060,24.4,64.82,1.81,,
1.7100,566,216.7,0.0055,24.4,60.47,1.78,,
1.7400,572,218.4,0.0055,24.4,56.11,1.75,,
1.7700,577,219.9,0.0065,24.4,51.44,1.71,,
1.8000,582,221.4,0.0065,24.4,49.17,1.69,,
1.8300,587,223.1,0.0060,24.4,46.96,1.67,,
1.8600,592,224.3,0.0060,24.4,44.69,1.65,,
1.8900,597,225.5,0.0060,24.4,42.74,1.63,,
1.9200,602,227.0,0.0060,24.4,41.04,1.61,,
1.9500,607,228.0,0.0060,24.4,39.03,1.59,,
1.9800,612,229.2,0.0055,24.4,37.20,1.57,,
2.0100,618,230.4,0.0055,24.4,35.03,1.54,,
2.0400,623,231.4,0.0065,24.4,,,,
2.0700,628,232.2,0.0065,24.4,,,,
2.1000,633,233.2,0.0060,24.4,,,,
2.1300,640,234.3,0.0045,24.4,,,,
2.1600,645,235.1,0.0060,24.4,,,,
SystemInternal6/29/2024 5:01:15 PM,,,,,,,,1/1
