Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-71.9,NaN,25.3,,,,
0.0600,10,-73.8,0.0060,25.4,,,,
0.1200,30,-64.4,0.0030,25.4,,,,
0.1800,50,-52.5,0.0030,25.4,,,,
0.2400,70,-36.3,0.0030,25.4,,,,
0.3000,90,-15.6,0.0030,25.4,,,,
0.3600,111,-0.3,0.0030,25.4,,,,
0.4200,131,10.0,0.0030,25.4,,,,
0.4800,151,18.4,0.0030,25.4,,,,
0.5400,171,25.7,0.0030,25.4,,,,
0.6000,191,32.6,0.0030,25.4,,,,
0.6600,211,38.8,0.0030,25.4,,,,
0.7200,231,44.8,0.0030,25.4,,,,
0.7800,252,50.7,0.0030,25.4,,,,
0.8400,272,56.3,0.0030,25.4,,,,
0.9000,292,61.8,0.0030,25.4,,,,
0.9600,312,67.7,0.0030,25.4,,,,
1.0200,332,73.9,0.0030,25.4,,,,
1.0800,351,80.4,0.0030,25.4,,,,
1.1400,369,87.7,0.0035,25.4,,,,
1.2000,387,96.8,0.0035,25.4,,,,
1.2600,405,108.3,0.0035,25.4,260.82,2.42,,
1.3200,421,125.2,0.0040,25.4,313.57,2.50,,
1.3800,432,150.1,0.0050,25.4,339.61,2.53,,
1.4400,440,172.6,0.0075,25.4,319.81,2.50,,
1.5000,446,186.5,0.0095,25.4,253.87,2.40,,
1.5300,542,191.8,0.0005,25.4,199.19,2.30,,
1.5600,548,196.1,0.0055,25.4,139.93,2.15,,
1.5900,553,199.8,0.0060,25.4,110.31,2.04,,
1.6200,558,203.1,0.0060,25.4,101.14,2.00,,
1.6500,563,206.1,0.0060,25.4,91.89,1.96,,
1.6800,568,208.7,0.0055,25.4,83.53,1.92,,
1.7100,573,211.1,0.0055,25.4,76.11,1.88,,
1.7400,579,213.3,0.0055,25.4,70.36,1.85,,
1.7700,584,215.3,0.0060,25.4,65.18,1.81,,
1.8000,589,217.2,0.0060,25.4,60.74,1.78,,
1.8300,594,219.0,0.0060,25.4,56.61,1.75,,
1.8600,599,220.7,0.0060,25.4,52.90,1.72,,
1.8900,604,222.1,0.0055,25.4,49.95,1.70,,
1.9200,609,223.6,0.0055,25.4,47.15,1.67,,
1.9500,614,225.0,0.0055,25.4,44.59,1.65,,
1.9800,620,226.3,0.0055,25.4,42.28,1.63,,
2.0100,625,227.6,0.0065,25.4,40.33,1.61,,
2.0400,630,228.7,0.0065,25.4,38.09,1.58,,
2.0700,635,229.8,0.0060,25.4,36.81,1.57,,
2.1000,640,230.9,0.0060,25.4,35.66,1.55,,
2.1300,645,232.0,0.0060,25.4,,,,
2.1600,650,233.0,0.0060,25.4,,,,
2.1900,655,234.0,0.0060,25.4,,,,
2.2200,660,234.9,0.0060,25.4,,,,
2.2500,665,235.8,0.0055,25.4,,,,
6/29/2024 4:59:23 PMSystemInternal,,,,,,,,1/1
