Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-52.0,NaN,25.3,,,,
0.0600,16,-60.6,0.0035,25.4,,,,
0.1200,36,-48.9,0.0030,25.4,,,,
0.1800,56,-32.1,0.0030,25.4,,,,
0.2400,76,-12.5,0.0030,25.4,,,,
0.3000,97,0.7,0.0030,25.4,,,,
0.3600,117,10.3,0.0030,25.4,,,,
0.4200,137,18.1,0.0030,25.4,,,,
0.4800,157,25.0,0.0030,25.4,,,,
0.5400,177,31.2,0.0030,25.4,,,,
0.6000,197,37.1,0.0030,25.4,,,,
0.6600,218,42.6,0.0030,25.4,,,,
0.7200,238,47.9,0.0030,25.4,,,,
0.7800,258,53.0,0.0030,25.4,,,,
0.8400,278,58.1,0.0030,25.4,,,,
0.9000,298,63.1,0.0030,25.4,,,,
0.9600,318,68.4,0.0030,25.4,,,,
1.0200,338,73.9,0.0030,25.4,,,,
1.0800,354,79.7,0.0035,25.4,,,,
1.1400,374,86.6,0.0030,25.4,,,,
1.2000,393,94.6,0.0030,25.4,,,,
1.2600,410,104.6,0.0035,25.4,224.72,2.35,,
1.3200,427,118.4,0.0035,25.4,282.72,2.45,,
1.3800,440,139.3,0.0050,25.4,324.74,2.51,,
1.4400,448,164.1,0.0070,25.4,328.43,2.52,,
1.5000,455,180.9,0.0085,25.4,282.62,2.45,,
1.5300,551,187.2,0.0005,25.4,238.61,2.38,,
1.5600,557,192.2,0.0050,25.4,177.25,2.25,,
1.5900,563,196.4,0.0050,25.4,129.05,2.11,,
1.6200,568,200.2,0.0060,25.4,112.44,2.05,,
1.6500,574,203.4,0.0050,25.4,101.05,2.00,,
1.6800,579,206.3,0.0055,25.4,91.29,1.96,,
1.7100,584,208.9,0.0055,25.4,82.91,1.92,,
1.7400,590,211.3,0.0055,25.4,75.78,1.88,,
1.7700,595,213.5,0.0065,25.4,70.02,1.85,,
1.8000,600,215.5,0.0060,25.4,64.56,1.81,,
1.8300,605,217.4,0.0060,25.4,59.56,1.77,,
1.8600,610,219.1,0.0060,25.4,55.22,1.74,,
1.8900,615,220.7,0.0060,25.4,51.56,1.71,,
1.9200,620,222.2,0.0055,25.4,48.94,1.69,,
1.9500,625,223.6,0.0055,25.4,46.42,1.67,,
1.9800,630,225.0,0.0055,25.4,44.46,1.65,,
2.0100,636,226.3,0.0055,25.4,42.67,1.63,,
2.0400,641,227.6,0.0065,25.4,40.81,1.61,,
2.0700,646,228.7,0.0065,25.4,39.00,1.59,,
2.1000,651,229.9,0.0060,25.4,37.00,1.57,,
2.1300,656,231.0,0.0060,25.4,35.13,1.55,,
2.1600,661,232.0,0.0060,25.4,,,,
2.1900,666,233.0,0.0060,25.4,,,,
2.2200,671,233.9,0.0060,25.4,,,,
2.2500,676,234.8,0.0060,25.4,,,,
2.2800,681,235.7,0.0055,25.4,,,,
SystemInternal6/29/2024 8:13:54 AM,,,,,,,,1/1
