Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-28.4,NaN,23.1,,,,
0.0600,8,-50.7,0.0070,23.1,,,,
0.1200,28,-36.7,0.0030,23.1,,,,
0.1800,49,-16.5,0.0030,23.1,,,,
0.2400,69,-1.3,0.0030,23.1,,,,
0.3000,89,8.3,0.0030,23.1,,,,
0.3600,109,16.2,0.0030,23.2,,,,
0.4200,129,23.0,0.0030,23.2,,,,
0.4800,149,29.2,0.0030,23.2,,,,
0.5400,169,35.0,0.0030,23.2,,,,
0.6000,190,40.4,0.0030,23.3,,,,
0.6600,210,45.5,0.0030,23.3,,,,
0.7200,230,50.7,0.0030,23.3,,,,
0.7800,250,55.7,0.0030,23.3,,,,
0.8400,270,60.6,0.0030,23.4,,,,
0.9000,290,66.0,0.0030,23.4,,,,
0.9600,310,71.3,0.0030,23.4,,,,
1.0200,328,76.7,0.0035,23.4,,,,
1.0800,345,83.2,0.0035,23.4,,,,
1.1400,365,90.8,0.0030,23.5,,,,
1.2000,382,99.6,0.0035,23.5,,,,
1.2600,397,111.5,0.0040,23.5,264.85,2.42,,
1.3200,411,129.1,0.0045,23.5,312.46,2.49,,
1.3800,421,154.1,0.0060,23.5,332.30,2.52,,
1.4400,429,174.8,0.0075,23.5,306.75,2.49,,
1.5000,435,187.6,0.0100,23.5,236.98,2.37,,
1.5300,536,192.7,0.0005,23.6,182.25,2.26,,
1.5600,541,196.6,0.0060,23.6,127.66,2.11,,
1.5900,547,200.1,0.0050,23.6,104.74,2.02,,
1.6200,553,203.2,0.0055,23.6,96.53,1.98,,
1.6500,558,206.2,0.0060,23.7,87.88,1.94,,
1.6800,563,208.6,0.0060,23.7,80.78,1.91,,
1.7100,570,211.0,0.0045,23.7,73.66,1.87,,
1.7400,575,213.0,0.0065,23.7,68.01,1.83,,
1.7700,581,215.0,0.0050,23.7,62.85,1.80,,
1.8000,586,216.9,0.0055,23.7,58.92,1.77,,
1.8300,592,218.6,0.0055,23.7,55.09,1.74,,
1.8600,597,220.2,0.0065,23.7,51.76,1.71,,
1.8900,602,221.6,0.0060,23.7,48.60,1.69,,
1.9200,607,223.1,0.0060,23.7,46.34,1.67,,
1.9500,614,224.5,0.0045,23.7,43.74,1.64,,
1.9800,620,225.7,0.0050,23.7,41.27,1.62,,
2.0100,626,227.0,0.0045,23.7,39.73,1.60,,
2.0400,631,228.1,0.0055,23.7,37.57,1.57,,
2.0700,636,229.1,0.0055,23.7,35.94,1.56,,
2.1000,643,230.3,0.0045,23.7,34.71,1.54,,
2.1300,648,231.4,0.0060,23.7,,,,
2.1600,653,232.2,0.0060,23.7,,,,
2.1900,658,233.2,0.0055,23.7,,,,
2.2200,664,234.2,0.0055,23.8,,,,
2.2500,669,235.1,0.0065,23.8,,,,
6/29/2024 5:00:28 PMSystemInternal,,,,,,,,1/1
