CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM,Chla_norm,Chlc_norm,Chl_total,SA_cm_2,chla.ug.cm2,chlc2.ug.cm2
95,L,Coral_Dom,16,31,2.416916667,0.24897,2.665886667,79.22055025,0.030508708,0.003142745
19,L,Rubble_Dom,10,20,2.4762,0.17664,2.65284,35.82893948,0.06911173,0.004930093
78,L,Control,15,30,1.1936,0.26296,1.45656,50.58208714,0.023597286,0.005198678
53,L,Algae_Dom,1,1,3.594666667,0.43671,4.031376667,87.50111598,0.041081381,0.004990908
23,L,Pre,NA,NA,0.418033333,-0.10601,0.312023333,66.42002507,0.006293785,-0.001596055
71,M,Coral_Dom,7,14,1.06345,0.22404,1.28749,29.03092045,0.036631632,0.007717289
25,M,Rubble_Dom,5,9,0.899466667,0.08886,0.988326667,36.11821688,0.024903407,0.002460254
2,M,Algae_Dom,13,25,0.975666667,0.06466,1.040326667,50.36512909,0.019371869,0.001283825
11,M,Control,3,6,1.138583333,0.22693,1.365513333,77.59336485,0.01467372,0.002924606
49,M,Pre,NA,NA,1.519583333,0.10593,1.625513333,62.65941881,0.024251475,0.001690568
118,N,Algae_Dom,4,8,1.093166667,-0.05291,1.040256667,59.07961092,0.018503281,-8.96E-04
21,N,Control,11,22,1.646533333,0.22612,1.872653333,55.96987881,0.029418204,0.00404003
43,N,Coral_Dom,6,12,4.25715,0.33332,4.59047,52.49854995,0.081090811,0.006349128
22,N,Pre,NA,NA,1.344933333,0.24165,1.586583333,40.99977309,0.032803434,0.005893935
96,N,Rubble_Dom,10,19,2.623266667,0.26369,2.886956667,69.09584107,0.037965623,0.003816293
162,O,Algae_Dom,14,28,0.91745,0.1099,1.02735,34.67182986,0.026460963,0.00316972
148,O,Coral_Dom,6,12,1.178816667,0.16065,1.339466667,35.90125883,0.032834967,0.004474773
149,O,Rubble_Dom,2,3,0.744933333,0.19144,0.936373333,40.74665536,0.018282073,0.0046983
163,O,Pre,NA,NA,0.842316667,0.10701,0.949326667,43.16935363,0.019511913,0.002478842
146,O,Control,11,21,3.1492,0.28392,3.43312,71.62701837,0.043966649,0.003963867
135,P,Algae_Dom,13,25,2.619,0.37205,2.99105,19.30396771,0.13567159,0.01927324
137,P,Coral_Dom,9,18,0.767033333,0.58569,1.352723333,38.64939418,0.019845934,0.015153924
127,P,Rubble_Dom,2,3,4.2253,0.66445,4.88975,27.29525602,0.154799794,0.024343058
28,P,Control,3,5,1.953466667,0.07514,2.028606667,57.19930778,0.034151928,0.001313652
121,P,Pre,NA,NA,0.46985,0.01129,0.48114,23.57080943,0.019933554,4.79E-04
204,Q,Algae_Dom,13,26,1.089816667,0.50993,1.599746667,27.11445765,0.040193194,0.018806572
57,Q,Pre,NA,NA,0.58095,0.05626,0.63721,34.23791375,0.016968032,0.001643208
210,Q,Coral_Dom,9,17,1.481483333,0.11803,1.599513333,70.50606842,0.021012139,0.00167404
206,Q,Rubble_Dom,2,4,2.099466667,0.18928,2.288746667,31.09202197,0.067524289,0.006087735
143,Q,Control,3,6,NA,NA,NA,70.07215231,NA,NA
62,R,Rubble_Dom,10,19,4.810516667,0.61235,5.422866667,86.77792246,0.055434799,0.007056518
35,R,Pre,NA,NA,1.0889,0.05545,1.14435,41.79528596,0.026053177,0.001326705
66,R,Control,15,29,1.5397,0.07279,1.61249,69.16816042,0.022260242,0.001052363
138,R,Coral_Dom,16,32,3.132283333,0.23579,3.368073333,60.16440119,0.052062071,0.003919095
128,R,Algae_Dom,13,25,1.256083333,0.10936,1.365443333,98.24053964,0.012785794,0.001113186
136,S,Coral_Dom,16,31,0.989383333,0.19406,1.183443333,29.60947527,0.033414416,0.006553983
80,S,Rubble_Dom,10,20,2.335233333,0.89019,3.225423333,17.74910165,0.1315691,0.050154088
114,S,Algae_Dom,1,1,3.5843,-0.25553,3.32877,80.12454214,0.044734109,-0.00318916
123,S,Control,8,16,2.137566667,0.17718,2.314746667,46.60452282,0.045866078,0.003801777
83,S,Pre,NA,NA,1.135383333,0.3082,1.443583333,35.21422499,0.032242179,0.008752145
125,T,Control,8,15,2.570383333,0.17348,2.743863333,59.51352703,0.043189901,0.002914968
1,T,Coral_Dom,7,13,1.5746,0.14196,1.71656,92.74426895,0.016977868,0.001530661
12,T,Pre,NA,NA,1.855016667,0.18666,2.041676667,49.82273395,0.037232334,0.003746482
141,T,Algae_Dom,4,8,1.554483333,0.1751,1.729583333,75.27914561,0.020649588,0.002326009
139,T,Rubble_Dom,12,24,2.867716667,0.26631,3.134026667,59.80280443,0.047952879,0.004453136
101,U,Coral_Dom,7,13,0.65715,0.03206,0.68921,68.84272334,0.009545671,4.66E-04
100,U,Algae_Dom,14,27,2.4698,0.33918,2.80898,63.38261232,0.038966523,0.00535131
13,U,Rubble_Dom,5,9,0.411633333,0.05653,0.468163333,60.34519957,0.00682131,9.37E-04
67,U,Pre,NA,NA,1.080366667,0.27217,1.352536667,61.0322334,0.017701575,0.004459447
134,U,Control,11,22,0.721766667,-0.17572,0.546046667,44.07334552,0.016376489,-0.00398699
15,V,Control,8,16,3.511,0.65054,4.16154,56.83771103,0.061772368,0.01144557
144,V,Pre,NA,NA,1.459233333,0.20535,1.664583333,53.04094508,0.02751145,0.003871537
140,V,Coral_Dom,9,18,0.9365,0.10385,1.04035,49.7504146,0.018823964,0.00208742
97,V,Algae_Dom,13,26,0.3365,0.05364,0.39014,67.46865567,0.004987501,7.95E-04
18,V,Rubble_Dom,2,4,1.067716667,0.11568,1.183396667,52.715508,0.020254318,0.002194421
151,W,Control,3,5,-0.335916667,-5.32382,-5.659736667,38.93867158,-0.008626814,-0.136723206
36,W,Rubble_Dom,12,23,4.775616667,0.54318,5.318796667,51.48607903,0.092755493,0.010550036
115,W,Coral_Dom,6,11,1.608433333,0.23822,1.846653333,83.23427425,0.019324171,0.002862042
157,W,Pre,NA,NA,1.913233333,0.14142,2.054653333,25.52343192,0.074959878,0.005540791
155,W,Algae_Dom,4,8,4.47615,0.50453,4.98068,36.87757007,0.121378659,0.013681216
205,X,Pre,NA,NA,1.941733333,0.37313,2.314863333,41.90376499,0.046337921,0.00890445
203,X,Algae_Dom,14,27,2.360833333,0.24003,2.600863333,38.72171353,0.060969237,0.006198848
208,X,Coral_Dom,7,14,1.6476,0.19903,1.84663,50.40128876,0.03268964,0.003948907
207,X,Rubble_Dom,10,19,3.61585,0.37648,3.99233,71.55469902,0.05053267,0.005261429
202,X,Control,3,6,NA,NA,NA,72.89260701,NA,NA
