

Software Version	3.16.10



Experiment File Path:	C:\Users\synergy\Desktop\Putnam\MO24BEAST_Chl_Run1.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Chlorophyll.prt



Plate Number	Plate 2
Date	7/4/2024
Time	1:58:32 AM
Reader Type:	Synergy HTX
Reader Serial Number:	19041023
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	26.0



Actual Temperature:	26.0



Actual Temperature:	26.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.071	0.075	0.098	0.074	0.052	0.080	0.070	0.085	0.056	0.055	0.059	0.120	630
	0.071	0.106	0.224	0.173	0.093	0.176	0.135	0.206	0.116	0.110	0.130	0.340	663
	0.070	0.058	0.043	0.032	0.033	0.035	0.034	0.038	0.032	0.031	0.033	0.032	750
B	0.055	0.078	0.064	0.143	0.057	0.081	0.099	0.086	0.067	0.050	0.067	0.029	630
	0.108	0.174	0.096	0.401	0.106	0.201	0.252	0.182	0.148	0.091	0.104	0.029	663
	0.034	0.035	0.048	0.036	0.036	0.032	0.034	0.043	0.033	0.031	0.063	0.029	750
C	0.032	0.032	0.029	0.034	0.030	0.032	0.029	0.030	0.031	0.030	0.030	0.030	630
	0.032	0.031	0.029	0.035	0.030	0.033	0.029	0.029	0.031	0.030	0.030	0.030	663
	0.031	0.031	0.029	0.033	0.029	0.031	0.028	0.029	0.031	0.029	0.029	0.029	750
D	0.033	0.033	0.033	0.029	0.030	0.032	0.031	0.033	0.031	0.032	0.034	0.034	630
	0.034	0.033	0.033	0.030	0.030	0.032	0.030	0.032	0.031	0.032	0.034	0.035	663
	0.032	0.032	0.031	0.029	0.029	0.030	0.030	0.031	0.030	0.031	0.032	0.033	750
E	0.034	0.033	0.037	0.034	0.048	0.033	0.030	0.031	0.032	0.033	0.034	0.033	630
	0.033	0.033	0.036	0.034	0.047	0.033	0.030	0.030	0.032	0.033	0.035	0.033	663
	0.032	0.032	0.035	0.032	0.046	0.032	0.029	0.030	0.031	0.032	0.033	0.031	750
F	0.032	0.034	0.034	0.035	0.032	0.037	0.032	0.032	0.033	0.033	0.040	0.030	630
	0.032	0.034	0.034	0.036	0.032	0.036	0.032	0.032	0.033	0.033	0.042	0.029	663
	0.031	0.033	0.033	0.033	0.031	0.035	0.031	0.031	0.032	0.032	0.038	0.029	750
G	0.034	0.040	0.035	0.035	0.038	0.036	0.032	0.035	0.035	0.058	0.038	0.033	630
	0.034	0.040	0.034	0.035	0.037	0.037	0.032	0.034	0.035	0.057	0.037	0.032	663
	0.033	0.037	0.033	0.034	0.035	0.035	0.031	0.033	0.033	0.052	0.035	0.032	750
H	0.041	0.032	0.036	0.031	0.035	0.037	0.034	0.033	0.033	0.035	0.035	0.051	630
	0.041	0.032	0.038	0.031	0.035	0.037	0.034	0.033	0.033	0.035	0.035	0.050	663
	0.039	0.032	0.034	0.030	0.034	0.036	0.033	0.031	0.032	0.034	0.032	0.050	750

