FileName,DATE,RUN_NUM,GENOTYPE,CORAL_NUM,LIGHT_DARK,Intercept,umol.L.sec,Temp.C
25_DARK_RUN4_O2,6/28/24,4,M,25,DARK,4.506587692,-0.001104176,27.46027778
27_DARK_RUN4_O2,6/28/24,4,I,27,DARK,5.862042637,-0.002282198,26.77766667
41_DARK_RUN4_O2,6/28/24,4,B,41,DARK,4.749263971,-0.003006618,27.08311111
59_DARK_RUN4_O2,6/28/24,4,K,59,DARK,4.826014744,-0.001253671,27.05461111
BLANK_DARK_RUN4_628_O2,6/28/24,4,BLANK,BLANK,DARK,5.962533036,-2.12E-04,27.40227778
113_DARK_RUN5_O2,6/28/24,5,C,113,DARK,4.449476374,-0.001784066,27.24063158
118_DARK_RUN5_O2,6/28/24,5,N,118,DARK,5.831466765,-0.002849118,26.90652632
127_DARK_RUN5_O2,6/28/24,5,P,127,DARK,5.357902637,-8.50E-04,27.21963158
141_DARK_RUN5_O2,6/28/24,5,T,141,DARK,4.971985702,-0.001612018,27.33594737
149_DARK_RUN5_O2,6/28/24,5,O,149,DARK,5.222917727,-0.001463182,26.94289474
151_DARK_RUN5_O2,6/28/24,5,W,151,DARK,5.468654191,-9.64E-04,26.88447368
155_DARK_RUN5_O2,6/28/24,5,W,155,DARK,6.19174375,-9.94E-04,27.26910526
28_DARK_RUN5_O2,6/28/24,5,P,28,DARK,4.298096364,-0.001532727,27.36152632
61_DARK_RUN5_O2,6/28/24,5,,61,DARK,4.039261029,-0.002430147,26.88731579
BLANK_DARK_RUN5_628_O2,6/28/24,5,BLANK,BLANK,DARK,6.887648333,-2.15E-04,27.39115789
128_DARK_RUN6_O2,6/28/24,6,R,128,DARK,4.497891726,-0.001283393,27.28977778
135_DARK_RUN6_O2,6/28/24,6,P,135,DARK,5.245596103,-8.84E-04,27.43411111
136_DARK_RUN6_O2,6/28/24,6,S,136,DARK,5.41698,-9.23E-04,27.28983333
19_DARK_RUN6_O2,6/28/24,6,L,19,DARK,5.692295455,-0.001113636,27.40838889
2_DARK_RUN6_O2,6/28/24,6,M,2,DARK,4.107114048,-0.001152143,27.46644444
48_DARK_RUN6_O2,6/28/24,6,I,48,DARK,3.767328462,-0.001664725,27.44655556
74_DARK_RUN6_O2,6/28/24,6,E,74,DARK,4.49389756,-0.001395179,27.46905556
80_DARK_RUN6_O2,6/28/24,6,S,80,DARK,6.201639338,-6.39E-04,27.56483333
95_DARK_RUN6_O2,6/28/24,6,L,95,DARK,4.557861648,-0.001342967,27.40533333
BLANK_DARK_RUN6_O2,6/28/24,6,BLANK,BLANK,DARK,7.475443846,-2.44E-04,27.13561111
10_DARK_RUN7_O2,6/28/24,7,G,10,DARK,5.285498693,-0.001574716,27.50084211
117_DARK_RUN7_O2,6/28/24,7,J,117,DARK,5.008695466,-0.001322917,27.41573684
134_DARK_RUN7_O2,6/28/24,7,U,134,DARK,5.256606863,-0.001155882,26.92452632
18_DARK_RUN7_O2,6/28/24,7,V,18,DARK,4.275634561,-0.001308246,27.45478947
206_DARK_RUN7_O2,6/28/24,7,Q,206,DARK,5.251964779,-0.001104485,26.91410526
21_DARK_RUN7_O2,6/28/24,7,N,21,DARK,3.822619394,-0.001837576,27.40915789
210_DARK_RUN7_O2,6/28/24,7,Q,210,DARK,4.884105882,-0.001439216,27.42094737
63_DARK_RUN7_O2,6/28/24,7,E,63,DARK,6.525946667,-0.001508571,26.93615789
64_DARK_RUN7_O2,6/28/24,7,K,64,DARK,2.995579312,-0.001752972,27.31447368
BLANK_DARK_RUN7_628_O2,6/28/24,7,BLANK,BLANK,DARK,6.759473652,-2.46E-04,27.13831579
100_DARK_RUN8_O2,6/28/24,8,U,100,DARK,4.347720879,-0.002182418,27.29135
145_DARK_RUN8_O2,6/28/24,8,D,145,DARK,5.066680662,-0.001261544,27.29945
153_DARK_RUN8_O2,6/28/24,8,D,152,DARK,5.264484779,-0.001749485,27.2679
204_DARK_RUN8_O2,6/28/24,8,Q,204,DARK,4.971881868,-9.70E-04,27.35685
58_DARK_RUN8_O2,6/28/24,8,A,58,DARK,5.782532353,-0.001944118,26.8206
66_DARK_RUN8_O2,6/28/24,8,R,66,DARK,5.165111029,-0.001669853,27.4773
73_DARK_RUN8_O2,6/28/24,8,B,73,DARK,4.895793496,-0.001236353,26.8231
86_DARK_RUN8_O2,6/28/24,8,E,86,DARK,4.171120113,-0.001434398,27.38715
97_DARK_RUN8_O2,6/28/24,8,V,97,DARK,5.18622381,-0.001242857,26.94275
BLANK_DARK_RUN8_O2,6/28/24,8,BLANK,BLANK,DARK,6.377798722,-1.70E-04,27.31195
108_LIGHT_RUN3_O2,6/28/24,3,F,108,LIGHT,4.254449725,0.001528297,27.35894737
115_LIGHT_RUN3_O2,6/28/24,3,W,115,LIGHT,3.624506177,0.003663986,27.54073684
140_LIGHT_RUN3_O2,6/28/24,3,V,140,LIGHT,5.118757273,0.002133636,27.39947368
208_LIGHT_RUN3_O2,6/28/24,3,X,208,LIGHT,4.199536364,0.001918182,27.38126316
36_LIGHT_RUN3_O2,6/28/24,3,W,36,LIGHT,4.106615455,0.001220909,27.12121053
37_LIGHT_RUN3_O2,6/28/24,3,C,37,LIGHT,3.381662121,0.001919697,27.41610526
38_LIGHT_RUN3_O2,6/28/24,3,I,38,LIGHT,3.748410256,0.003730769,27.52352632
71_LIGHT_RUN3_O2,6/28/24,3,M,71,LIGHT,5.947245,0.002000455,27.16910526
90_LIGHT_RUN3_O2,6/28/24,3,G,90,LIGHT,4.745296978,0.001768956,27.35036842
BLANK_LIGHT_RUN3_628_O2,6/28/24,3,BLANK,BLANK,LIGHT,6.095858571,-8.71E-05,27.18989474
110_LIGHT_RUN4_O2,6/28/24,4,K,110,LIGHT,3.524586765,0.003609314,27.69810526
13_LIGHT_RUN4_O2,6/28/24,4,U,13,LIGHT,4.231073736,0.002726264,27.54210526
137_LIGHT_RUN4_O2,6/28/24,4,P,137,LIGHT,5.467104242,6.59E-04,27.79378947
156_LIGHT_RUN4_O2,6/28/24,4,H,156,LIGHT,3.494494091,0.002324091,27.68063158
16_LIGHT_RUN4_O2,6/28/24,4,B,16,LIGHT,4.118538022,0.001809231,27.64484211
25_LIGHT_RUN4_O2,6/28/24,4,M,25,LIGHT,4.337319853,0.001846814,27.78010526
27_LIGHT_RUN4_O2,6/28/24,4,I,27,LIGHT,5.332201471,0.003445588,27.43063158
41_LIGHT_RUN4_O2,6/28/24,4,B,41,LIGHT,3.681836655,0.002797378,27.73252632
59_LIGHT_RUN4_O2,6/28/24,4,K,59,LIGHT,4.718603971,0.002965147,27.44363158
