DATE,CORAL_NUM,GENOTYPE,RUN_NUM,CHAMBER,Temp.C,R,R_uncorr,NP,NP_uncorr,GP,GP_uncorr
6/27/24,106,D,2,7,27.37068354,0.03798823492284585,0.04597314690583196,0.078052837909478,0.0679343057205118,0.11604107283232386,0.11390745262634376
6/27/24,33,F,2,9,27.26032911,0.06128058411534817,0.07188161035228433,0.14983396061189524,0.13640027149383444,0.21111454472724342,0.20828188184611876
6/27/24,68,F,2,4,27.413,0.03400991257167538,0.04214151397140146,0.051953821908207756,0.04164940394013382,0.08596373447988313,0.08379091791153528
6/27/24,102,I,2,6,27.47089873,0.024211860856555644,0.02830299482598824,0.07564476895549113,0.07046045748815345,0.09985662981204678,0.09876345231414169
6/27/24,76,K,2,1,27.45303797,0.04238601657831986,0.0490770071399476,0.06958269899985693,0.06110383241771326,0.1119687155781768,0.11018083955766086
6/27/24,53,L,2,10,27.2896962,0.038530884574896375,0.043103854822401096,0.07558020084579956,0.06978530332568224,0.11411108542069592,0.11288915814808334
6/27/24,114,S,2,8,27.52556962,0.04744675025234409,0.05244072574740331,0.05982990893880944,0.05350151084183156,0.10727665919115353,0.10594223658923488
6/27/24,1,T,2,2,27.52825316,0.025001786592873887,0.029316231081252163,0.0351131152023599,0.0296458231988684,0.06011490179523379,0.058962054280120565
6/27/24,101,U,2,3,27.44983544,0.02401157304361806,0.029823952051691156,0.058382264457349106,0.05101678012728077,0.08239383750096717,0.08084073217897192
6/28/24,37,C,3,5,27.35751316,0.048792654646948166,0.050686293822095344,0.045469329371165934,0.04349305866837598,0.0942619840181141,0.09417935249047132
6/28/24,108,F,3,2,27.30964474,0.03541254218101278,0.03773443064103732,0.045340177345308964,0.04291697011611972,0.08075271952632174,0.08065140075715704
6/28/24,90,G,3,1,27.28231579,0.04931099460971188,0.052862028765100495,0.07988828255777038,0.07618229418469208,0.12919927716748225,0.12904432294979257
6/28/24,38,I,3,7,27.36706579,0.03780138688014739,0.03944129215331933,0.07516131126075691,0.07344984648475565,0.1129626981409043,0.11289113863807498
6/28/24,71,M,3,9,26.99348684,0.06811836584396,0.07272207795257832,0.11591762051760918,0.11111301915334207,0.18403598636156918,0.1838350971059204
6/28/24,140,V,3,10,27.14380263,0.04107413086764506,0.04376054064080101,0.0723055493893311,0.06950191446243746,0.11337968025697617,0.11326245510323847
6/28/24,115,W,3,8,27.45426316,0.04815415351567146,0.04975986223607879,0.07375319885125328,0.07207742284122817,0.12190735236692474,0.12183728507730696
6/28/24,36,W,3,3,27.09011842,0.0525326812792254,0.05512852859403304,0.04171117592288714,0.03900205527070607,0.09424385720211254,0.0941305838647391
6/28/24,208,X,3,4,27.34319737,0.03485389090673721,0.03750560881491238,0.06440273889536154,0.061635309660284174,0.09925662980209875,0.09914091847519656
6/28/24,16,B,4,2,27.35014085,0.02885198525319845,0.03479389471756638,0.05348947047860934,0.048484348542407525,0.08234145573180779,0.0832782432599739
6/28/24,41,B,4,10,27.08519718,0.03373169745073022,0.036433757122086165,0.03641369858903033,0.034137639316311585,0.07014539603976055,0.07057139643839774
6/28/24,156,H,4,1,27.2706338,0.043367595141111465,0.04859992152453186,0.059405335439352364,0.05499792537764238,0.10277293058046383,0.10359784690217425
6/28/24,27,I,4,9,26.77871831,0.037780824884057665,0.04189094389193641,0.06746767757052784,0.06400555029812548,0.1052485024545855,0.10589649419006189
6/28/24,110,K,4,5,25.65050704,0.032534966444774605,0.03581218751257668,0.05576389461109866,0.05300335254047258,0.08829886105587326,0.08881554005304926
6/28/24,59,K,4,3,27.05802817,0.019628730102453144,0.023809687807889297,0.05926309799456166,0.055741300287730305,0.07889182809701481,0.0795509880956196
6/28/24,25,M,4,4,27.46243662,0.03990864290972717,0.049865945098671774,0.09141278848204314,0.08302533123279701,0.1313214313917703,0.1328912763314688
6/28/24,137,P,4,8,27.338,0.03210710093464135,0.041412292067135315,0.03437052580470745,0.026532369310219288,0.0664776267393488,0.06794466137735461
6/28/24,13,U,4,6,27.03939437,0.039567412768770134,0.04552712460273002,0.0771511005543933,0.07213098292849014,0.11671851332316344,0.11765810753122016
6/28/24,113,C,5,1,27.23909589,0.04026025533016895,0.04578731868092318,0.06583287715908984,0.06148287359599624,0.10609313248925878,0.10727019227691942
6/28/24,118,N,5,9,26.90063014,0.07187936335177206,0.07780221887757821,-0.005511546114291844,-0.01017305277812077,0.06636781723748021,0.06762916609945745
6/28/24,149,O,5,3,26.94367123,0.04872922654528276,0.05731692526333528,0.07376451523308539,0.06700567827906256,0.12249374177836814,0.12432260354239785
6/28/24,127,P,5,2,27.21691781,0.037925271675103345,0.05074508181880025,0.07429899021698205,0.06420932482610947,0.1122242618920854,0.11495440664490972
6/28/24,28,P,5,4,27.35745205,0.03727968156890168,0.04339723811951349,0.006182697199067398,0.001367953617567363,0.04346237876796907,0.04476519173708085
6/28/24,141,T,5,7,27.33223288,0.030241620060278473,0.03488991936235659,0.06505346521028349,0.061395081500314606,0.09529508527056196,0.0962850008626712
6/28/24,151,W,5,6,26.88169863,0.030454043548036214,0.0394404826277846,0.05734525522814458,0.05027259484130558,0.08779929877618078,0.08971307746909019
6/28/24,155,W,5,10,27.266,0.033957226509853944,0.04344592111027885,0.07495677764974823,0.06748882356608048,0.10891400415960217,0.11093474467635933
6/28/24,74,E,6,7,27.47040278,0.03224774276231168,0.03885700975948317,0.049538521539736875,0.04485695741674041,0.08178626430204855,0.08371396717622358
