Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-61.8,NaN,24.3,,,,
0.0600,17,-64.7,0.0035,24.3,,,,
0.1200,38,-53.4,0.0030,24.3,,,,
0.1800,58,-37.5,0.0030,24.4,,,,
0.2400,78,-16.9,0.0030,24.4,,,,
0.3000,98,-1.9,0.0030,24.4,,,,
0.3600,118,8.0,0.0030,24.4,,,,
0.4200,138,16.4,0.0030,24.4,,,,
0.4800,158,23.4,0.0030,24.4,,,,
0.5400,178,29.9,0.0030,24.5,,,,
0.6000,198,35.9,0.0030,24.5,,,,
0.6600,219,41.6,0.0030,24.5,,,,
0.7200,239,47.1,0.0030,24.5,,,,
0.7800,259,52.4,0.0030,24.5,,,,
0.8400,279,57.7,0.0030,24.5,,,,
0.9000,299,63.0,0.0030,24.5,,,,
0.9600,319,68.5,0.0030,24.6,,,,
1.0200,340,74.3,0.0030,24.6,,,,
1.0800,358,80.4,0.0035,24.6,,,,
1.1400,376,87.7,0.0035,24.6,,,,
1.2000,394,96.3,0.0035,24.6,,,,
1.2600,411,107.4,0.0035,24.6,251.34,2.40,,
1.3200,425,123.3,0.0040,24.6,305.50,2.49,,
1.3800,436,147.5,0.0055,24.6,335.27,2.53,,
1.4400,444,170.5,0.0070,24.7,321.34,2.51,,
1.5000,451,184.9,0.0090,24.7,259.62,2.41,,
1.5300,548,190.4,0.0005,24.7,207.15,2.32,,
1.5600,553,194.8,0.0055,24.7,146.50,2.17,,
1.5900,559,198.6,0.0050,24.7,113.24,2.05,,
1.6200,564,202.0,0.0060,24.7,102.49,2.01,,
1.6500,570,205.0,0.0050,24.7,92.50,1.97,,
1.6800,575,207.6,0.0060,24.7,84.20,1.93,,
1.7100,580,210.0,0.0055,24.7,76.78,1.89,,
1.7400,586,212.2,0.0055,24.7,70.30,1.85,,
1.7700,591,214.3,0.0060,24.7,65.02,1.81,,
1.8000,596,216.2,0.0060,24.7,60.56,1.78,,
1.8300,601,217.9,0.0060,24.8,56.57,1.75,,
1.8600,606,219.5,0.0060,24.8,53.08,1.72,,
1.8900,611,221.1,0.0055,24.8,50.27,1.70,,
1.9200,616,222.6,0.0055,24.8,48.14,1.68,,
1.9500,621,224.0,0.0055,24.8,45.81,1.66,,
1.9800,626,225.3,0.0055,24.8,43.33,1.64,,
2.0100,632,226.6,0.0055,24.8,40.81,1.61,,
2.0400,637,227.8,0.0065,24.8,38.61,1.59,,
2.0700,642,228.9,0.0060,24.8,36.61,1.56,,
2.1000,647,230.0,0.0060,24.8,35.33,1.55,,
2.1300,652,231.0,0.0060,24.8,33.95,1.53,,
2.1600,657,232.0,0.0060,24.8,,,,
2.1900,662,233.0,0.0060,24.8,,,,
2.2200,667,234.0,0.0060,24.8,,,,
2.2500,672,234.8,0.0055,24.8,,,,
2.2800,677,235.7,0.0055,24.8,,,,
SystemInternal6/20/2024 4:20:32 PM,,,,,,,,1/1
