Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-57.6,NaN,25.1,,,,
0.0600,17,-60.8,0.0035,25.2,,,,
0.1200,38,-48.2,0.0030,25.2,,,,
0.1800,58,-30.3,0.0030,25.2,,,,
0.2400,78,-10.8,0.0030,25.2,,,,
0.3000,98,2.2,0.0030,25.2,,,,
0.3600,118,11.3,0.0030,25.2,,,,
0.4200,138,19.1,0.0030,25.2,,,,
0.4800,158,25.9,0.0030,25.2,,,,
0.5400,178,32.2,0.0030,25.2,,,,
0.6000,199,38.3,0.0030,25.2,,,,
0.6600,219,43.6,0.0030,25.2,,,,
0.7200,239,48.9,0.0030,25.2,,,,
0.7800,259,54.1,0.0030,25.2,,,,
0.8400,279,59.4,0.0030,25.3,,,,
0.9000,298,64.6,0.0030,25.3,,,,
0.9600,317,70.0,0.0030,25.3,,,,
1.0200,336,75.8,0.0030,25.3,,,,
1.0800,354,82.3,0.0035,25.3,,,,
1.1400,372,89.5,0.0030,25.3,,,,
1.2000,390,98.3,0.0035,25.3,,,,
1.2600,405,109.9,0.0040,25.3,258.46,2.41,,
1.3200,420,126.8,0.0040,25.3,309.26,2.49,,
1.3800,430,151.2,0.0060,25.3,333.90,2.52,,
1.4400,438,173.1,0.0080,25.3,313.28,2.50,,
1.5000,444,186.7,0.0105,25.3,247.67,2.39,,
1.5300,541,191.8,0.0005,25.3,194.34,2.29,,
1.5600,546,196.1,0.0060,25.3,137.37,2.14,,
1.5900,551,199.8,0.0060,25.3,108.82,2.04,,
1.6200,557,203.1,0.0055,25.3,99.50,2.00,,
1.6500,562,205.9,0.0065,25.3,89.89,1.95,,
1.6800,567,208.5,0.0060,25.3,81.53,1.91,,
1.7100,572,210.8,0.0060,25.3,74.77,1.87,,
1.7400,577,213.0,0.0060,25.3,69.17,1.84,,
1.7700,582,215.0,0.0060,25.3,64.22,1.81,,
1.8000,587,216.9,0.0055,25.3,59.75,1.78,,
1.8300,592,218.6,0.0055,25.3,55.56,1.74,,
1.8600,597,220.2,0.0055,25.3,52.08,1.72,,
1.8900,602,221.7,0.0055,25.3,49.09,1.69,,
1.9200,608,223.2,0.0055,25.3,47.13,1.67,,
1.9500,613,224.5,0.0065,25.3,45.15,1.65,,
1.9800,618,225.9,0.0060,25.3,42.99,1.63,,
2.0100,623,227.1,0.0060,25.3,40.47,1.61,,
2.0400,628,228.4,0.0060,25.3,38.48,1.59,,
2.0700,633,229.4,0.0060,25.3,36.62,1.56,,
2.1000,638,230.5,0.0060,25.3,34.95,1.54,,
2.1300,643,231.5,0.0055,25.3,,,,
2.1600,648,232.6,0.0055,25.3,,,,
2.1900,654,233.5,0.0055,25.3,,,,
2.2200,659,234.5,0.0065,25.3,,,,
2.2500,664,235.4,0.0065,25.3,,,,
6/20/2024 12:51:04 PMSystemInternal,,,,,,,,1/1
