Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-52.2,NaN,24.3,,,,
0.0600,18,-57.4,0.0035,24.3,,,,
0.1200,38,-44.1,0.0030,24.3,,,,
0.1800,58,-25.5,0.0030,24.3,,,,
0.2400,78,-7.5,0.0030,24.3,,,,
0.3000,98,3.7,0.0030,24.3,,,,
0.3600,118,12.6,0.0030,24.3,,,,
0.4200,138,19.9,0.0030,24.4,,,,
0.4800,158,26.5,0.0030,24.4,,,,
0.5400,178,32.6,0.0030,24.4,,,,
0.6000,199,38.2,0.0030,24.4,,,,
0.6600,219,43.6,0.0030,24.4,,,,
0.7200,239,48.8,0.0030,24.4,,,,
0.7800,259,53.8,0.0030,24.4,,,,
0.8400,279,58.9,0.0030,24.4,,,,
0.9000,299,64.1,0.0030,24.4,,,,
0.9600,319,69.4,0.0030,24.5,,,,
1.0200,339,75.0,0.0030,24.5,,,,
1.0800,356,81.0,0.0035,24.5,,,,
1.1400,373,88.1,0.0035,24.5,,,,
1.2000,389,96.5,0.0040,24.5,,,,
1.2600,404,107.3,0.0040,24.5,245.41,2.39,,
1.3200,419,122.9,0.0040,24.5,299.87,2.48,,
1.3800,431,146.3,0.0050,24.5,331.57,2.52,,
1.4400,439,169.5,0.0080,24.5,320.64,2.51,,
1.5000,445,184.2,0.0100,24.5,261.81,2.42,,
1.5300,542,189.7,0.0005,24.6,210.97,2.32,,
1.5600,547,194.3,0.0055,24.6,150.98,2.18,,
1.5900,553,198.2,0.0050,24.6,115.31,2.06,,
1.6200,559,201.5,0.0055,24.6,104.02,2.02,,
1.6500,564,204.6,0.0060,24.6,93.50,1.97,,
1.6800,570,207.2,0.0050,24.6,84.46,1.93,,
1.7100,575,209.7,0.0055,24.6,77.46,1.89,,
1.7400,581,211.9,0.0055,24.6,71.50,1.85,,
1.7700,586,213.9,0.0065,24.6,65.84,1.82,,
1.8000,591,215.9,0.0060,24.6,61.26,1.79,,
1.8300,596,217.7,0.0060,24.6,56.69,1.75,,
1.8600,601,219.3,0.0060,24.6,53.43,1.73,,
1.8900,606,220.8,0.0060,24.6,50.09,1.70,,
1.9200,611,222.3,0.0055,24.6,47.60,1.68,,
1.9500,616,223.7,0.0055,24.6,45.81,1.66,,
1.9800,621,225.1,0.0055,24.6,44.00,1.64,,
2.0100,626,226.3,0.0055,24.6,41.67,1.62,,
2.0400,632,227.6,0.0055,24.6,39.14,1.59,,
2.0700,637,228.7,0.0065,24.6,37.13,1.57,,
2.1000,642,229.8,0.0060,24.6,35.29,1.55,,
2.1300,647,230.8,0.0060,24.6,33.80,1.53,,
2.1600,652,231.8,0.0060,24.6,,,,
2.1900,657,232.8,0.0060,24.6,,,,
2.2200,662,233.7,0.0060,24.6,,,,
2.2500,667,234.6,0.0060,24.6,,,,
2.2800,672,235.5,0.0055,24.6,,,,
SystemInternal6/20/2024 2:48:38 PM,,,,,,,,1/1
