Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-35.6,NaN,25.2,,,,
0.0600,3,-52.3,0.0175,25.2,,,,
0.1200,24,-34.8,0.0030,25.3,,,,
0.1800,44,-13.4,0.0030,25.3,,,,
0.2400,64,0.0,0.0030,25.3,,,,
0.3000,84,9.4,0.0030,25.3,,,,
0.3600,104,17.4,0.0030,25.3,,,,
0.4200,124,24.6,0.0030,25.3,,,,
0.4800,144,31.2,0.0030,25.3,,,,
0.5400,164,37.4,0.0030,25.3,,,,
0.6000,184,43.0,0.0030,25.3,,,,
0.6600,205,48.2,0.0030,25.3,,,,
0.7200,225,53.2,0.0030,25.3,,,,
0.7800,243,57.9,0.0035,25.3,,,,
0.8400,263,63.2,0.0030,25.3,,,,
0.9000,283,68.6,0.0030,25.3,,,,
0.9600,300,74.1,0.0035,25.3,,,,
1.0200,317,80.4,0.0035,25.3,,,,
1.0800,335,87.8,0.0035,25.3,,,,
1.1400,352,96.8,0.0035,25.3,,,,
1.2000,368,108.4,0.0035,25.3,262.81,2.42,,
1.2600,383,125.8,0.0040,25.3,314.18,2.50,,
1.3200,394,150.4,0.0055,25.3,338.56,2.53,,
1.3800,401,172.5,0.0085,25.3,317.45,2.50,,
1.4400,407,186.5,0.0100,25.3,250.34,2.40,,
1.4700,503,191.6,0.0005,25.3,195.65,2.29,,
1.5000,508,195.8,0.0055,25.3,138.25,2.14,,
1.5300,514,199.5,0.0050,25.3,108.85,2.04,,
1.5600,519,202.7,0.0060,25.3,98.98,2.00,,
1.5900,524,205.7,0.0055,25.3,90.80,1.96,,
1.6200,530,208.3,0.0050,25.3,82.20,1.91,,
1.6500,535,210.6,0.0060,25.3,74.92,1.87,,
1.6800,541,212.7,0.0055,25.3,68.83,1.84,,
1.7100,546,214.8,0.0065,25.3,64.02,1.81,,
1.7400,551,216.6,0.0060,25.3,60.42,1.78,,
1.7700,556,218.4,0.0060,25.3,56.62,1.75,,
1.8000,561,220.0,0.0060,25.3,52.79,1.72,,
1.8300,566,221.6,0.0060,25.3,48.90,1.69,,
1.8600,571,223.0,0.0060,25.3,46.27,1.67,,
1.8900,576,224.3,0.0060,25.3,43.77,1.64,,
1.9200,581,225.6,0.0055,25.3,42.13,1.62,,
1.9500,586,226.8,0.0055,25.3,40.47,1.61,,
1.9800,592,228.1,0.0055,25.3,39.00,1.59,,
2.0100,597,229.2,0.0065,25.3,37.33,1.57,,
2.0400,602,230.3,0.0065,25.3,35.49,1.55,,
2.0700,607,231.3,0.0065,25.3,,,,
2.1000,612,232.3,0.0060,25.3,,,,
2.1300,617,233.3,0.0060,25.3,,,,
2.1600,622,234.2,0.0060,25.3,,,,
2.1900,627,235.1,0.0060,25.3,,,,
SystemInternal6/20/2024 9:52:39 AM,,,,,,,,1/1
