SampleID,TA,Mass,Salinity
Junk,2366.033943,60.047,36.4
CRM,2229.839538,60.259,33.6
Junk2,2357.575468,59.977,36.4
Tank15_0616_1200,2357.934132,60.378,36.4
Tank16_0616_1200,2333.478871,60.245,36.4
Intake1_0616_2100,2354.990538,60.077,36.4
Intake2_0616_2100,2354.241901,60.043,36.4
Tank1_0616_2100,2359.093483,60.091,36.4
Tank2_0616_2100,2328.171821,60.346,36.4
Tank3_0616_2100,2359.502902,59.928,36.4
Tank4_0616_2100,2377.738585,60.039,36.4
Junk3,2286.555753,60.03,36.4
Tank5_0616_2100,2328.864768,60.365,36.4
Tank6_0616_2100,2352.744664,60.013,36.4
Tank7_0616_2100,2364.29848,59.977,36.4
Tank8_0616_2100,2354.950243,59.981,36.4
Tank9_0616_2100,2335.087189,60.067,36.4
Tank10_0616_2100,2351.796296,60.248,36.4
Tank11_0616_2100,2357.731883,60.318,36.4
Tank12_0616_2100,2352.298055,59.997,36.4
Junk4,2369.37455,60.259,36.4
Tank13_0616_2100,2364.818369,60.089,36.4
Tank14_0616_2100,2367.700579,60.188,36.4
Tank15_0616_2100,2360.115892,59.909,36.4
Tank16_0616_2100,2348.778901,60.023,36.4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
