Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-62.2,NaN,24.3,,,,
0.0600,17,-64.6,0.0035,24.3,,,,
0.1200,38,-53.4,0.0030,24.4,,,,
0.1800,58,-37.4,0.0030,24.4,,,,
0.2400,78,-17.0,0.0030,24.4,,,,
0.3000,98,-2.0,0.0030,24.4,,,,
0.3600,118,8.0,0.0030,24.4,,,,
0.4200,138,16.2,0.0030,24.4,,,,
0.4800,158,23.3,0.0030,24.4,,,,
0.5400,178,29.8,0.0030,24.4,,,,
0.6000,199,35.8,0.0030,24.5,,,,
0.6600,219,41.5,0.0030,24.5,,,,
0.7200,239,46.9,0.0030,24.5,,,,
0.7800,259,52.3,0.0030,24.5,,,,
0.8400,279,57.6,0.0030,24.5,,,,
0.9000,299,63.0,0.0030,24.5,,,,
0.9600,318,68.3,0.0030,24.5,,,,
1.0200,338,74.3,0.0030,24.5,,,,
1.0800,357,80.6,0.0030,24.6,,,,
1.1400,375,87.7,0.0035,24.6,,,,
1.2000,391,96.3,0.0035,24.6,,,,
1.2600,408,107.3,0.0035,24.6,250.30,2.40,,
1.3200,422,123.2,0.0045,24.6,304.92,2.48,,
1.3800,432,147.4,0.0060,24.6,335.51,2.53,,
1.4400,440,170.4,0.0070,24.6,321.67,2.51,,
1.5000,447,184.9,0.0090,24.6,260.20,2.42,,
1.5300,543,190.3,0.0005,24.7,207.63,2.32,,
1.5600,549,194.8,0.0055,24.7,146.97,2.17,,
1.5900,554,198.6,0.0055,24.7,113.59,2.06,,
1.6200,559,202.0,0.0055,24.7,102.65,2.01,,
1.6500,565,205.0,0.0050,24.7,92.69,1.97,,
1.6800,570,207.6,0.0060,24.7,83.82,1.92,,
1.7100,575,210.0,0.0060,24.7,76.78,1.89,,
1.7400,581,212.2,0.0050,24.7,70.83,1.85,,
1.7700,586,214.3,0.0060,24.7,65.69,1.82,,
1.8000,591,216.2,0.0060,24.7,61.08,1.79,,
1.8300,596,218.0,0.0055,24.7,56.76,1.75,,
1.8600,601,219.6,0.0055,24.7,53.09,1.72,,
1.8900,607,221.1,0.0050,24.7,49.75,1.70,,
1.9200,612,222.6,0.0060,24.7,46.93,1.67,,
1.9500,617,224.0,0.0060,24.7,44.80,1.65,,
1.9800,622,225.3,0.0060,24.7,42.63,1.63,,
2.0100,627,226.5,0.0060,24.7,40.46,1.61,,
2.0400,632,227.7,0.0060,24.7,38.47,1.59,,
2.0700,637,228.9,0.0055,24.7,36.94,1.57,,
2.1000,642,229.9,0.0055,24.7,35.81,1.55,,
2.1300,648,231.0,0.0055,24.7,34.87,1.54,,
2.1600,653,232.0,0.0065,24.7,,,,
2.1900,658,233.0,0.0065,24.7,,,,
2.2200,663,234.0,0.0060,24.7,,,,
2.2500,668,234.9,0.0060,24.7,,,,
2.2800,673,235.7,0.0060,24.7,,,,
SystemInternal6/20/2024 2:48:51 PM,,,,,,,,1/1
