Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-62.7,NaN,25.1,,,,
0.0600,17,-63.9,0.0035,25.2,,,,
0.1200,37,-52.2,0.0030,25.2,,,,
0.1800,57,-35.9,0.0030,25.2,,,,
0.2400,77,-15.3,0.0030,25.2,,,,
0.3000,97,-0.8,0.0030,25.2,,,,
0.3600,117,9.0,0.0030,25.2,,,,
0.4200,137,17.3,0.0030,25.2,,,,
0.4800,158,24.2,0.0030,25.2,,,,
0.5400,178,30.6,0.0030,25.2,,,,
0.6000,198,36.5,0.0030,25.2,,,,
0.6600,218,42.2,0.0030,25.2,,,,
0.7200,238,47.6,0.0030,25.2,,,,
0.7800,258,52.9,0.0030,25.2,,,,
0.8400,278,58.1,0.0030,25.2,,,,
0.9000,296,63.1,0.0035,25.2,,,,
0.9600,316,68.9,0.0030,25.2,,,,
1.0200,336,74.7,0.0030,25.3,,,,
1.0800,353,80.7,0.0035,25.3,,,,
1.1400,372,88.1,0.0030,25.3,,,,
1.2000,387,96.3,0.0040,25.3,,,,
1.2600,403,107.7,0.0040,25.3,250.05,2.40,,
1.3200,417,123.4,0.0045,25.3,304.63,2.48,,
1.3800,428,147.3,0.0055,25.3,335.03,2.53,,
1.4400,435,170.6,0.0085,25.3,322.03,2.51,,
1.5000,441,185.1,0.0095,25.3,260.24,2.42,,
1.5300,537,190.5,0.0005,25.3,208.83,2.32,,
1.5600,543,195.0,0.0050,25.3,147.87,2.17,,
1.5900,548,198.8,0.0055,25.3,113.27,2.05,,
1.6200,554,202.2,0.0055,25.3,103.07,2.01,,
1.6500,559,205.2,0.0060,25.3,93.03,1.97,,
1.6800,564,207.9,0.0060,25.3,84.14,1.92,,
1.7100,569,210.2,0.0060,25.3,77.31,1.89,,
1.7400,574,212.5,0.0055,25.3,70.98,1.85,,
1.7700,579,214.5,0.0055,25.3,65.67,1.82,,
1.8000,584,216.5,0.0055,25.3,61.29,1.79,,
1.8300,590,218.3,0.0055,25.3,56.89,1.76,,
1.8600,595,219.8,0.0065,25.3,52.70,1.72,,
1.8900,600,221.4,0.0065,25.3,50.00,1.70,,
1.9200,605,222.9,0.0060,25.3,47.22,1.67,,
1.9500,610,224.2,0.0060,25.3,45.28,1.66,,
1.9800,615,225.6,0.0060,25.3,43.39,1.64,,
2.0100,620,226.9,0.0060,25.3,40.94,1.61,,
2.0400,625,228.0,0.0060,25.3,38.95,1.59,,
2.0700,630,229.2,0.0055,25.3,37.19,1.57,,
2.1000,635,230.3,0.0055,25.3,35.08,1.55,,
2.1300,640,231.3,0.0055,25.3,,,,
2.1600,646,232.3,0.0055,25.3,,,,
2.1900,651,233.3,0.0065,25.3,,,,
2.2200,656,234.2,0.0060,25.3,,,,
2.2500,661,235.2,0.0060,25.3,,,,
6/20/2024 12:50:34 PMSystemInternal,,,,,,,,1/1
