Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-57.3,NaN,24.3,,,,
0.0600,18,-61.3,0.0035,24.3,,,,
0.1200,38,-49.2,0.0030,24.3,,,,
0.1800,58,-31.7,0.0030,24.3,,,,
0.2400,78,-12.1,0.0030,24.4,,,,
0.3000,98,0.8,0.0030,24.4,,,,
0.3600,118,10.2,0.0030,24.4,,,,
0.4200,138,17.9,0.0030,24.4,,,,
0.4800,158,24.7,0.0030,24.4,,,,
0.5400,178,30.9,0.0030,24.4,,,,
0.6000,199,36.7,0.0030,24.5,,,,
0.6600,219,42.3,0.0030,24.5,,,,
0.7200,239,47.6,0.0030,24.5,,,,
0.7800,259,52.8,0.0030,24.5,,,,
0.8400,279,57.9,0.0030,24.5,,,,
0.9000,299,63.1,0.0030,24.5,,,,
0.9600,319,68.4,0.0030,24.5,,,,
1.0200,338,74.1,0.0030,24.6,,,,
1.0800,357,80.3,0.0030,24.6,,,,
1.1400,375,87.3,0.0035,24.6,,,,
1.2000,392,95.6,0.0035,24.6,,,,
1.2600,408,106.3,0.0040,24.6,242.69,2.39,,
1.3200,424,121.6,0.0040,24.6,298.59,2.48,,
1.3800,435,144.8,0.0055,24.6,332.75,2.52,,
1.4400,443,168.5,0.0080,24.6,323.81,2.51,,
1.5000,449,183.6,0.0100,24.6,266.30,2.43,,
1.5300,546,189.2,0.0005,24.7,215.88,2.33,,
1.5600,551,193.7,0.0055,24.7,154.57,2.19,,
1.5900,557,197.7,0.0045,24.7,116.40,2.07,,
1.6200,563,201.2,0.0055,24.7,104.66,2.02,,
1.6500,568,204.2,0.0060,24.7,94.46,1.98,,
1.6800,573,206.8,0.0060,24.7,85.33,1.93,,
1.7100,579,209.3,0.0055,24.7,77.58,1.89,,
1.7400,584,211.6,0.0060,24.7,71.96,1.86,,
1.7700,589,213.6,0.0055,24.7,67.04,1.83,,
1.8000,595,215.6,0.0055,24.7,62.27,1.79,,
1.8300,600,217.4,0.0060,24.7,57.74,1.76,,
1.8600,605,219.1,0.0060,24.7,53.90,1.73,,
1.8900,610,220.6,0.0060,24.7,50.61,1.70,,
1.9200,615,222.1,0.0060,24.7,47.42,1.68,,
1.9500,620,223.5,0.0060,24.7,45.27,1.66,,
1.9800,625,224.8,0.0055,24.7,43.48,1.64,,
2.0100,630,226.1,0.0055,24.7,41.67,1.62,,
2.0400,636,227.3,0.0055,24.7,39.47,1.60,,
2.0700,641,228.5,0.0065,24.7,37.67,1.58,,
2.1000,646,229.6,0.0065,24.7,35.81,1.55,,
2.1300,651,230.6,0.0065,24.7,33.95,1.53,,
2.1600,656,231.6,0.0060,24.7,,,,
2.1900,661,232.6,0.0060,24.7,,,,
2.2200,666,233.5,0.0060,24.7,,,,
2.2500,671,234.4,0.0060,24.7,,,,
2.2800,676,235.3,0.0060,24.7,,,,
SystemInternal6/20/2024 4:20:02 PM,,,,,,,,1/1
