Sample.ID1,Weight,Salinity
Junk,60.047,36.4
CRM,60.259,33.6
Junk2,59.977,36.4
Tank15_0616_1200,60.378,36.4
Tank16_0616_1200,60.245,36.4
Intake1_0616_2100,60.077,36.4
Intake2_0616_2100,60.043,36.4
Tank1_0616_2100,60.091,36.4
Tank2_0616_2100,60.346,36.4
Tank3_0616_2100,59.928,36.4
Tank4_0616_2100,60.039,36.4
Junk3,60.03,36.4
Tank5_0616_2100,60.365,36.4
Tank6_0616_2100,60.013,36.4
Tank7_0616_2100,59.977,36.4
Tank8_0616_2100,59.981,36.4
Tank9_0616_2100,60.067,36.4
Tank10_0616_2100,60.248,36.4
Tank11_0616_2100,60.318,36.4
Tank12_0616_2100,59.997,36.4
Junk4,60.259,36.4
Tank13_0616_2100,60.089,36.4
Tank14_0616_2100,60.188,36.4
Tank15_0616_2100,59.909,36.4
Tank16_0616_2100,60.023,36.4
Junk5,60.287,36.4
Intake1_0620_1200,59.821,36.4
Intake2_0620_1200,60.289,36.4
Tank1_0620_1200,60.004,36.4
Tank2_0620_1200,59.946,36.4
Tank3_0620_1200,60.195,36.4
Tank4_0620_1200,60.383,36.4
Tank5_0620_1200,60.206,36.4
Tank6_0620_1200,60.094,36.4
