Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-61.1,NaN,25.5,,,,
0.0600,16,-63.0,0.0035,25.5,,,,
0.1200,37,-51.6,0.0030,25.5,,,,
0.1800,57,-35.3,0.0030,25.5,,,,
0.2400,77,-15.2,0.0030,25.5,,,,
0.3000,97,-0.6,0.0030,25.5,,,,
0.3600,117,9.3,0.0030,25.5,,,,
0.4200,137,17.4,0.0030,25.5,,,,
0.4800,158,24.4,0.0030,25.5,,,,
0.5400,178,30.8,0.0030,25.5,,,,
0.6000,198,36.7,0.0030,25.5,,,,
0.6600,218,42.3,0.0030,25.5,,,,
0.7200,238,47.7,0.0030,25.5,,,,
0.7800,258,53.0,0.0030,25.5,,,,
0.8400,278,58.3,0.0030,25.5,,,,
0.9000,298,63.5,0.0030,25.5,,,,
0.9600,318,69.0,0.0030,25.5,,,,
1.0200,338,74.6,0.0030,25.5,,,,
1.0800,355,80.7,0.0035,25.5,,,,
1.1400,372,88.0,0.0035,25.5,,,,
1.2000,389,96.5,0.0035,25.5,,,,
1.2600,406,107.8,0.0035,25.5,250.58,2.40,,
1.3200,421,123.5,0.0040,25.5,304.48,2.48,,
1.3800,432,147.3,0.0055,25.5,334.52,2.52,,
1.4400,439,170.7,0.0080,25.5,321.31,2.51,,
1.5000,445,185.1,0.0100,25.5,260.32,2.42,,
1.5300,541,190.5,0.0005,25.5,208.89,2.32,,
1.5600,546,195.0,0.0055,25.5,148.01,2.17,,
1.5900,552,198.9,0.0055,25.5,113.24,2.05,,
1.6200,557,202.3,0.0060,25.5,103.47,2.01,,
1.6500,562,205.2,0.0060,25.5,93.37,1.97,,
1.6800,568,207.9,0.0050,25.5,84.33,1.93,,
1.7100,573,210.3,0.0060,25.5,77.10,1.89,,
1.7400,578,212.6,0.0060,25.5,70.98,1.85,,
1.7700,583,214.6,0.0060,25.5,65.69,1.82,,
1.8000,588,216.5,0.0060,25.5,61.09,1.79,,
1.8300,593,218.3,0.0055,25.5,56.89,1.76,,
1.8600,598,219.9,0.0055,25.5,53.21,1.73,,
1.8900,604,221.5,0.0055,25.5,50.48,1.70,,
1.9200,609,223.0,0.0065,25.5,47.94,1.68,,
1.9500,614,224.3,0.0065,25.5,45.81,1.66,,
1.9800,619,225.7,0.0065,25.5,43.14,1.63,,
2.0100,624,227.0,0.0060,25.5,40.98,1.61,,
2.0400,629,228.2,0.0060,25.5,38.97,1.59,,
2.0700,634,229.3,0.0060,25.5,36.94,1.57,,
2.1000,639,230.3,0.0060,25.5,35.33,1.55,,
2.1300,644,231.5,0.0055,25.5,,,,
2.1600,649,232.4,0.0055,25.5,,,,
2.1900,654,233.4,0.0055,25.5,,,,
2.2200,660,234.4,0.0055,25.5,,,,
2.2500,665,235.2,0.0065,25.5,,,,
6/20/2024 12:49:36 PMSystemInternal,,,,,,,,1/1
