Experiment Name:,2024_11_18

Tube Name:,Record Time:,Volume(μL):,All Events ,Symbionts Events,include Events,All Events  Events/μL(V),Symbionts Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,Symbionts Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,Symbionts Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,Symbionts Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,Symbionts Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,Symbionts Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,Symbionts Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,Symbionts Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-D6(2),2024-11-18 12:55:35,90.1,16974,5688,15168,188.46,63.15,193.68,750021.2,1155376.6,749969.3,1963764.9,2483472.0,1962188.3,1138618.4,2691037.8,1143351.9,4414992.0,5520590.5,4403855.0,123551.1,262836.9,124024.7,51538.4,83080.4,51603.3,2125015.8,4965066.0,2128338.0
01-Well-A7,2024-11-18 13:06:59,13.8,6,0,0,0.44,0.00,0.00,860163.6,####,####,3640406.8,####,####,256511.9,####,####,5146487.0,####,####,50825.8,####,####,218906.9,####,####,335037.4,####,####
01-Well-B7,2024-11-18 13:10:41,90.0,17154,4506,15424,190.55,50.05,197.06,585599.7,1065837.3,584771.1,1482810.1,2150140.0,1479709.4,947868.2,2785854.8,951131.4,4408192.0,5560748.5,4401034.0,106606.2,278492.4,107003.2,36103.8,66604.0,35863.8,1735417.9,4977119.5,1738905.0
01-Well-C7,2024-11-18 13:13:04,90.0,17068,4523,15227,189.57,50.24,194.51,632655.4,1072373.3,630856.2,1689923.9,2092105.1,1686951.0,957283.8,2758291.5,956340.9,4423674.0,5566566.0,4408730.5,105546.0,263282.2,105345.6,40918.2,68509.9,40471.6,1750499.0,4902034.0,1746880.0
01-Well-D7,2024-11-18 13:15:21,90.0,26154,5286,23523,290.58,58.73,300.60,607358.1,1105566.6,606695.7,1658078.3,2117238.5,1658950.1,679418.2,2346785.8,678868.8,4098385.8,5535371.0,4092106.8,74601.8,211834.5,74636.3,38521.5,69479.4,38758.8,1248969.4,4291747.5,1247374.4
01-Well-E7,2024-11-18 13:18:32,90.0,13659,1919,12270,151.69,21.31,156.72,630177.3,1028112.9,628430.8,1793486.9,2355054.3,1791490.3,594150.9,2584399.5,595463.5,4538172.5,5606517.0,4540813.5,79464.0,246151.9,79362.7,65905.0,67918.4,65681.4,1088393.1,4708987.0,1089277.8
01-Well-F7,2024-11-18 13:20:49,90.0,17899,3418,16132,198.80,37.96,206.07,589805.5,1073357.0,587966.2,1582868.3,2116414.3,1579774.8,759619.1,2722726.0,758682.9,4093472.5,5572158.5,4083190.3,97421.9,272499.4,97220.1,60336.6,78298.5,60185.9,1403988.1,4829714.5,1400403.5
01-Well-A7(1),2024-11-18 13:08:23,90.0,45013,6246,40724,499.94,69.37,520.20,434831.9,1044641.4,433178.0,1230221.9,2372139.3,1227388.9,571498.1,2571416.5,568769.2,3206755.3,5465998.5,3202819.8,65257.7,269770.0,64941.4,35623.9,79069.7,35091.0,1017960.7,4398375.0,1014291.3
01-Well-A1,2024-11-18 13:30:29,90.0,73189,9880,65290,813.07,109.76,834.23,453375.0,1013316.8,451795.7,1241173.9,1941385.6,1237563.6,493184.7,2198593.3,492502.8,3830290.3,5345631.0,3822900.0,54196.4,174352.9,54114.0,35815.7,53225.8,35220.9,940680.3,4085620.5,938951.1
01-Well-B1,2024-11-18 13:32:41,90.1,41821,6411,37208,464.40,71.19,475.18,537059.2,986086.3,532736.8,1510278.9,1913012.6,1499270.4,502738.3,1955496.6,498162.5,4258105.5,5482106.0,4239676.0,63470.2,185128.1,63004.7,36663.6,64203.2,36399.5,1058018.1,4159886.5,1049106.8
01-Well-C1,2024-11-18 13:35:06,90.0,154576,16382,137479,1717.43,182.01,1756.86,480278.8,1026419.5,477084.3,1473853.6,2132860.8,1463515.4,488508.3,2647385.3,488326.3,4024135.8,5277110.0,4006908.3,47929.8,199415.4,47905.3,20598.2,43956.3,20462.7,945701.5,4968281.0,946389.4
01-Well-D1,2024-11-18 13:37:44,90.0,52376,9034,46373,581.89,100.37,592.55,503852.1,1047859.0,499297.2,1357494.4,2073819.8,1342575.5,567291.3,2093283.8,563593.9,3895534.3,5462838.5,3878891.3,57749.7,161757.9,57408.0,27898.4,57379.4,27784.9,1127071.4,4144071.3,1121004.4
01-Well-E1,2024-11-18 13:40:07,90.0,111459,12719,99406,1238.32,141.31,1270.26,538809.3,1066866.4,537773.3,1775797.9,2147675.5,1775627.0,451357.7,2273341.8,453249.6,4150674.8,5297888.0,4147169.3,45096.3,162104.0,45244.8,28080.2,41021.5,28135.1,855913.0,4261138.0,858887.9
01-Well-F1,2024-11-18 13:42:24,90.0,58123,15415,51383,645.76,171.26,656.60,720253.3,1049876.1,715723.3,1930730.3,2150920.5,1920482.1,754499.9,1943509.8,756085.8,4482508.5,5410417.0,4467754.5,94784.4,205243.7,94996.3,56617.5,79376.6,56574.9,1539671.5,4024605.3,1542842.3
01-Well-G1,2024-11-18 13:44:45,90.0,78131,9708,69660,868.09,107.86,890.20,590317.1,1070920.5,588692.9,1989359.1,2293689.3,1981444.8,487029.2,2260034.3,490577.4,4271695.0,5347582.5,4258771.0,53533.5,176514.3,53702.6,37230.8,61521.4,37288.2,955554.6,4392412.0,961854.1
01-Well-A2,2024-11-18 13:52:58,84.8,42943,7944,38056,506.57,93.71,520.87,662119.3,1039615.1,659790.6,2153807.0,2498531.8,2144554.3,598415.5,2143404.8,602542.2,4580649.0,5376559.5,4562781.5,79490.6,212434.6,79458.8,35000.4,57635.0,34777.0,1202265.4,4231065.5,1207572.1
01-Well-B2,2024-11-18 13:58:58,90.8,51540,5826,45137,567.63,64.16,571.01,598167.2,1089724.3,594126.6,1939728.6,2394281.5,1927611.6,518439.4,2617658.3,516241.8,4016013.8,5464984.0,3997983.5,57053.6,216725.2,56675.8,27663.9,46883.7,27474.3,998342.5,4877009.0,991377.5
01-Well-C2,2024-11-18 14:03:37,90.0,59065,9241,52726,656.04,102.64,673.54,459234.1,1058953.9,457153.0,1222665.8,2133840.5,1217498.3,592167.6,2485241.5,591287.8,3821678.0,5414159.0,3807207.3,61043.7,202759.0,60973.0,24444.4,54963.8,24362.9,1172029.1,4827876.5,1169121.6
01-Well-D2,2024-11-18 14:06:13,90.0,16776,3913,14854,186.30,43.46,189.71,623612.1,996751.8,618884.0,1858710.8,2275092.8,1848230.3,679249.6,2030401.8,677670.3,4452794.5,5570864.0,4440018.5,75173.5,176782.3,74998.6,34107.6,49423.2,34106.0,1368759.8,4047045.3,1367033.1
01-Well-E2,2024-11-18 14:08:57,90.0,43396,11279,38686,482.08,125.30,494.28,611192.6,1044057.8,608189.6,1656386.5,2275862.3,1654674.5,833340.9,2386450.0,831653.3,4463873.0,5389099.0,4454768.5,78745.4,193042.2,78811.9,33697.1,57135.4,33682.1,1604423.6,4541707.0,1600317.6
01-Well-F2,2024-11-18 14:11:15,90.0,30791,5458,27342,342.07,60.64,349.37,586276.8,1045890.7,584137.6,1668509.8,2055538.9,1664840.8,637279.8,2330881.3,637317.1,4441266.0,5575852.0,4430168.0,65192.4,188087.6,65136.6,28773.2,52756.8,28682.8,1241764.8,4553808.5,1241799.1
01-Well-G2,2024-11-18 14:13:40,90.0,58228,12841,51858,646.80,142.64,662.52,551396.7,968544.8,548600.3,1480003.5,1918918.8,1475561.4,646194.0,2035509.4,646204.4,4357928.0,5357777.5,4346197.5,68335.1,175409.5,68392.0,37898.4,49583.8,37659.4,1294709.4,4062958.0,1294372.0
01-Well-H2,2024-11-18 14:16:02,90.0,32738,7733,29148,363.68,85.91,372.42,582248.1,1021941.0,579887.3,1487563.0,1841239.8,1484690.8,857869.4,2599111.5,855370.8,4289382.0,5556896.5,4279318.0,88417.1,213914.1,88342.9,34449.5,52791.1,34408.0,1671330.0,4950322.5,1666577.8
01-Well-A12,2024-11-18 14:20:56,90.1,14,1,8,0.16,0.01,0.10,862853.9,1524535.5,837211.5,3205411.0,5572545.5,3172211.0,531432.7,2105450.5,473390.4,4783955.0,5698700.0,4101533.3,92924.0,143689.2,94888.9,38310.4,82051.3,45145.0,1199021.8,4475929.0,1113515.8
01-Well-B12,2024-11-18 14:23:08,90.2,8,0,3,0.09,0.00,0.04,534461.5,####,371749.2,1878190.1,####,1050943.8,660424.8,####,171902.8,3810133.8,####,4151480.3,54323.5,####,24123.8,14629.1,####,12372.7,1309597.4,####,334348.9
01-Well-C12,2024-11-18 14:25:04,90.2,3,0,2,0.03,0.00,0.03,564435.5,####,289802.3,2426534.5,####,833650.1,100345.5,####,103738.6,4023514.0,####,3186146.0,14170.3,####,11426.5,24030.8,####,7108.2,164114.1,####,181805.8
01-Well-A2(1),2024-11-18 13:55:11,90.1,53105,9822,47205,589.70,109.07,602.85,661748.4,1033018.1,658269.8,2161390.0,2501357.5,2154688.8,594356.5,2117620.3,594613.2,4602014.5,5376564.5,4583220.0,78276.6,210398.1,78350.9,35028.9,57094.6,34926.3,1194947.3,4197356.0,1193851.8
01-Well-B2(1),2024-11-18 14:01:23,29.9,29,5,27,0.97,0.17,1.51,554934.7,1110119.9,489146.1,1644983.1,2305238.5,1346455.6,549885.8,2300707.5,575896.1,3650110.0,5686790.5,3498765.8,56512.9,192991.0,56096.6,28172.1,60532.7,25450.5,1090469.4,4777243.0,1148940.8
01-Well-B2(2),2024-11-18 14:18:33,90.0,75404,9070,66967,837.36,100.72,855.28,599079.7,1091955.8,596398.6,1897619.8,2377807.0,1889941.4,526108.3,2583674.0,527511.9,3974704.5,5447980.0,3961508.5,57151.7,214772.4,57203.6,27194.2,47166.5,27063.8,1011685.4,4839370.0,1012105.4
