TUBENAME,CORAL_NUM,GENOTYPE,TREATMENT,Volume(μL):,INCLUDE_VOL_UL,All Events,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),cells/uL from total events / include volume,calc vs fcm program diff,ENDO_COUNT
01-Well-D4(1),113,C,Rubble_Dom,90,75,24063,7280,20666,267.26,80.86,275.66,97.06666667,16.20666667,323.44
01-Well-E4(2),118,N,Algae_Dom,90,75,23040,3834,19860,255.94,42.59,264.96,51.12,8.53,170.36
01-Well-B5,148,O,Coral_Dom,90.1,75.1,27980,5414,23985,310.68,60.11,319.82,72.09054594,11.98054594,240.44
01-Well-C5,151,W,Control,90,75,39756,6893,34003,441.51,76.55,453.5,91.90666667,15.35666667,306.2
01-Well-D5,62,R,Rubble_Dom,90,75,15227,3677,13155,169.19,40.86,175.55,49.02666667,8.166666667,163.44
01-Well-G5,208,X,Coral_Dom,90.1,75.1,38488,7529,33431,427.35,83.6,445.77,100.252996,16.65299601,334.4
01-Well-H5,210,Q,Coral_Dom,70,55,27090,4211,21264,386.79,60.13,386.82,76.56363636,16.43363636,240.52
01-Well-A6,1,T,Coral_Dom,78.1,63.1,25093,6695,20715,321.27,85.72,329.33,106.1014263,20.38142631,342.88
01-Well-B6,2,M,Algae_Dom,90,75,32913,4746,28244,365.68,52.73,376.9,63.28,10.55,210.92
01-Well-C6,14,B,Control,90,75,36893,14449,31480,409.89,160.53,420.07,192.6533333,32.12333333,642.12
01-Well-D6,15,V,Control,90,75,100939,14268,84635,1121.42,158.52,1129.31,190.24,31.72,634.08
01-Well-E6,18,V,Rubble_Dom,90,75,24505,4604,21065,272.23,51.15,281.05,61.38666667,10.23666667,204.6
01-Well-F6,41,B,Coral_Dom,90,75,14801,7888,12662,164.41,87.62,168.92,105.1733333,17.55333333,350.48
01-Well-E5(2),203,X,Algae_Dom,90.1,75.1,51124,10978,43983,567.48,121.86,586.25,146.1784288,24.31842876,487.44
01-Well-G6(1),51,F,Coral_Dom,90.2,75.2,29803,6855,25558,330.58,76.04,340.36,91.15691489,15.11691489,304.16
01-Well-A7,56,A,Algae_Dom,90,75,22915,7121,19818,254.53,79.1,264.37,94.94666667,15.84666667,316.4
01-Well-B7,60,J,Control,90.1,75.1,66901,4735,57144,742.89,52.58,762.03,63.04926764,10.46926764,210.32
01-Well-C7,63,E,Coral_Dom,90.1,75.1,38877,7064,33393,431.68,78.44,445.27,94.06125166,15.62125166,313.76
01-Well-E7,85,E,Control,90,75,153320,18634,130777,1703.12,206.99,1744.68,248.4533333,41.46333333,827.96
01-Well-F7,92,G,Algae_Dom,90,75,175885,34191,150774,1953.61,379.77,2011.26,455.88,76.11,1519.08
01-Well-A8,97,V,Algae_Dom,90,75,10200,1960,8772,113.32,21.77,117.04,26.13333333,4.363333333,87.08
01-Well-C8,110,K,Rubble_Dom,90.1,75.1,33626,9382,28870,373.26,104.14,384.82,124.9267643,20.78676431,416.56
01-Well-D8,111,A,Rubble_Dom,90.1,75.1,38531,7104,32921,427.87,78.89,439.02,94.59387483,15.70387483,315.56
01-Well-E8,128,R,Algae_Dom,90,75,29186,6344,25195,324.19,70.47,336.1,84.58666667,14.11666667,281.88
01-Well-F8,136,S,Coral_Dom,90.1,75.1,20631,4896,17607,229.02,54.35,234.71,65.1930759,10.8430759,217.4
01-Well-G8,138,R,Coral_Dom,90,75,65475,8318,55307,727.39,92.41,737.94,110.9066667,18.49666667,369.64
01-Well-H8,146,O,Control,42.5,27.5,37484,2389,23711,882.41,56.24,861.72,86.87272727,30.63272727,224.96
01-Well-H7(1),96,N,Rubble_Dom,90,75,51487,8453,43984,572.03,93.91,586.9,112.7066667,18.79666667,375.64
01-Well-A9,153,D,Algae_Dom,90,75,114417,12590,98662,1270.93,139.85,1316.2,167.8666667,28.01666667,559.4
01-Well-B9,156,H,Algae_Dom,90,75,40977,19569,35172,455.07,217.33,469.09,260.92,43.59,869.32
01-Well-C9,159,H,Rubble_Dom,90,75,21221,4966,18067,235.7,55.16,240.99,66.21333333,11.05333333,220.64
01-Well-D9,162,O,Algae_Dom,90,75,24917,5763,21269,276.85,64.03,283.83,76.84,12.81,256.12
01-Well-E9,202,X,Control,90,75,17455,4765,14929,193.84,52.92,199.1,63.53333333,10.61333333,211.68
01-Well-A10,27,I,Coral_Dom,90,75,18793,4449,16069,208.78,49.43,214.4,59.32,9.89,197.72
01-Well-A12,blank1_1122,BLANK,BLANK,90.1,75.1,12,1,8,0.13,0.01,0.11,0.013315579,0.003315579,0.04
01-Well-B12,blank2_1122,BLANK,BLANK,90.1,75.1,4,1,3,0.04,0.01,0.04,0.013315579,0.003315579,0.04
01-Well-C12,blank3_1122,BLANK,BLANK,90.2,75.2,4,1,2,0.04,0.01,0.03,0.013297872,0.003297872,0.04
01-Well-A1,6,J,Algae_Dom,90,75,43748,6765,38293,485.85,75.13,489.1,90.2,15.07,300.52
01-Well-B1,8,J,Coral_Dom,90.1,75.1,9567,3174,8379,106.22,35.24,106.99,42.26364847,7.023648469,140.96
01-Well-C1,16,B,Algae_Dom,90,75,55027,16112,49085,611.25,178.97,627.1,214.8266667,35.85666667,715.88
01-Well-D1,19,L,Rubble_Dom,90,75,39728,12030,34839,441.35,133.64,445.15,160.4,26.76,534.56
01-Well-E1,28,P,Control,90,75,30379,5697,26319,337.52,63.3,336.32,75.96,12.66,253.2
01-Well-F1,33,F,Algae_Dom,90,75,52502,17239,45810,583.21,191.5,585.28,229.8533333,38.35333333,766
01-Well-G1,36,W,Rubble_Dom,90,75,63667,16361,54998,707.23,181.74,702.66,218.1466667,36.40666667,726.96
01-Well-H1,38,I,Algae_Dom,90,75,77636,18131,67597,862.57,201.44,863.81,241.7466667,40.30666667,805.76
01-Well-A2,40,A,Coral_Dom,90,75,45630,12822,40873,506.78,142.4,522.09,170.96,28.56,569.6
01-Well-D2,58,A,Control,90.1,75.1,18730,8005,16428,207.97,88.88,209.78,106.5912117,17.71121172,355.52
01-Well-E2,59,K,Algae_Dom,90,75,43444,15705,37793,482.7,174.5,482.98,209.4,34.9,698
01-Well-F2,66,R,Control,90,75,21103,8218,18504,234.48,91.31,236.47,109.5733333,18.26333333,365.24
01-Well-G2,68,F,Control,90,75,64799,16753,56953,719.68,186.06,727.49,223.3733333,37.31333333,744.24
01-Well-H2(1),80,S,Rubble_Dom,85.6,70.6,40942,13912,35262,478.12,162.47,477.29,197.0538244,34.58382436,649.88
