Experiment Name:,Exp_20241125_1

Tube Name:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H
01-Well-A1,90.0,43748,6765,38293,485.85,75.13,489.10,904549.2,1019015.5,909611.9,3168440.0,2278976.5,3184771.0,618902.1,2164584.8,625383.9,5046568.5,5456712.5,5039995.0,78493.1,175861.0,79230.2,66811.4,59669.7,67674.8
01-Well-B1,90.1,9567,3174,8379,106.22,35.24,106.99,1196692.6,1053496.5,1199794.4,3434258.0,2267916.3,3433509.8,1181879.3,2358323.3,1194215.4,5358781.5,5597372.0,5356396.5,140695.2,218739.1,142203.7,106919.3,79042.1,106935.6
01-Well-C1,90.0,55027,16112,49085,611.25,178.97,627.10,876839.3,994745.4,882746.8,2530351.8,1909353.3,2549607.8,912071.7,2039386.5,920509.3,4632646.0,5234691.5,4630949.0,96603.7,177096.8,97798.2,75610.4,44447.0,77000.4
01-Well-D1,90.0,39728,12030,34839,441.35,133.64,445.15,916360.3,1030850.8,919996.3,2736911.0,2188117.5,2743464.8,918196.8,2030308.1,930939.9,4778183.0,5362977.0,4775498.0,110496.5,193056.6,111891.5,95940.3,49631.8,96673.5
01-Well-E1,90.0,30379,5697,26319,337.52,63.30,336.32,941479.9,1078620.1,951290.3,2870296.8,2496227.3,2901842.8,799826.9,2460565.8,814616.6,5054178.0,5530175.5,5061284.0,119782.6,254819.6,122160.9,73059.9,57372.7,74464.9
01-Well-F1,90.0,52502,17239,45810,583.21,191.50,585.28,955878.8,1050426.4,964229.3,2773652.8,2410896.3,2797084.3,1004495.9,1965921.0,1021852.6,4797174.0,5257777.0,4798301.0,120020.3,196106.8,122279.9,84981.6,53462.3,85715.2
01-Well-G1,90.0,63667,16361,54998,707.23,181.74,702.66,999955.5,1082574.5,1011308.9,2872624.3,2013185.8,2908915.3,933998.3,2194222.3,948462.1,4843279.0,5230840.0,4845612.5,96161.7,165143.1,97773.1,59533.2,46192.6,60828.2
01-Well-H1,90.0,77636,18131,67597,862.57,201.44,863.81,887175.3,1063322.9,892635.9,2639299.5,2093341.6,2654686.5,1069268.6,2887712.3,1088135.3,4924136.5,5341947.5,4919696.0,111136.7,227518.1,113044.1,52699.2,44757.8,53318.7
01-Well-A2,90.0,45630,12822,40873,506.78,142.40,522.09,825158.9,1008390.1,827940.6,2462992.0,1845256.6,2466816.0,839569.0,2043884.5,851606.6,4697608.5,5346542.0,4696554.5,86927.1,169188.7,87949.1,42669.5,34793.8,42886.7
01-Well-B2,14.8,3478,47,124,234.26,3.17,39.50,901535.7,1046188.2,958597.4,2711651.0,1918972.9,2589918.8,770783.5,2072438.1,1013395.8,4991076.0,5604832.0,5184221.5,91176.2,165738.2,103127.3,61814.4,54317.7,61300.8
01-Well-C2,31.4,9316,483,6280,297.14,15.41,324.97,637896.4,1038390.2,629271.4,2131510.5,2840203.3,2124819.8,409286.3,2499084.3,403360.2,3919080.3,5495024.5,3915883.3,70338.2,297627.2,67679.8,42610.0,59101.9,41271.4
01-Well-D2,90.1,18730,8005,16428,207.97,88.88,209.78,1149336.4,1022125.1,1157657.4,3191886.5,2061377.9,3217676.8,1328147.1,2180478.5,1342636.8,5341310.5,5501342.0,5343665.5,156155.7,231862.5,157797.2,82999.0,68387.7,83921.2
01-Well-E2,90.0,43444,15705,37793,482.70,174.50,482.98,1073417.5,1048725.6,1079013.1,2930673.3,2190189.8,2942776.3,1199146.5,2171914.3,1218951.9,5100774.0,5344961.5,5096723.5,130126.4,187992.7,132146.2,72741.1,47479.1,73665.7
01-Well-F2,90.0,21103,8218,18504,234.48,91.31,236.47,1036059.4,1053085.3,1041533.9,2842430.3,2132528.3,2860444.8,1236046.6,2248639.3,1251116.0,5171792.5,5514150.5,5181261.0,144894.9,209197.2,146347.1,80396.8,54065.8,80405.3
01-Well-G2,90.0,64799,16753,56953,719.68,186.06,727.49,1043710.8,1077821.8,1055326.0,3181597.5,2590169.0,3222444.0,921456.6,2188984.8,934245.2,4703644.5,5025945.0,4703556.0,123845.4,230498.6,125740.5,91253.6,62059.4,92911.9
01-Well-H2,42.8,10214,2201,5580,238.71,51.44,179.32,844238.3,1080168.5,854866.3,2435332.5,2571063.5,2474184.3,1005926.8,2113352.8,1047550.6,4804646.0,5347952.5,4807220.0,152864.6,292354.0,158049.8,68531.5,84338.9,68558.6
01-Well-B2(1),17.1,683,0,6,40.00,0.00,1.25,840370.2,####,273701.6,2633037.5,####,334703.7,631805.2,####,161661.0,4923560.0,####,2709945.8,79256.8,####,17718.2,53134.7,####,6341.6
01-Well-H2(1),85.6,40942,13912,35262,478.12,162.47,477.29,853777.6,1072500.5,854632.5,2453904.5,2544195.5,2453450.5,1041981.1,2082101.0,1051638.9,4741316.5,5281305.0,4728470.0,156846.1,284868.2,158168.9,69865.6,82518.9,70318.2
01-Well-B2(2),16.5,2019,4,60,122.39,0.24,14.21,881053.4,950970.1,480306.3,2571670.3,1801587.1,1198497.1,730679.6,1843139.0,352784.4,5004937.0,5628897.0,3486292.3,87507.3,137957.8,41428.6,60372.6,33884.3,26190.6
01-Well-C2(1),21.0,1622,5,77,77.14,0.24,8.69,622445.6,1065919.0,771609.8,1992505.0,2600872.3,2607419.8,446259.5,2229537.5,350362.3,3844263.5,5660571.5,3935928.8,70804.8,228850.9,66569.1,39133.8,49271.7,51336.0
