CORAL_NUM,GENOTYPE,TREATMENT,endo_per_cm2,initial_endo
1,T,Coral_Dom,NA,NA
2,M,Algae_Dom,NA,NA
6,J,Algae_Dom,0.26861837072917866,NA
8,J,Coral_Dom,0.16809013129626896,NA
10,G,Coral_Dom,0.6419405977860237,1.2966341787360331
11,M,Control,0.7400478135083739,NA
13,U,Rubble_Dom,0.7423689095274956,0.7774960435906315
14,B,Control,0.295244959777778,NA
15,V,Control,0.4350829678371022,1.1013906315562203
16,B,Algae_Dom,0.24838053913465138,NA
18,V,Rubble_Dom,0.42693319013448566,1.1013906315562203
19,L,Rubble_Dom,0.3282352246726337,NA
21,N,Control,0.8826733423473712,0.929447095142448
25,M,Rubble_Dom,0.41357412658628456,NA
27,I,Coral_Dom,0.43836789474510657,NA
28,P,Control,0.1682118258669598,NA
33,F,Control,0.4464649726217026,0.8233524278308041
36,W,Rubble_Dom,0.5083036131912647,1.1932564592199246
37,C,Control,0.4953709075069171,NA
38,I,Algae_Dom,0.5338868981458659,NA
40,A,Coral_Dom,0.4971516232992774,0.8357502039027154
41,B,Coral_Dom,0.2791232749510181,NA
43,N,Coral_Dom,0.47367022562877475,0.929447095142448
46,C,Algae_Dom,0.045875669806052705,NA
48,C,Coral_Dom,1.2449032838958045,NA
50,I,Rubble_Dom,0.47525488079853,NA
51,F,Coral_Dom,0.4054171108990126,0.8233524278308041
53,L,Algae_Dom,0.04024268674247371,NA
56,A,Algae_Dom,0.7279005174175806,0.8357502039027154
58,A,Control,0.5140323785262101,0.8357502039027154
59,K,Algae_Dom,0.4381844562153806,NA
60,J,Control,0.15072684365637615,NA
62,R,Rubble_Dom,NA,1.0236293164962473
63,E,Coral_Dom,NA,0.7448353656735333
64,K,Control,0.4686758473872469,NA
65,D,Control,NA,0.8699065309034011
66,R,Control,0.35907157063582346,1.0236293164962473
68,F,Algae_Dom,0.362984736886018,0.8233524278308041
71,M,Coral_Dom,0.7946010544078358,NA
73,B,Rubble_Dom,0.2259441617844178,NA
74,E,Rubble_Dom,0.1979196679699275,0.7448353656735333
76,K,Coral_Dom,0.9330987155513236,NA
78,L,Control,0.5751443177795292,NA
80,S,Rubble_Dom,0.5492221630270511,1.046995071181318
85,E,Control,0.4746075293504334,0.7448353656735333
86,E,Algae_Dom,0.18046045926239762,0.7448353656735333
90,G,Rubble_Dom,0.7574009119469135,1.2966341787360331
92,G,Algae_Dom,0.7371023406230943,1.2966341787360331
95,L,Coral_Dom,0.10963215949134358,NA
96,N,Rubble_Dom,0.33706341278059787,0.929447095142448
97,V,Algae_Dom,0.22973986729206755,1.1013906315562203
100,U,Algae_Dom,0.38294035401158744,0.7774960435906315
101,U,Coral_Dom,0.5077428420047742,0.7774960435906315
102,I,Control,0.3674532327077202,NA
104,G,Control,0.36061608507240145,1.2966341787360331
106,D,Coral_Dom,0.8948912403024328,0.8699065309034011
108,F,Rubble_Dom,0.6214440215257951,0.8233524278308041
110,K,Rubble_Dom,NA,NA
111,A,Rubble_Dom,0.40180290545056446,0.8357502039027154
113,C,Rubble_Dom,0.5824038757405864,NA
114,S,Algae_Dom,0.10092488248944395,1.046995071181318
115,W,Coral_Dom,0.6491508514594875,1.1932564592199246
117,J,Rubble_Dom,0.8299672292557859,NA
118,N,Algae_Dom,0.2422196046513842,0.929447095142448
123,S,Control,0.5765620668144413,1.046995071181318
125,T,Control,0.7397565259038891,NA
127,P,Rubble_Dom,0.6838126004871964,NA
128,R,Algae_Dom,0.40743831565540867,1.0236293164962473
134,U,Control,0.4784352027560808,0.7774960435906315
135,P,Algae_Dom,0.4620459448541008,NA
136,S,Coral_Dom,0.7929623806534956,1.046995071181318
137,P,Coral_Dom,0.22054679460955004,NA
138,R,Coral_Dom,0.2580409626445415,1.0236293164962473
139,T,Rubble_Dom,0.7951921394533169,NA
140,V,Coral_Dom,0.433388951094289,1.1013906315562203
141,T,Algae_Dom,0.5820894969639387,NA
143,Q,Rubble_Dom,NA,0.6600635822911377
145,D,Rubble_Dom,0.4341515087677866,0.8699065309034011
146,O,Control,0.14447285724703832,NA
147,H,Coral_Dom,0.29562401554933765,0.5379686865152249
148,O,Coral_Dom,NA,NA
149,O,Rubble_Dom,0.41595561280443705,NA
151,W,Control,0.5032734606710484,1.1932564592199246
153,D,Algae_Dom,0.438397310091796,0.8699065309034011
155,W,Algae_Dom,0.3405549762677192,1.1932564592199246
156,H,Algae_Dom,0.6323776514896877,0.5379686865152249
159,H,Rubble_Dom,0.34388757426665745,0.5379686865152249
161,H,Control,0.6756546380722431,0.5379686865152249
162,O,Algae_Dom,0.664827904759452,NA
202,X,Control,0.4530237201623172,NA
203,X,Algae_Dom,0.9063565839566811,NA
204,Q,Algae_Dom,1.3818015644506174,0.6600635822911377
206,Q,Rubble_Dom,1.164198328269739,0.6600635822911377
207,X,Rubble_Dom,0.3033897185974076,NA
208,X,Coral_Dom,0.6634750980125533,NA
210,Q,Coral_Dom,0.5867500617615632,0.6600635822911377
