Experiment Name:,Exp_20241122_1

Tube Name:,Record Time:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,P1 Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-B8,2024-11-22 14:53:44,14.7,2,0,0,0.14,0.00,0.00,275571.3,####,####,402386.6,####,####,132348.5,####,####,4792710.0,####,####,31714.0,####,####,4050.8,####,####,189224.3,####,####
01-Well-C8,2024-11-22 14:58:00,90.1,33626,9382,28870,373.26,104.14,384.82,748193.2,1073736.4,743700.0,2033551.4,1930932.3,2016771.0,1059818.1,2807478.0,1062204.9,4832651.0,5518652.5,4822852.0,116544.5,262903.6,116773.4,45744.2,55270.0,45471.8,1917284.8,4968144.5,1919277.3
01-Well-D8,2024-11-22 15:00:26,90.1,38531,7104,32921,427.87,78.89,439.02,838960.2,1097570.5,837567.0,2780185.0,2354131.8,2773853.3,712653.6,2615193.0,720376.1,4908934.0,5431846.0,4892267.0,85034.8,251230.7,85660.5,43054.8,55955.1,42830.2,1369106.4,4934053.0,1381201.1
01-Well-E8,2024-11-22 15:02:49,90.0,29186,6344,25195,324.19,70.47,336.10,549823.1,1005713.9,547359.7,1414178.5,1887308.1,1408255.8,715723.5,2217225.0,714448.3,4369881.0,5517296.5,4353929.0,79600.4,192377.6,79457.0,31989.9,44494.4,31375.2,1463591.8,4511638.5,1461472.8
01-Well-F8,2024-11-22 15:05:48,90.1,20631,4896,17607,229.02,54.35,234.71,624230.4,1031477.8,620510.9,1751942.5,2174570.3,1741200.6,742949.5,2140655.8,740402.8,4406335.0,5573225.0,4390945.0,80172.8,197971.3,79600.0,40230.1,49494.2,39945.6,1549565.9,4537109.5,1543403.5
01-Well-G8,2024-11-22 15:08:13,90.0,65475,8318,55307,727.39,92.41,737.94,745467.1,1077397.3,744937.9,2373211.8,2277075.3,2361873.8,652580.6,2661105.5,660473.8,4495061.0,5358397.5,4470929.0,83869.0,219127.0,84563.6,47957.8,38908.3,47679.3,1176236.9,4639437.0,1186909.8
01-Well-H8,2024-11-22 15:10:43,42.5,37484,2389,23711,882.41,56.24,861.72,611643.7,1059144.5,601779.8,2143132.8,2183909.5,2106826.3,450746.9,2551219.3,456897.4,4459201.5,5204332.0,4395686.5,61967.3,224510.9,61997.5,41862.2,55293.0,41100.0,874350.9,4541084.5,878903.1
01-Well-D7(1),2024-11-22 14:36:17,18.0,703,1,8,39.06,0.06,3.45,567667.9,1083505.1,414404.2,1505159.6,4052469.3,919355.2,629776.9,2406887.0,571792.4,4240273.5,5618715.0,3620386.5,67999.4,234604.4,64117.5,40153.6,33606.4,20818.9,1334343.3,5658529.5,1345606.4
01-Well-G7(1),2024-11-22 14:45:14,15.9,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-H7(1),2024-11-22 14:48:09,90.0,51487,8453,43984,572.03,93.91,586.90,649897.2,1153442.8,645444.2,1875730.3,2043291.8,1862710.5,691601.3,2697271.3,689360.8,4464853.0,5429694.5,4446782.0,69483.2,217336.9,69189.3,44825.5,53838.3,44111.3,1278821.5,4898535.0,1274187.9
01-Well-B8(1),2024-11-22 14:54:57,47.5,26909,2655,10948,566.65,55.91,337.51,615522.7,1035998.9,596111.8,1696009.4,2227771.0,1669465.3,777635.0,2431593.5,773627.1,3767289.0,4391286.0,3622665.3,77691.3,205372.1,78890.8,41675.1,47678.7,42254.9,1646989.8,5031097.0,1629327.6
01-Well-B8(2),2024-11-22 14:56:39,15.9,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-A9,2024-11-22 15:22:35,90.0,114417,12590,98662,1270.93,139.85,1316.20,392535.4,996495.8,389536.7,1045712.7,1949039.3,1039530.9,445014.8,2252470.5,442937.3,4006103.0,5095292.5,3986074.5,50250.4,188851.8,50054.8,20100.7,42453.2,19967.3,899964.4,4500986.5,894372.7
01-Well-B9,2024-11-22 15:24:52,90.0,40977,19569,35172,455.07,217.33,469.09,859500.0,1072135.3,856336.3,2030598.3,2286326.5,2022673.8,1189263.5,1886397.1,1191712.0,4489940.0,4897581.5,4455568.5,129984.6,191558.9,130233.8,58096.3,67797.6,57939.0,2621229.8,4192333.8,2622164.5
01-Well-C9,2024-11-22 15:27:28,90.0,21221,4966,18067,235.70,55.16,240.99,789058.8,1032809.5,786104.3,2485382.8,2131496.0,2479140.5,744876.3,2184975.3,745779.7,4879905.5,5552186.5,4869665.0,80356.2,181606.9,80034.5,60489.8,51927.1,59288.6,1501099.8,4411452.5,1500847.6
01-Well-D9,2024-11-22 15:29:42,90.0,24917,5763,21269,276.85,64.03,283.83,701279.4,1035184.3,698705.3,1973013.6,1800836.6,1959810.5,832539.5,2529968.5,841661.5,4424470.0,5534616.0,4405555.5,88343.6,222916.0,88856.4,44809.3,57980.0,44637.8,1521316.8,4503562.0,1535623.1
01-Well-E9,2024-11-22 15:31:53,90.0,17455,4765,14929,193.84,52.92,199.10,621784.3,1051998.3,620781.5,1562968.0,2001687.3,1554690.9,872487.8,2361744.3,878812.6,4463138.0,5578845.5,4445786.0,89038.2,204881.8,89417.0,32387.2,46678.1,32443.7,1692440.3,4548977.5,1701112.3
01-Well-A10,2024-11-22 15:34:06,90.0,18793,4449,16069,208.78,49.43,214.40,643630.8,993756.8,638631.9,1698971.6,1950212.0,1689948.5,754336.0,2159229.8,750309.8,4582031.0,5524561.0,4571294.5,80743.1,178570.8,80381.6,46904.7,44905.9,46777.3,1505863.0,4376616.0,1500989.0
01-Well-A12,2024-11-22 15:36:11,90.1,12,1,8,0.13,0.01,0.11,598989.4,1201165.3,628630.5,2352043.8,2782180.8,2782059.5,655436.4,3447727.8,610781.9,4405460.5,5699927.5,4375509.0,107571.5,245968.3,95442.0,113616.6,79690.8,155509.7,1318218.6,5732245.5,1172863.4
01-Well-B12,2024-11-22 15:38:07,90.1,4,1,3,0.04,0.01,0.04,1056271.3,960763.5,996494.2,2610068.8,1204529.3,2329254.0,672598.8,1867228.3,722907.3,4311034.0,5622261.5,3848379.5,121650.9,120953.5,112539.4,61658.6,39763.5,59209.3,1660576.4,4330589.0,1777666.6
01-Well-C12,2024-11-22 15:40:04,90.2,4,1,2,0.04,0.01,0.03,583661.1,1208590.6,621726.9,1224120.0,2097674.0,1058445.4,720076.6,2038682.3,1095245.4,4321241.0,5699501.0,2945190.5,56896.5,155174.1,86806.6,16482.9,49716.7,25042.8,1587318.8,4737553.0,2640923.8
