Experiment Name:,Exp_20241122_1

Tube Name:,Record Time:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,P1 Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-H3,2024-11-22 12:18:07,22.4,2209,237,493,98.61,10.58,72.00,702318.1,1023097.9,701817.9,1695513.3,2017648.3,1553177.0,1076218.1,2242043.0,1201255.9,4364171.0,5481608.0,4403490.0,119045.3,221687.1,128994.1,39908.0,51084.7,40241.5,2161476.5,4574767.5,2439498.8
01-Well-A4,2024-11-22 11:59:53,90.0,43564,8910,37663,483.96,98.98,502.52,532973.5,1029200.0,530296.3,1330645.3,1824868.6,1320538.3,665682.6,2223885.5,669457.9,4168581.8,5478495.5,4145049.5,69655.7,191750.6,69846.1,33463.3,55219.0,32998.1,1247622.6,4090465.8,1254206.8
01-Well-B4,2024-11-22 12:23:39,13.3,373,0,0,27.96,0.00,0.00,688311.9,####,####,1714942.4,####,####,872072.6,####,####,4517182.5,####,####,88036.7,####,####,46170.2,####,####,1688904.8,####,####
01-Well-C4,2024-11-22 12:26:02,90.1,52923,9048,45513,587.62,100.46,606.86,544468.8,1031065.9,542233.6,1567933.4,1826351.0,1553697.1,593477.7,2245577.3,595778.9,4235962.0,5437785.5,4213656.0,64467.2,187579.7,64437.4,47002.0,53746.1,47034.1,1116385.1,4136932.3,1119623.5
01-Well-D4,2024-11-22 12:28:49,30.2,5049,1116,3007,167.34,36.99,198.09,687782.0,1062272.4,693428.7,1693235.6,1923611.4,1684417.1,1042656.6,2614756.0,1094195.6,4379124.5,5486089.0,4356333.0,114198.9,254293.4,118601.3,52705.5,71105.1,54241.0,2083330.9,5088246.5,2145860.3
01-Well-E4,2024-11-22 12:32:23,17.1,2,0,1,0.12,0.00,0.73,1001172.1,####,1131745.8,4903446.5,####,5608930.5,565929.8,####,466553.5,5694271.0,####,5692349.0,143479.7,####,106259.5,170365.0,####,209687.1,1386084.0,####,1003000.6
01-Well-F4,2024-11-22 12:37:07,90.0,67760,8399,57782,752.70,93.30,770.87,660543.0,1039385.1,656892.9,2103900.5,1886409.1,2090883.9,557889.3,2414601.8,560217.4,4380927.5,5467915.0,4356812.0,60946.1,203535.4,60985.0,37136.3,44959.0,36689.9,1073301.0,4592330.0,1074456.9
01-Well-G4,2024-11-22 12:39:19,90.0,63345,10110,54378,703.69,112.31,725.50,583201.4,1095524.3,580947.1,1605138.3,1909638.8,1601863.8,696647.3,2806255.3,698303.2,4051000.8,5433908.5,4028983.5,78992.8,258565.0,78949.2,48901.0,63121.0,48272.4,1241448.0,4763067.0,1237685.0
01-Well-H4,2024-11-22 12:41:35,90.0,64375,14080,55084,715.22,156.43,735.03,577918.7,1043942.6,576115.9,1497245.1,1944039.6,1492755.9,805675.6,2564733.0,808893.4,4296515.5,5312407.0,4278452.0,89298.6,232314.4,89434.3,37720.3,54445.0,37511.3,1526424.5,4716133.0,1529276.6
01-Well-B3(1),2024-11-22 11:58:26,35.1,1821,563,1307,51.92,16.05,66.38,692860.0,1058360.1,703464.4,1483716.8,1773193.5,1490993.3,1213777.6,2656208.0,1265217.4,4564620.5,5607402.0,4571461.0,128656.7,252278.4,133218.8,59740.0,79230.0,61777.5,2171875.0,4709552.0,2260164.0
01-Well-D3(1),2024-11-22 12:06:12,90.1,43425,6762,37407,482.23,75.09,498.87,536334.9,1095012.9,531020.6,1413273.4,2133115.3,1399375.0,678961.1,2720984.8,672721.6,3795420.5,5412366.5,3768998.5,78683.7,264943.5,77814.7,41655.7,62503.3,40593.9,1232173.3,4729152.0,1220445.9
01-Well-B3(2),2024-11-22 12:08:34,15.2,89,2,3,5.85,0.13,8.64,649921.2,1074979.3,935632.8,1508743.0,1257017.3,1502264.3,885659.8,3456800.5,2333099.0,4395187.5,5684699.0,5684310.5,99811.8,448443.6,316049.9,44077.1,103606.5,87160.8,1631610.6,5731457.0,3910008.3
01-Well-G3(1),2024-11-22 12:15:46,90.0,63159,16976,54446,701.39,188.52,726.12,644366.3,1047136.3,641098.1,1640481.6,2165541.5,1629764.6,899355.1,2387093.3,897084.7,4193991.5,5351639.5,4171442.3,82754.5,187001.2,82452.8,39503.1,43496.1,38689.7,1715501.6,4525039.0,1707222.6
01-Well-H3(1),2024-11-22 12:19:11,64.7,11646,3839,8387,179.90,59.30,169.43,711757.4,1029005.6,707626.4,1702535.5,2163397.0,1693261.9,1164130.8,2282683.8,1166950.0,4340498.5,5434678.0,4317654.5,125745.2,228224.4,126968.8,48777.8,50690.4,47237.6,2319545.5,4520470.0,2319237.5
