Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-54.1,NaN,25.1,,,,
0.0600,17,-57.8,0.0035,25.2,,,,
0.1200,38,-44.3,0.0030,25.2,,,,
0.1800,58,-25.4,0.0030,25.2,,,,
0.2400,78,-7.3,0.0030,25.2,,,,
0.3000,98,4.0,0.0030,25.2,,,,
0.3600,118,13.1,0.0030,25.2,,,,
0.4200,138,20.5,0.0030,25.2,,,,
0.4800,158,27.2,0.0030,25.2,,,,
0.5400,178,33.2,0.0030,25.2,,,,
0.6000,198,39.0,0.0030,25.2,,,,
0.6600,219,44.5,0.0030,25.2,,,,
0.7200,239,49.7,0.0030,25.2,,,,
0.7800,259,54.9,0.0030,25.2,,,,
0.8400,279,60.0,0.0030,25.2,,,,
0.9000,297,65.0,0.0035,25.2,,,,
0.9600,316,70.6,0.0030,25.2,,,,
1.0200,335,76.5,0.0030,25.2,,,,
1.0800,353,82.8,0.0035,25.3,,,,
1.1400,369,90.3,0.0035,25.3,,,,
1.2000,385,99.2,0.0035,25.3,,,,
1.2600,401,111.2,0.0040,25.3,264.46,2.42,,
1.3200,414,128.7,0.0045,25.3,313.47,2.50,,
1.3800,424,153.5,0.0060,25.3,333.81,2.52,,
1.4400,431,174.7,0.0085,25.3,309.02,2.49,,
1.5000,437,187.7,0.0100,25.3,240.22,2.38,,
1.5300,533,192.7,0.0005,25.3,186.00,2.27,,
1.5600,539,196.8,0.0055,25.3,130.75,2.12,,
1.5900,544,200.4,0.0065,25.3,105.94,2.03,,
1.6200,549,203.6,0.0060,25.3,97.76,1.99,,
1.6500,554,206.5,0.0060,25.3,88.56,1.95,,
1.6800,559,208.9,0.0060,25.3,80.73,1.91,,
1.7100,564,211.3,0.0060,25.3,73.98,1.87,,
1.7400,569,213.4,0.0055,25.3,68.48,1.84,,
1.7700,574,215.4,0.0055,25.3,63.90,1.81,,
1.8000,580,217.3,0.0055,25.3,59.60,1.78,,
1.8300,585,219.0,0.0060,25.3,55.22,1.74,,
1.8600,590,220.6,0.0060,25.3,51.95,1.72,,
1.8900,595,222.1,0.0060,25.3,48.75,1.69,,
1.9200,600,223.5,0.0060,25.3,46.27,1.67,,
1.9500,605,224.9,0.0060,25.3,44.33,1.65,,
1.9800,610,226.2,0.0060,25.3,41.94,1.62,,
2.0100,615,227.4,0.0055,25.3,39.80,1.60,,
2.0400,620,228.6,0.0055,25.3,38.00,1.58,,
2.0700,625,229.7,0.0055,25.3,36.28,1.56,,
2.1000,630,230.7,0.0055,25.3,34.61,1.54,,
2.1300,636,231.8,0.0055,25.3,,,,
2.1600,641,232.8,0.0065,25.3,,,,
2.1900,646,233.7,0.0060,25.3,,,,
2.2200,651,234.6,0.0060,25.3,,,,
2.2500,656,235.6,0.0060,25.3,,,,
6/22/2024 2:28:17 PMSystemInternal,,,,,,,,1/1
