DATE,CORAL_NUM,GENOTYPE,RUN_NUM,CHAMBER,Temp.C,R,R_uncorr,NP,NP_uncorr,GP,GP_uncorr
5/31/24,82,A,1,5,28.29182927,0.997892575774037,1.0346180904827942,2.137379822443365,2.08799296571944,3.1352723982174022,3.122611056202234
5/31/24,94,B,1,1,28.27127642,0.5422100789472224,0.5671115592809791,0.7250947872433912,0.6916083718395619,1.2673048661906137,1.258719931120541
5/31/24,29,C,1,8,28.36227642,2.3815719908671613,2.5006259339263948,2.8612295455773173,2.7011310398133475,5.242801536444478,5.201756973739743
5/31/24,91,G,1,4,28.2489187,1.990815798748956,2.0751133547203624,2.154365098921091,2.0410054536730375,4.1451808976700475,4.1161188083934
5/31/24,75,H,1,6,28.3082439,1.175465134864118,1.245146186928027,1.046392939795943,0.9526889260620783,2.2218580746600614,2.1978351129901053
5/31/24,48,I,1,7,28.28213008,1.0237198232626707,1.0545248015691855,0.41889700984634737,0.3774718300477185,1.4426168331090181,1.431996631616904
5/31/24,105,J,1,9,28.16221138,1.800848555080498,1.8485657389972536,1.9432894738501774,1.8791215038692406,3.744138028930675,3.7276872428664944
5/31/24,99,K,1,10,28.26739024,1.4128928090619195,1.4561129972544526,1.891508794889814,1.8333881869480892,3.3044016039517334,3.2895011842025417
5/31/24,23,L,1,3,28.19470732,1.1910879894523352,1.2335317051394181,1.4228229995457304,1.3657465576744023,2.6139109889980654,2.5992782628138205
6/1/24,49,M,1,2,28.0499633,1.5945188438941411,1.6395098877553727,1.5752267297482139,1.5147247529983914,3.1697455736423548,3.154234640753764
6/1/24,143,Q,1,1,27.95298165,1.0476403852308043,1.0878719546498254,2.204839968044646,2.1507383231682553,3.25248035327545,3.238610277818081
6/5/24,152,E,1,5,27.32231967,3.6442299941368623,3.7289857619671243,3.293974327516549,3.179998499116211,6.938204321653411,6.908984261083335
6/5/24,163,O,1,1,27.45363934,1.7652847423465117,1.8305883066333972,1.6253774286589895,1.537560067933776,3.390662171005501,3.3681483745671734
6/5/24,205,X,1,4,27.30327869,1.0307778298753771,1.0980537097556877,0.8710801301198307,0.7806104861414268,1.901857959995208,1.8786641958971146
5/31/24,55,D,2,2,28.44935294,1.615007164567659,1.7865441544102827,3.2257328610067075,3.091099758469244,4.840740025574366,4.877643912879527
5/31/24,34,E,2,1,28.42710294,1.6511934738031862,1.7969286989962148,2.9069030899482566,2.792520847758194,4.558096563751443,4.589449546754409
5/31/24,31,F,2,3,28.35469853,1.9081973183411258,2.084855615471626,1.7836464496121391,1.6449938204999879,3.691843767953265,3.7298494359716137
6/1/24,22,N,2,5,28.28903968,1.6514073868500039,1.797528204807926,2.0651169196507375,1.9504320398179062,3.7165243065007414,3.7479602446258324
6/1/24,121,P,2,3,28.32198413,2.3167472530874393,2.57091418773564,1.8217522888860755,1.6222659681483838,4.138499541973514,4.193180155884024
6/1/24,57,Q,2,8,28.15296032,1.928775780037124,2.103754910592355,0.4015825126027138,0.2642477998531672,2.3303582926398376,2.3680027104455226
6/1/24,35,R,2,2,28.40907143,1.4195665385991771,1.5629061579460475,1.8434001940729874,1.730898175196981,3.2629667326721643,3.2938043331430285
6/1/24,83,S,2,7,28.10772222,1.7684311955661187,1.9385590453683301,2.741611178931699,2.608084058816596,4.510042374497818,4.546643104184926
6/1/24,12,T,2,9,27.98152381,1.4715815481659256,1.5918262618745755,2.948599536858615,2.854223863803042,4.420181085024541,4.446050125677617
6/1/24,67,U,2,6,28.27299206,1.33246664343763,1.4306265836242527,1.6782578805316994,1.6012157375843303,3.0107245239693294,3.031842321208583
6/1/24,144,V,2,10,28.21333333,1.4434713092785636,1.5564202842820083,3.1989994694491215,3.11034995457136,4.642470778727685,4.666770238853369
6/1/24,157,W,2,1,28.34977778,1.4909045084247432,1.7256268764345701,2.7730692687349237,2.5888442763930626,4.263973777159666,4.3144711528276325
