flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
8,36.4,28.7,1,0,8.04233904,0.010605323,411683.2808,413424.5588,411683.2808,413424.5588,411683.2808,413426.0669,1.834122255,0.256247661,2.10097524,2.34673,4099.788698,6134.464298
8,36.4,28.7,1,0,8.032701957,0.010887472,422635.8767,424433.1421,422635.8767,424433.1421,422635.8767,424434.7102,1.841595855,0.25164533,2.104128657,2.344997,4026.154528,6024.286378
8,36.4,28.9,1,0,8.001514325,0.011859304,462521.551,464520.8366,462521.551,464520.8366,462521.551,464522.6103,1.87417484,0.240072117,2.126106261,2.354424,3845.009377,5749.375213
8,36.4,28.8,1,0,8.025549193,0.011072418,430823.6082,432660.8966,430823.6082,432660.8966,430823.6082,432662.506,1.845836665,0.248998995,2.105908078,2.343944,3985.894144,5962.043553
8,36.4,29,1,0,8.049842802,0.010332743,403926.3188,405622.4794,403926.3188,405622.4794,403926.3188,405623.936,1.828641759,0.262754705,2.101729208,2.354266,4210.509144,6293.77743
8,36.2,28.6,1,0,7.988049104,0.012469107,482411.2544,484521.5823,482411.2544,484521.5823,482411.2544,484523.4673,1.8960941,0.231834532,2.140397739,2.359864,3713.038484,5559.085718
8,36.4,28.6,1,0,8.048158792,0.010470055,405479.189,407190.7994,405479.189,407190.7994,405479.189,407192.2762,1.831620325,0.25841868,2.10050906,2.348571,4132.37554,6185.294578
8,36.4,28.6,1,0,8.047156503,0.010402709,402871.0317,404569.3887,402871.0317,404569.3887,402871.0317,404570.851,1.81564374,0.255574075,2.081620523,2.326905,4086.887428,6117.20847
8,36.4,28.2,1,0,7.989170055,0.012566447,482095.8481,484213.8453,482095.8481,484213.8453,482095.8481,484215.7437,1.904348404,0.231201439,2.148116291,2.366852,3689.544957,5529.828453
8,36.4,28.2,1,0,7.925918585,0.014803348,567911.7322,570490.0245,567911.7322,570490.0245,567911.7322,570492.294,1.93928834,0.203533099,2.157624787,2.346444,3248.009696,4868.062768
8,36.4,28.2,1,0,8.04297155,0.010776452,413424.9554,415184.8659,413424.9554,415184.8659,413424.9554,415186.3987,1.848464859,0.254013513,2.113254824,2.356603,4053.583225,6075.442938
8,36.4,28.2,1,0,7.970390587,0.013750698,527528.1278,529888.4169,527528.1278,529888.4169,527528.1278,529890.528,1.995626067,0.232029833,2.241406598,2.459783,3702.764575,5549.641797
8,36.4,28.3,1,0,8.007368409,0.011843999,455456.528,457432.1173,455456.528,457432.1173,455456.528,457433.875,1.875312297,0.238276142,2.125432439,2.351969,3804.388522,5700.063305
8,36.6,28.3,1,0,7.992569642,0.012228615,470722.1152,472777.7867,470722.1152,472777.7867,470722.1152,472779.6238,1.87457156,0.231301048,2.118101223,2.337276,3687.240734,5523.181319
8,36.4,28.2,1,0,7.982799551,0.012527591,480605.2004,482715.3122,480605.2004,482715.3122,480605.2004,482717.2031,1.870815578,0.223822943,2.107166112,2.318561,3571.797874,5353.351089
8,36.4,28.2,1,0,8.047245542,0.010645293,408393.1879,410127.3247,408393.1879,410127.3247,408393.1879,410128.8294,1.844025793,0.255909616,2.110580702,2.355957,4083.841505,6120.793544
8,36.3,28.2,1,0,8.030050081,0.01119094,429109.2389,430949.9255,429109.2389,430949.9255,429109.2389,430951.5447,1.861682083,0.247741378,2.120614401,2.357273,3956.554178,5930.775801
8,36.4,28.3,1,0,8.044513924,0.010711672,411913.303,413663.5158,411913.303,413663.5158,411913.303,413665.0371,1.847472587,0.255699851,2.11388411,2.358984,4082.580705,6116.874849
8,36.3,28.3,1,0,8.026115073,0.011285131,433746.2825,435608.9055,433746.2825,435608.9055,433746.2825,435610.5469,1.864031759,0.246703786,2.122020676,2.357547,3942.003834,5907.007161
8,36.3,28.3,1,0,7.908541024,0.015736493,604835.2931,607611.4126,604835.2931,607611.4126,604835.2931,607613.7894,1.982807796,0.200183868,2.198728157,2.383262,3198.676382,4793.147113
8,36.4,28.3,1,0,7.941983167,0.014325709,550889.7413,553373.1619,550889.7413,553373.1619,550889.7413,553375.3644,1.951219438,0.213269048,2.178814195,2.37785,3405.117739,5101.841349
8,36.4,28.3,1,0,8.050699338,0.010524168,404702.9256,406416.2971,404702.9256,406416.2971,404702.9256,406417.7783,1.841170225,0.258482907,2.110177301,2.358249,4127.015812,6183.451362
8,36.4,28.2,1,0,8.036656827,0.010719721,411248.5384,412997.2922,411248.5384,412997.2922,411248.5384,412998.8129,1.812191774,0.245434186,2.06834568,2.30317,3916.673116,5870.24435
8,36.4,28.2,1,0,8.013326416,0.011669037,447667.8447,449604.9223,447667.8447,449604.9223,447667.8447,449606.6421,1.869499172,0.239952769,2.121120977,2.34951,3829.199896,5739.140947
8,36.4,28.2,1,0,8.051498167,0.010553599,404875.4842,406591.6445,404875.4842,406591.6445,404875.4842,406593.1296,1.846131394,0.258722886,2.11540788,2.36369,4128.736058,6188.080752
8,36.4,28,1,0,7.975172982,0.013082302,499509.4514,501724.7665,499509.4514,501724.7665,499509.4514,501726.7579,1.912189892,0.223176242,2.148448435,2.35864,3557.860467,5335.987244
8,36.4,28.1,1,0,7.914517313,0.01527291,584538.3522,587209.8722,584538.3522,587209.8722,584538.3522,587212.201,1.945174822,0.198145933,2.158593665,2.341554,3160.43104,4738.368755
8,36.4,27.9,1,0,8.031749315,0.0110064,419248.1659,421043.9697,419248.1659,421043.9697,419248.1659,421045.544,1.829032747,0.242297604,2.082336751,2.313736,3860.742005,5792.147778
8,36.4,28,1,0,7.956412569,0.014063623,536978.3358,539394.7553,536978.3358,539394.7553,536978.3358,539396.9148,1.96871867,0.220059534,2.202841827,2.408932,3508.174123,5261.468949
8,36.4,28.1,1,0,7.993523045,0.011877634,454591.3165,456566.7525,454591.3165,456566.7525,454591.3165,456568.5126,1.814564857,0.221719939,2.048162429,2.258106,3536.436837,5302.106452
8,36.3,28.1,1,0,7.983056006,0.012702563,485917.7754,488058.3731,485917.7754,488058.3731,485917.7754,488060.2943,1.892745069,0.225229982,2.130677613,2.343304,3595.199756,5390.896575
8,26.2,28,1,0,7.956756254,0.015448306,560146.1495,562687.9381,560146.1495,562687.9381,560146.1495,562690.1886,1.958952906,0.173514911,2.147916122,2.306044,2925.796633,4519.762474
8,36.3,28,1,0,8.039772501,0.011245068,429142.5974,430987.5493,429142.5974,430987.5493,429142.5974,430989.1752,1.905609324,0.257465579,2.17431997,2.42065,4107.666431,6161.357048
8,36.4,28,1,0,8.022906416,0.01146816,437878.1728,439768.4879,437878.1728,439768.4879,437878.1728,439770.1616,1.871001087,0.243738658,2.126207906,2.358585,3885.665115,5827.62019
8,36.3,27.9,1,0,8.025631974,0.011071885,421528.7742,423336.3561,421528.7742,423336.3561,421528.7742,423337.9431,1.812616833,0.236202849,2.059891566,2.285129,3766.528062,5651.520377
8,36.4,28.1,1,0,8.041257237,0.01100679,421261.6157,423063.806,421261.6157,423063.806,421261.6157,423065.3852,1.876884042,0.255978735,2.143869567,2.388952,4082.865231,6121.355218
8,36.3,28,1,0,8.026016995,0.011400074,435058.0655,436933.715,435058.0655,436933.715,435058.0655,436935.3733,1.871647083,0.244993049,2.128040206,2.36174,3908.676749,5862.879434
8,36.4,28.1,1,0,7.885131755,0.016567584,634089.2533,637031.4404,634089.2533,637031.4404,634089.2533,637033.8889,1.972016128,0.187737671,2.176321384,2.347574,2994.419091,4489.470479
8,36.4,28.1,1,0,7.925190078,0.014970504,572964.4115,575572.9759,572964.4115,575572.9759,572964.4115,575575.2671,1.954096653,0.204007122,2.173074279,2.3622,3253.917104,4878.530473
8,36.4,28.1,1,0,8.026041809,0.011246135,430422.0577,432271.5867,430422.0577,432271.5867,430422.0577,432273.2164,1.851674488,0.243846014,2.106766638,2.339474,3889.348124,5831.219031
8,36.4,28.1,1,0,8.011997058,0.011691999,447486.5357,449424.8143,447486.5357,449424.8143,447486.5357,449426.5366,1.863825915,0.237635661,2.113153574,2.339202,3790.29288,5682.707557
8,36.4,28.1,1,0,8.022910704,0.011376696,435419.0076,437294.4503,435419.0076,437294.4503,435419.0076,437296.1073,1.859715038,0.243145545,2.114237279,2.346113,3878.175626,5814.468336
8,36.4,28.1,1,0,8.02602776,0.01126356,431088.9495,432941.9333,431088.9495,432941.9333,431088.9495,432943.5666,1.854483465,0.244208027,2.109955053,2.343007,3895.122236,5839.876037
8,36.9,28.9,1,0,8.025766603,0.010995659,429917.1517,431747.7506,429917.1517,431747.7506,429917.1517,431749.3519,1.845424081,0.252965647,2.109385387,2.351467,4035.346852,6030.373278
8,36.4,30.1,1,0,8.023901554,0.010749659,431024.7646,432836.8398,431024.7646,432836.8398,431024.7646,432838.4095,1.829990783,0.257681731,2.098422173,2.345467,4153.755614,6185.623563
8,36.4,29.9,1,0,7.967552304,0.012588454,502451.1137,504635.9741,502451.1137,504635.9741,502451.1137,504637.9058,1.875158075,0.230254375,2.118000904,2.335768,3707.567773,5524.994985
8,36.4,29.2,1,0,8.00653532,0.011294869,443597.6835,445492.4572,443597.6835,445492.4572,443597.6835,445494.122,1.816142704,0.237895785,2.065333358,2.292041,3816.194219,5700.503604
8,36.4,29.3,1,0,8.019407348,0.011036854,434471.3997,436317.2169,434471.3997,436317.2169,434471.3997,436318.8301,1.831537211,0.248019124,2.090593189,2.327685,3980.705677,5944.225778
8,36.4,29.6,1,0,8.027898387,0.010505791,416443.6602,418191.7019,416443.6602,418191.7019,416443.6602,418193.209,1.788015237,0.249580828,2.048101856,2.287289,4012.223797,5985.15933
8,36.4,29.1,1,0,7.995749343,0.011893017,466004.7297,468017.732,466004.7297,468017.732,466004.7297,468019.5165,1.8618465,0.237046567,2.110786085,2.336044,3800.555947,5679.067944
8,36.4,29,1,0,7.996799161,0.012019901,469880.4891,471915.9362,469880.4891,471915.9362,469880.4891,471917.7438,1.882652877,0.239413414,2.134086193,2.361584,3836.476946,5734.682241
8,36.4,29.2,1,0,8.00841779,0.011432727,449011.9617,450934.6617,449011.9617,450934.6617,449011.9617,450936.3549,1.846294946,0.24289598,2.100623654,2.332194,3896.404617,5820.31922
8,36.4,29.2,1,0,8.010198068,0.011392978,447450.8469,449365.4877,447450.8469,449365.4877,447450.8469,449367.1728,1.847433364,0.244044097,2.102870439,2.335629,3914.822079,5847.830611
8,36.4,29.3,1,0,7.989985222,0.012081083,475577.9862,477636.3989,475577.9862,477636.3989,475577.9862,477638.2244,1.873502044,0.237083575,2.122666701,2.347773,3805.190176,5682.135624
8,36.4,29.6,1,0,8.016558422,0.011011536,436491.1112,438341.1357,436491.1112,438341.1357,436491.1112,438342.75,1.825788219,0.248284976,2.085084731,2.322468,3991.391886,5954.083719
8,36.4,29,1,0,8.025919473,0.011004752,430196.3838,432026.3881,430196.3838,432026.3881,430196.3838,432027.9878,1.843189162,0.250650426,2.10484434,2.3446,4016.544296,6003.842996
8,36.4,29,1,0,8.003499291,0.011711834,457837.5556,459810.2749,457837.5556,459810.2749,457837.5556,459812.0208,1.862920768,0.240587324,2.115219926,2.344201,3855.28825,5762.800968
8,36.4,29.2,1,0,8.01092648,0.011339017,445331.5565,447235.2658,445331.5565,447235.2658,445331.5565,447236.9397,1.84176973,0.243704343,2.09681309,2.329286,3909.371924,5839.68935
8,36.4,29.2,1,0,8.007488807,0.013881614,545190.2043,547618.7837,545190.2043,547618.7837,545190.2043,547620.9256,2.236980673,0.293665208,2.544527495,2.824418,4710.816829,7036.861011
8,36.4,29.1,1,0,7.995661637,0.011870785,465133.6149,467142.0814,465133.6149,467142.0814,465133.6149,467143.8614,1.857990842,0.236507905,2.106369532,2.331111,3791.919599,5666.162883
8,36.4,29.1,1,0,7.999947226,0.011580584,453762.6582,455712.0702,453762.6582,455712.0702,453762.6582,455713.7916,1.830544048,0.23532489,2.077449522,2.301299,3772.952376,5637.820673
8,36.4,28.5,1,0,8.08032171,0.009515721,367654.252,369177.3212,367654.252,369177.3212,367654.252,369178.5898,1.789172158,0.270857074,2.069544952,2.331006,4329.036906,6481.820215
