TANK_NUM,avg_res_time,res_error,avg_flow_rate,flow_error
1,0.8763542170659578,0.12362335758097578,7.4875,1.4470845800665149
2,3.0844443859560706,0.41002048316876205,3.0916666666666663,0.6303935149142824
3,3.5606175203406685,0.5840683356726681,2.636111111111111,0.4467923641992442
4,2.88889000579869,0.6499096338937612,4.406944444444444,0.5917669653959865
5,1.519683521148571,0.2302700761880292,3.240277777777778,0.33243287165598934
6,1.4252585882937032,0.14442038029970333,3.0541666666666667,0.33269983994838875
7,1.2805660022245435,0.1958014149740882,7.3069444444444445,1.2146346164518302
8,1.6237695969490828,0.4365742782117727,6.191666666666666,0.5237843526682027
9,1.0706223030595303,0.13899509226709647,5.901388888888889,0.723788781355468
10,1.6273565586634864,0.3798715370768013,5.488888888888889,0.5374551373755376
11,1.8765128541170306,0.27250720659027095,4.038888888888889,0.6417075035573867
12,2.326114629008579,0.2500252573684665,2.6722222222222225,0.39726144873369224
13,1.4530229509913917,0.2808362901435045,6.334722222222222,1.0105726915482123
14,0.9049178930639312,0.11294986274871721,7.498611111111112,1.2449694147225776
15,1.6345859270582528,0.22546591229823723,4.28974358974359,0.5996307168757702
16,0.7057432951907372,0.10958779655374289,6.614102564102565,0.5141440942049005
