TREATMENT,TANK_NUM,DOC_rangemean,DOC_mean,TON_rangemean,TON_mean,TA_rangemean,TA_rangese,TA_mean,TA_se,deltaTA_rangemean,deltaTA_rangese,deltaTA_mean,deltaTA_se,pH_rangemean,pH_rangese,pH_mean,pH_se,deltapH_rangemean,deltapH_rangese,deltapH_mean,deltapH_se,DOC_rangese,DOC_se,deltaDOC_rangemean,deltaDOC_rangese,deltaDOC_mean,deltaDOC_se,NEC_rangemean,NEC_rangese,NEC_mean,NEC_se,NEP_rangemean,NEP_rangese,NEP_mean,NEP_se
Algae_Dom,14,38.453039077499994,124.460064781,NA,NA,-37.23851475000003,9.838256705246796,2348.4807134166667,2.7747523552205284,37.67202966666658,9.23579363754616,-0.5044256999999561,5.605026609968425,0.09974157971575288,0.02799338451716649,8.051934858764644,0.00772784596507454,0.09752090748550504,0.02086109552425618,0.02969704531428435,0.00568285870127489,12.664991054529663,4.796434802280476,40.98290129500002,59.93114233139077,-50.550758906000006,19.76116310476819,1.1653318211930734,0.4445569899195543,-0.492170026720591,0.3340372427473488,0.4137237956355542,0.5678312242990157,0.9470767990521194,0.19641802246798223
Control,3,-14.435507986666664,141.46240436600002,NA,NA,-2.858282333333439,1.9677390386897025,2362.150777416666,4.560247043081181,-25.875999999999976,11.007884816121576,-5.652188199999955,2.0804366805447057,-0.00121096750978955,0.00993593122391872,8.032022537102531,0.00527152376806161,0.01156976944516856,0.00782414783621568,0.0017463990988614,0.00382130301078033,9.645972322632185,10.73139811343327,10.324127645000004,15.306998195643828,21.111175881,12.478003913235169,-0.15462490962962971,0.05896021647385395,-0.01404778976533373,0.01640350436296027,-0.15886931730997098,0.11046470061318904,-0.14337634552002418,0.05195904408801308
Control,8,-1.9298764249999951,148.51091108999998,NA,NA,13.00183125000001,6.282447987453245,2360.8049255833334,3.995816636886597,-4.873848666666769,4.786593854641755,-10.630057399999988,3.975338226702943,0.00163887305091026,0.00859767261515061,8.043899387464494,0.00714110054196437,0.01440509720659674,0.01061093827534867,0.02113491102617925,0.00331397159779183,37.50539181493065,14.618342628102267,0.5999857925000072,89.42841074316364,-26.499912597000005,21.75741344302573,0.12232094151901154,0.0341358385310172,-0.2437889370334816,0.1318085831606695,-0.622151311123057,0.48308719220361745,0.254394102082858,0.06495731204295441
Control,11,24.6112147325,141.673604927,NA,NA,-0.2286624999999276,3.856157785195322,2362.2460446666664,3.1657591098945037,7.559384999999866,8.213495387868731,-12.67499429999998,4.166618382244788,0.00138197225570541,0.00883910906908198,8.044242640025107,0.00698180286885254,0.01387326705728472,0.01035717890600616,0.02142606388012697,0.00359721881744813,13.881239485471358,8.6279825699666,27.14107694999999,65.50501875240596,-33.33721876,19.2926201428081,0.313766902824197,0.10064697755226838,-0.13556056039985062,0.07252548938667808,-0.27082285332565453,0.15682536784883871,0.11386320563283524,0.0265154601851626
Control,15,57.01270532250002,144.2738635188889,NA,NA,-4.75295349999999,1.6541468635847032,2359.648372714286,3.188702808483749,16.83106399999997,10.574729623375674,-7.1677256666666835,3.5977953901255617,-0.00642233636938099,0.00564635698241541,8.04040327024681,0.00656434968870687,0.01191692462364611,0.01057947893762761,0.01562762303353128,0.00263404943678476,41.462608610234376,11.592339469284749,-2.2440060974999483,93.01350251730078,-26.37599915833332,22.913500477780637,0.569578697679011,0.3814920167259665,-0.17559729016790196,0.11269354331117216,-1.375862351440305,0.5743795850413971,0.4759347981757899,0.10009254981811053
Coral_Dom,6,50.95618443666667,115.650420031,NA,NA,-17.53995799999999,9.307840929544568,2318.9113488333332,5.52976404833138,10.814999999999827,2.7895362517809654,37.13428000000008,6.6047313319080105,0.1233789161084924,0.02477934965054057,8.044577585126033,0.00884471276763014,0.12810477070087364,0.02349198791408872,0.01763729026232612,0.01028561028794677,5.330094015291491,10.265755136793755,80.603128895,2.3755283727180823,0.8608990229999989,6.239621214151129,0.1580907155555541,0.11291375081272932,0.26680915336296457,0.03968994532819318,1.182486134184929,0.10169566979615095,0.3218269623092251,0.16422871592796662
Coral_Dom,7,47.67381032,120.077097918,NA,NA,-38.25728749999996,9.479826113314315,2337.2699858333335,5.329693311919227,6.078611666666651,17.289633098546005,19.04962050000008,6.08823184919698,0.128302499400862,0.02865990582683043,8.040484016124932,0.00863246884385451,0.1189602917899227,0.02129781636650641,0.01536564411525172,0.01222112580484425,9.212051045299305,6.431927351485686,65.29525062666667,18.248095215431142,3.0412465679999983,1.4864309796175093,0.14159250947037055,0.01612160726059417,0.20089535658296265,0.09982191071577068,-0.00190239179540737,0.5253395294119939,0.4342322402878755,0.3013846334207695
Coral_Dom,9,35.367075477499995,124.865744715,NA,NA,-52.5825329999999,8.599539281406189,2313.8824276,7.507661507081915,73.75366333333325,8.839988021449836,32.55953760000002,13.035874669134378,0.10735222361691454,0.02700194855049786,8.052154246251016,0.01397714635427021,0.11313731496543608,0.02700670038315562,0.02103431260169316,0.00532530631601658,14.078282030790294,7.326160831024343,37.89693769499999,52.01399193249179,-50.14507897200001,17.267475216040292,1.4643543227254276,0.45351103722080066,-0.13728691655570324,0.2408846149795398,1.1444636718105876,0.16346867342983404,0.6984814676397116,0.10872409495680851
Coral_Dom,16,22.67665497,116.58651436638888,NA,NA,-99.88705699999991,20.014490436628044,2318.0905074166667,7.787770275456481,53.67026349999992,11.028512695645516,31.839105500000052,7.206062364142922,0.06461638644384607,0.0221329110107505,8.032965104067214,0.01030261825928323,0.07906867736056776,0.02297561906802945,0.01402740122069789,0.00799907681223261,7.7969475472821586,5.882365471741493,-36.58005645,71.15389791568737,-54.06334831083334,18.973568968667596,0.5179937926311122,0.03776540854508323,0.6822476354755567,0.12955962277065597,1.3765644561131989,0.05257436943824343,1.3188676101833692,0.2333484363287023
Rubble_Dom,2,-5.859821269999992,198.053610519,NA,NA,-37.148260000000086,11.017106096097791,2316.6510155,13.290951292511922,-6.561500000000024,20.439451840283056,41.34258880000002,14.994889908162111,0.11193907232337874,0.02328801882883491,8.039721699120623,0.01199934164332615,0.1231546199814534,0.02512106899096239,0.00599371416422052,0.00757843164274943,24.725451376311646,20.11725353522714,-20.898032579999985,10.979827554435156,86.519520094,23.68709086026324,-0.14331480148148165,0.07320303624648385,0.3485063846293334,0.12863564721912657,0.4528774458456849,0.01812729753982893,1.00986907012948,0.3024315548655175
Rubble_Dom,5,51.824854323333334,115.955980917,NA,NA,-44.33148566666675,14.509070482136355,2334.0342219166664,8.451973053333994,36.750499999999874,28.12923808568676,26.31598100000024,8.598002441685068,0.08540176481748218,0.02963033246310295,8.031325593128724,0.01226805851916977,0.12592604275647812,0.02496032900433053,4.235065537366187e-4,0.01141913569268668,10.97563547394081,8.854965621335802,64.17194671,0.4783436978675584,4.713297312,7.850940978961231,-0.03216030888888949,0.11509764984453266,0.21131853599704056,0.05795521570106089,0.6019140543672764,0.08973781358364165,1.0424400073218316,0.4409147116320158
Rubble_Dom,10,28.7021849925,118.073467815,NA,NA,-37.889917500000024,10.853107280222892,2261.57038,19.908371743852832,35.90255933333325,5.135576538438537,71.85652600000003,22.44125274565987,0.11842473202967813,0.02686688006726498,8.056944066354125,0.01170795995873915,0.11166399917829796,0.02034856408816702,0.03767749307248846,0.01300182277773068,7.726821340000175,9.564805971812046,31.23204721000001,59.33073321295329,-56.937355872,23.210271084004827,0.455333571837034,0.11648581667309948,0.8074595666823712,0.4246088440239707,0.25640577573711654,0.02005274782130577,1.7300124613661625,0.7858948467635671
Rubble_Dom,12,8.390261732500008,129.195564507,NA,NA,-49.688891749999925,9.931344599266522,2306.01740575,11.733118850647712,58.508935666666424,5.4932938400745295,50.36052870000003,12.613650053567602,0.15679212354598593,0.02665265182378652,8.05987093476518,0.01160574222701156,0.1548913819135806,0.02403687437898346,0.04687878548527451,0.01597084280834628,19.33232921359641,5.668837625043385,10.920123950000017,62.889062884858795,-45.815259180000005,24.60472303494321,0.2045843897017275,0.02143874185111041,0.5612456025638513,0.2713504309979878,0.8354602022770983,0.13003297320855042,1.282273843218075,0.5276933145437072
