TREATMENT,TANK_NUM,TA_rangemean,TA_rangese,TA_mean,TA_se,deltaTA_rangemean,deltaTA_rangese,deltaTA_mean,deltaTA_se,pH_rangemean,pH_rangese,pH_mean,pH_se,deltapH_rangemean,deltapH_rangese,deltapH_mean,deltapH_se,DOC_rangemean,DOC_rangese,DOC_mean,DOC_se,deltaDOC_rangemean,deltaDOC_rangese,deltaDOC_mean,deltaDOC_se,NEC_rangemean,NEC_rangese,NEC_mean,NEC_se,NEP_rangemean,NEP_rangese,NEP_mean,NEP_se
Algae_Dom,1,-20.531524999999874,7.084435261667026,2352.4766982,6.944454185978887,7.346999999999753,NA,5.976231750000011,4.958543957223965,0.15351901852492317,0.03655435528768809,8.038857017420163,0.014790908321645337,0.1500333763047587,0.0347161758144828,0.02103204581101346,0.016880050594170644,83.05406844999999,38.83731604353242,168.6965407375,12.417524038199872,-47.200614245000004,15.380710130640447,29.00929137125,10.846237682575143,0.14940132740740236,NA,0.08641714757333241,0.05533057762166649,2.0430026863129673,NA,1.4833695640421984,0.6322690397603776
Algae_Dom,4,-3.6292399999999816,10.461413212739478,2368.8259358,8.616067034298775,37.24499999999989,NA,-10.705861999999911,11.046531706526737,0.19502256669419477,0.039998226980165086,8.061527377342337,0.03069939996872899,0.1693738588133758,0.03409859903906648,0.033204960612951945,0.0390707148785385,90.2143505,24.244393184180204,193.34123252499998,15.183607239898251,126.928488725,20.323685235284476,82.84904291875,9.98401844582766,0.11736593185185137,NA,-0.14124301408148104,0.08786616334188563,1.196228817303709,NA,0.7377464928190793,0.4023798312713711
Algae_Dom,13,-16.69769233333348,2.1553779557021064,2355.7098385,4.605322669899181,6.195127500000126,5.688004733985449,4.46321362499998,2.713134151457556,0.11247426883403927,0.02364959202194699,8.054870512478493,0.007543138720359565,0.13739258731736498,0.029614014689436197,0.03240682360988537,0.007429379038415825,-3.221895679999998,4.399607650616767,111.6376959875,8.570347261181377,-99.53878632333333,43.90983771196244,-31.60471669625,11.974506340018833,0.043433804735557704,0.08303074755523382,0.03273949249610991,0.03428112656562492,1.1817328546517634,0.42238305636687967,1.050613315844834,0.321480116172496
Algae_Dom,14,-51.48135300000013,8.586192138024131,2349.8856561,3.0461016953930806,31.616544500000145,12.934663732437516,8.864842875000022,2.3803866095490633,0.11083314308928033,0.027476884802777376,8.052942834271303,0.00819083729457286,0.10908232059412633,0.019176270354528305,0.029373521063149704,0.006081528792509466,24.800340056666663,13.493877175842412,121.93511134375001,5.466793817212626,-71.51655058666667,28.368618068616716,-21.307301339999995,13.047080633087267,0.14537345327111273,0.07407155072339655,0.10308450659925937,0.03483838940894548,1.6569796663013192,0.26378306965839327,0.9890198615696314,0.2325672242766207
Control,3,-5.992423500000086,2.0811352104833505,2367.7683329,3.45678164208803,5.2590000000000146,NA,-5.574360249999927,2.4805229297977194,0.0065711153286068,0.006604060740637869,8.03238914564318,0.005621851348866899,0.015262762789304152,0.007546538506216818,0.0028836668624007914,0.003921877185270615,-26.390010579999995,11.888291809012417,144.6658847325,12.618487513560698,10.324127645000004,15.80899975790814,34.17369512625001,12.066711828190854,0.012139765925925932,NA,0.00926408760814772,0.011880819847465923,0.15357203823134008,NA,-0.13506292670705972,0.061716420677405265
Control,8,0.7917750000001433,1.8752212916944495,2365.6123107,3.119817029493706,-10.131273000000192,6.149928561173462,-4.964196749999985,2.865009439439621,0.006954918245147348,0.00722374164149138,8.044436009081197,0.007612572622477406,0.020455289061108696,0.009648563737852571,0.020268745965238137,0.003436238652147944,-64.88291011666665,62.75939097279049,168.91449746875,24.658375926450294,-161.19980076,102.27966030658662,25.672084785,11.788047821860424,0.06999389820444177,0.03729115921916127,-0.017230929810370513,0.04354654044953514,0.4487296443853797,0.19785978258245102,0.18545459775759326,0.06235950389829464
Control,11,-5.166216666666665,3.7470185645935574,2366.5990536,1.9718935744608603,-9.005422499999895,5.8447191121388595,-6.592117874999985,2.8715371320455496,0.006968461715226106,0.007322839781223954,8.045112622255985,0.00740568910403942,0.020214361575269527,0.009126967037447285,0.020913349498181053,0.0038185460204783676,12.72777144333333,15.868698928459088,142.99411150875,10.251740853707114,-83.58911920000001,45.775435001020995,-0.24830117499999815,5.738469511719368,0.11228575423630088,0.07329671728676114,-0.006485039388702383,0.008726435703272145,0.04839010575381972,0.10820745278211659,0.10266373952212218,0.030727438126527225
Control,15,-3.417604666666648,1.9214936904775901,2363.9788515,1.7659638222404925,-6.769403999999895,5.362801773215551,-2.563070800000014,2.6930634236672275,-0.0028976458160830387,0.004695986673023248,8.040282526353714,0.006987101600875734,0.01626548904401805,0.01043918664954037,0.014019709155649974,0.002264587929393311,81.67992909666667,47.70416251529371,152.01889078933334,13.071569096639065,-98.06881352999997,88.58793918162753,7.550973736666672,16.01985989972356,0.07449958026666592,NA,0.008142988983703109,0.03227596928274512,0.4614160039639533,NA,0.3429175655419659,0.07079532003047413
Coral_Dom,6,1.9530629999999292,5.729931252594779,2319.5832186,6.367523020396339,18.704999999999927,NA,43.280975000000126,6.726731538186498,0.13297787369649386,0.024421914803307163,8.04500268343673,0.0094444683957253,0.1332745516512785,0.024712282103429073,0.01907550014662902,0.010922438086993764,43.888990670000005,6.37414310249048,113.98282711,12.192045952475633,80.603128895,2.4534351535947567,3.4906375037499977,7.231710072554196,0.4774590311111099,NA,0.2984596305925946,0.04236970051362728,1.4701249251055946,NA,0.4550814794871324,0.17454787472502117
Coral_Dom,7,-55.67771666666658,4.732739595788257,2338.915583,6.043192813517649,42.920417499999985,9.736163732766606,24.047650625000074,6.450933073878617,0.14134956591569509,0.02727980430093837,8.041219544364997,0.009194937523173763,0.12702650133257018,0.021409573693132886,0.01726659484202253,0.012948985961742876,45.08757469333334,11.53705201735972,116.95595732249998,7.382907817338002,65.29525062666667,18.84655169849922,4.863111634999997,1.2911896771889488,0.14159250947037055,0.01665032438250075,0.32422098091388657,0.08609275290708059,1.2105286415272682,0.027662024301362494,0.8284316016723662,0.24519515558292992
Coral_Dom,9,-62.34737733333319,8.954465222570487,2306.3935345,7.432194839944363,71.34999500000004,12.821821748566093,50.79029700000001,9.693716236025752,0.11796937314723291,0.026541210250683095,8.053339842712203,0.014888345633506635,0.12476715545333679,0.02657183006106291,0.02026665935905487,0.005651702513316752,37.14326947000001,17.772306936972463,117.47788778125,7.2164008880067385,-59.17362117333333,25.741598627186367,-25.764524902499993,12.486333797469578,0.4183760618659263,0.0337532369319479,0.2836527120831477,0.06143144974387788,1.4133184493161635,0.16761202857545274,0.7814905421601174,0.11725843401958583
