TREATMENT,TANK_NUM,TA_rangemean,TA_rangese,TA_mean,TA_se,deltaTA_rangemean,deltaTA_rangese,deltaTA_mean,deltaTA_se,pH_rangemean,pH_rangese,pH_mean,pH_se,deltapH_rangemean,deltapH_rangese,deltapH_mean,deltapH_se,DOC_rangemean,DOC_rangese,DOC_mean,DOC_se,deltaDOC_rangemean,deltaDOC_rangese,deltaDOC_mean,deltaDOC_se,NEC_rangemean,NEC_rangese,NEC_mean,NEC_se,NEP_rangemean,NEP_rangese,NEP_mean,NEP_se
Algae_Dom,1,-6.867349999999836,7.650768783337689,2350.6033318333334,6.122511415651176,21.079499999999598,4.855171936322077,-2.7714145999999804,6.418781586096659,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,0.16132434129634987,0.026784539360403065,0.02299359709069308,0.01586361439162662,75.70633776666665,26.77976827239823,162.42704423,10.986427973099298,97.43365973666666,63.50761099148489,-13.031622133000003,25.200014694764963,0.1377035111110859,0.00413580261409994,-0.4664803447561502,0.31254197261583505,1.5724052952919612,0.1663813031998254,1.7446376558541605,0.549923383225439
Algae_Dom,4,-7.658493333333202,7.371878133022359,2357.3381965,10.255023948725537,-0.3195000000002892,13.281056340941095,-2.9246895999999185,10.233291795210436,0.17843662649315728,0.04092638884283094,8.060288888668053,0.028743353454865495,0.15807219672204434,0.03343586133107001,9.919589354725478e-4,0.022870396733861452,76.59443476666667,17.615575175586322,180.91056307,14.504750115633714,126.928488725,19.678323612454587,64.547445195,13.219657285375275,-0.496910767407415,0.21717960978555836,0.06223084206814869,0.13552288912111835,0.4371533793056251,0.26837369482029694,0.7430588453070825,0.3374188145272899
Algae_Dom,13,-11.891019250000113,2.9461093606593254,2353.64744875,4.1835143092566165,21.711418333333313,7.765775587383179,-4.401629099999991,5.452863485636092,0.10345470335656903,0.02389022527847623,8.05405603436128,0.007102812727271188,0.12629423316291769,0.02943994428879893,0.03286303678712423,0.006945856811044795,12.857112127499999,8.759649832785266,114.14065515499999,7.32139890135759,22.04227696999998,70.00382055871079,-64.16214186200001,20.78619387147018,1.0209343280953036,0.42707051578915134,-0.48082316481792536,0.28852577504787275,0.9918821949298292,0.300643649762915,1.174099304060588,0.2782675678123007
Algae_Dom,14,-37.238514750000036,9.838256705246796,2348.4807134166667,2.7747523552205284,37.67202966666658,9.23579363754616,-0.5044256999999561,5.605026609968425,0.09974157971575287,0.027993384517166493,8.051934858764644,0.007727845965074548,0.09752090748550504,0.02086109552425618,0.02969704531428435,0.005682858701274893,38.453039077499994,12.664991054529663,124.460064781,4.796434802280476,47.63820392000001,63.65885984949702,-53.842732236,21.224716340437595,1.1653318211930734,0.4445569899195543,-0.49217002672059107,0.3340372427473488,0.4137237956355542,0.5678312242990157,0.9470767990521194,0.19641802246798226
Control,3,-2.858282333333439,1.9677390386897025,2362.1507774166666,4.560247043081181,-25.875999999999976,11.007884816121576,-5.652188199999955,2.0804366805447057,-0.0012109675097895511,0.009935931223918728,8.032022537102531,0.005271523768061618,0.011569769445168566,0.007824147836215684,0.0017463990988614056,0.003821303010780331,-14.435507986666664,9.645972322632183,141.46240436600002,10.73139811343327,10.324127645000004,15.306998195643828,21.111175881,12.478003913235169,-0.15462490962962971,0.05896021647385395,-0.014047789765333732,0.016403504362960276,-0.15886931730997098,0.11046470061318905,-0.14337634552002418,0.05195904408801308
Control,8,13.00183125000001,6.282447987453245,2360.8049255833334,3.995816636886597,-4.873848666666769,4.786593854641755,-10.630057399999988,3.975338226702943,0.0016388730509102611,0.008597672615150612,8.043899387464494,0.007141100541964373,0.01440509720659674,0.010610938275348673,0.021134911026179252,0.003313971597791839,-32.327095275,52.217654984195306,160.66979863,21.184125405555072,-23.141930432500008,106.31650605672867,-17.632998386999997,26.148529411908328,0.12232094151901154,0.034135838531017204,-0.2437889370334816,0.1318085831606695,-0.622151311123057,0.48308719220361745,0.254394102082858,0.06495731204295441
Control,11,-0.2286624999999276,3.856157785195322,2362.2460446666664,3.1657591098945037,7.559384999999866,8.213495387868731,-12.67499429999998,4.166618382244788,0.0013819722557054104,0.008839109069081986,8.044242640025107,0.006981802868852543,0.01387326705728472,0.010357178906006162,0.02142606388012697,0.0035972188174481327,24.6112147325,13.881239485471358,141.67360492699999,8.6279825699666,33.79637957499998,68.95257690341832,-36.62919208999999,20.899026566200604,0.313766902824197,0.10064697755226838,-0.13556056039985062,0.07252548938667808,-0.27082285332565453,0.15682536784883871,0.11386320563283525,0.026515460185162605
Control,15,-4.75295349999999,1.6541468635847032,2359.648372714286,3.188702808483749,16.83106399999997,10.574729623375674,-7.1677256666666835,3.5977953901255617,-0.0064223363693809935,0.005646356982415418,8.04040327024681,0.006564349688706874,0.011916924623646113,0.010579478937627616,0.015627623033531286,0.002634049436784766,74.4311885725,37.95056607895719,148.14463757444446,11.573658698897306,21.042464427500022,90.89751753877998,-25.336015694444434,23.97825498544432,0.569578697679011,0.3814920167259665,-0.17559729016790196,0.11269354331117216,-1.375862351440305,0.5743795850413971,0.4759347981757899,0.10009254981811051
Coral_Dom,6,-17.53995799999999,9.307840929544568,2318.9113488333332,5.52976404833138,10.814999999999827,2.7895362517809654,37.13428000000008,6.6047313319080105,0.12337891610849239,0.024779349650540575,8.044577585126033,0.008844712767630146,0.12810477070087364,0.02349198791408872,0.017637290262326126,0.010285610287946778,50.95618443666667,5.330094015291491,115.650420031,10.265755136793755,80.603128895,2.3755283727180823,0.8608990229999989,6.239621214151129,0.1580907155555541,0.11291375081272932,0.26680915336296457,0.039689945328193185,1.1824861341849293,0.10169566979615097,0.3218269623092251,0.16422871592796662
Coral_Dom,7,-38.25728749999996,9.479826113314317,2337.2699858333335,5.329693311919227,6.078611666666651,17.289633098546005,19.04962050000008,6.08823184919698,0.128302499400862,0.02865990582683043,8.040484016124932,0.008632468843854511,0.1189602917899227,0.02129781636650641,0.015365644115251724,0.012221125804844253,47.67381032,9.212051045299303,120.07709791799999,6.431927351485686,65.29525062666667,18.248095215431146,3.0412465679999983,1.4864309796175093,0.14159250947037055,0.016121607260594174,0.20089535658296265,0.09982191071577069,-0.001902391795407373,0.5253395294119939,0.43423224028787555,0.3013846334207695
