TrisCalDate,TTris,mVTris,HOBO_Orion
20240107,21.677,-87.8,Orion
20240107,23.75,-85,Orion
20240107,25.284,-82.8,Orion
20240107,27.61,-78.8,Orion
20240107,29.394,-77.6,Orion
20240112,21.84,-61.9,Orion
20240112,23.716,-59.3,Orion
20240112,25.883,-56.5,Orion
20240112,27.817,-53.5,Orion
20240112,29.857,-52.8,Orion
