colony_id,genotype,number,weight1_g,weight2_g,weight_of_wax_g,SA_cm_2,dipper,date,notes
B_14,B,14,33.864,36.501,2.637,446.9627119,Laurel,7/3/24,
B_41,B,41,54.249,58.161,3.912,663.0644068,Laurel,7/3/24,
156,,156,22.78,24.912,2.132,361.3694915,Laurel,7/3/24,
146,,146,35.504,37.716,2.212,374.9288136,Laurel,7/3/24,
L_95,L,95,30.566,32.988,2.422,410.5220339,Laurel,7/3/24,
L_53,L,53,32.027,34.678,2.651,449.3355932,Laurel,7/3/24,
202,,202,14.342,16.589,2.247,380.8610169,Laurel,7/3/24,
S_136,S,136,11.335,12.385,1.05,177.979661,Laurel,7/3/24,
E_74,E,74,31.968,33.826,1.858,314.9288136,Laurel,7/3/24,
E_85,E,85,26.679,28.261,1.582,268.1491525,Laurel,7/3/24,
149,,149,22.582,23.94,1.358,230.1830508,Laurel,7/3/24,
162,,162,18.955,20.145,1.19,201.7084746,Laurel,7/3/24,
J_60,J,60,24.701,26.167,1.466,248.4881356,Laurel,7/3/24,
110,,110,53.681,56.947,3.266,553.5728814,Laurel,7/3/24,
G_92,G,92,22.798,24.397,1.599,271.0305085,Laurel,7/3/24,
159,,159,23.007,24.941,1.934,327.8101695,Laurel,7/3/24,
204,,204,11.131,12.112,0.981,166.2847458,Laurel,7/3/24,
U_13,U,13,27.546,29.446,1.9,322.0474576,Laurel,7/3/24,
N_21,N,21,24.428,26.207,1.779,301.5389831,Laurel,7/3/24,
U_101,U,101,26.581,28.716,2.135,361.8779661,Laurel,7/3/24,
C_113,C,113,31.576,33.558,1.982,335.9457627,Laurel,7/3/24,
M_25,M,25,20.624,21.854,1.23,208.4881356,Laurel,7/3/24,
M_11,M,11,27.568,29.945,2.377,402.8949153,Laurel,7/3/24,
U_100,U,100,19.329,21.313,1.984,336.2847458,Laurel,7/3/24,
B_73,B,73,31.714,33.828,2.114,358.3186441,Laurel,7/3/24,
161,,161,27.945,30.93,2.985,505.9457627,Laurel,7/3/24,
C_48,C,48,32.464,33.989,1.525,258.4881356,Laurel,7/3/24,
K_59,K,59,53.431,56.041,2.61,442.3864407,Laurel,7/3/24,
147,,147,26.458,29.143,2.685,455.0983051,Laurel,7/3/24,
A_40,A,40,36.211,38.47,2.259,382.8949153,Laurel,7/3/24,
J_6,J,6,32.249,34.089,1.84,311.8779661,Laurel,7/3/24,
W_36,W,36,23.58,25.235,1.655,280.5220339,Laurel,7/3/24,
L_19,L,19,15.418,16.64,1.222,207.1322034,Laurel,7/3/24,
135,,135,8.484,9.249,0.765,129.6745763,Laurel,7/3/24,
207,,207,22.004,24.214,2.21,374.5898305,Laurel,7/3/24,
I_38,I,38,28.018,30.503,2.485,421.2,Laurel,7/3/24,
