CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM,endo_per_cm2,initial_endo,chla_ug_cm2,initial_chla,mean_tissue_biomass,initial_biomass,GP,R
1,T,Coral_Dom,7,13,NA,NA,0.966409220552346,2.6068875866388836,NA,NA,1.878661130893464,0.7813351310947251
2,M,Algae_Dom,13,25,NA,NA,2.9593391835382663,1.9852306702236393,NA,NA,2.8227652773630454,0.9158293506496428
6,J,Algae_Dom,1,2,0.26861837072917866,NA,1.6561909428698578,3.348934546436245,6.52507023267338,NA,2.8960114018764544,0.8359549845507079
8,J,Coral_Dom,6,11,0.16809013129626896,NA,1.3073809374918612,3.348934546436245,9.26149276202012,NA,2.0447342444637653,0.5238547612253205
10,G,Coral_Dom,9,17,0.6419405977860237,1.2966341787360331,3.402736479094264,3.9943344322871286,18.96813626348229,20.604581266136258,4.113936260845545,1.2271126432996622
11,M,Control,3,6,0.7400478135083739,NA,2.6531761712440636,1.9852306702236393,14.22286560369472,NA,NA,0.6559079810162786
13,U,Rubble_Dom,5,9,0.7423689095274956,0.7774960435906315,2.6292232212432136,3.3472984457422785,NA,NA,3.647590325986082,1.2365280188247727
14,B,Control,3,6,0.295244959777778,NA,0.783839228152319,2.3352212070332388,6.23791496031664,NA,NA,0.5174635390194469
15,V,Control,8,16,0.4350829678371022,1.1013906315562203,2.446872815243981,4.853278907676657,4.826021228321798,18.589412358939818,2.154532065612647,1.0707067172768638
16,B,Algae_Dom,4,7,0.24838053913465136,NA,1.3158337360905643,2.3352212070332388,5.100287653348851,NA,2.573266989131086,0.9016583513506272
18,V,Rubble_Dom,2,4,0.42693319013448566,1.1013906315562203,2.3427767530318913,4.853278907676657,19.614721345377156,18.589412358939818,2.7725621251394053,1.0188167783406563
19,L,Rubble_Dom,10,20,0.3282352246726337,NA,1.5315003494301955,0.6630181678932228,4.748489232518398,NA,4.250133118678786,1.23265946
21,N,Control,11,22,0.8826733423473712,0.929447095142448,4.0737572574350915,4.720371652834108,13.008187299068885,21.819632953485694,3.1954009109022934,1.4106826411603846
25,M,Rubble_Dom,5,9,0.41357412658628456,NA,1.727289035537792,1.9852306702236393,15.877491089107904,NA,4.103948629066411,1.2471918606237469
27,I,Coral_Dom,9,18,0.43836789474510657,NA,2.2476368573206105,NA,10.346534706371791,NA,3.2891390444199624,1.1806950536913157
28,P,Control,3,5,0.1682118258669598,NA,1.3097203953610503,1.4487552255999607,2.413782124736522,NA,1.3582757214568808,1.1650337377933446
33,F,Control,15,30,0.4464649726217026,0.8233524278308041,2.1463249848965913,3.2951648175803965,3.127974786427072,20.00443690979766,6.597576931861302,1.915090069482236
36,W,Rubble_Dom,12,23,0.5083036131912647,1.1932564592199246,3.3517720372422777,8.171761566146001,7.341790385314568,44.85290236784113,2.945230983727906,1.6417078540203192
37,C,Control,8,16,0.4953709075069171,NA,2.8205744887334654,9.37759385697352,11.366085643868766,NA,2.9457974679711145,1.5248276387535833
38,I,Algae_Dom,13,26,0.5338868981458659,NA,3.4517521295309868,NA,6.913001353573273,NA,3.530216700029511,1.1813376401661122
40,A,Coral_Dom,16,32,0.4971516232992774,0.8357502039027154,2.254493003340608,3.1814202195251218,6.924279397543775,16.17473459269022,2.9151505307930896,1.122894057
41,B,Coral_Dom,16,31,0.2791232749510181,NA,0.6084385129194113,2.3352212070332388,4.619136597568775,NA,2.192125830961178,1.0541550761506746
43,N,Coral_Dom,6,12,0.4736702256287747,0.929447095142448,2.035834007513066,4.720371652834108,3.3810457654364225,21.819632953485694,NA,0.9002415156522171
46,C,Algae_Dom,1,2,0.0458756698060527,NA,NA,NA,4.624930954821564,NA,0.720315866,0.8680700094125925
48,C,Coral_Dom,16,32,1.2449032838958043,NA,NA,NA,15.161450539177515,NA,NA,NA
50,I,Rubble_Dom,12,24,0.47525488079853,NA,2.303236277619136,NA,13.809276478301062,NA,3.373669963847201,1.2826261618321468
51,F,Coral_Dom,6,12,0.4054171108990126,0.8233524278308041,2.0987959719278844,3.2951648175803965,7.108839398544847,20.00443690979766,NA,0.9789651331944124
53,L,Algae_Dom,1,1,0.04024268674247371,NA,1.3347243101832114,0.6630181678932228,2.5112060671724175,NA,3.566105148,1.2041352980391882
56,A,Algae_Dom,14,28,0.7279005174175806,0.8357502039027154,2.5829272258384908,3.1814202195251218,13.573366159177391,16.17473459269022,3.4533337881893917,1.0643371276166425
58,A,Control,15,29,0.5140323785262101,0.8357502039027154,1.2958767058405285,3.1814202195251218,5.3496844074791206,16.17473459269022,4.36779785,1.197679842375734
59,K,Algae_Dom,4,7,0.4381844562153806,NA,2.2552897780835184,1.80734140855145,6.528822843323723,NA,2.465462083,0.6134208189823724
60,J,Control,11,21,0.15072684365637615,NA,1.575040094902347,3.348934546436245,4.944918320792104,NA,2.2487703984174106,0.6923061280919196
62,R,Rubble_Dom,10,19,NA,1.023629316496247,NA,NA,NA,NA,NA,NA
63,E,Coral_Dom,9,17,NA,0.7448353656735333,1.6632531126864385,4.810672386557634,NA,NA,4.038182673694507,1.3249437294866224
64,K,Control,11,22,0.4686758473872469,NA,2.8614139309460995,1.80734140855145,11.89559208337862,NA,1.6492236770000783,0.7933677431242823
65,D,Control,15,29,NA,0.8699065309034011,1.7717606568596944,3.99537034781274,NA,NA,NA,NA
66,R,Control,15,29,0.35907157063582346,1.023629316496247,1.5677839727826222,5.402623640764294,7.56995699785303,40.18635024072939,3.078419072,1.1014325838631571
