TREATMENT,TANK_NUM
Algae_Dom,1
Rubble_Dom,2
Control,3
Algae_Dom,4
Rubble_Dom,5
Coral_Dom,6
Coral_Dom,7
Control,8
Coral_Dom,9
Rubble_Dom,10
Control,11
Rubble_Dom,12
Algae_Dom,13
Algae_Dom,14
Control,15
Coral_Dom,16
