Tank ID,Temp,mV,DO_mg_L,DO_percent,Salinity
Pre 1,,,,,
Pre 2,,,,,
Pre 3,,,,,
Pre 4,,,,,
COTS 1,,,,,
COTS 2,,,,,
COTS 3,,,,,
COTS 4,,,,,
Bleach 1,,,,,
Bleach 2,,,,,
Bleach 3,,,,,
Bleach 4,,,,,
Control 1,,,,,
Control 2,,,,,
Control 3,,,,,
Control 4,,,,,
