CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM,SA_cm_2,endo_per_cm2,Chla_norm,Chlc_norm,Chl_total,chla.ug.cm2,chlc2.ug.cm2,mean_NPOC_mgL,mean_TN_mgL,mean_NPOC_uM,mean_TN_uM
1,T,Coral_Dom,7,13,92.74426894514568,0.22551991878194377,1.5745999999999998,0.14196000000000006,1.71656,0.01697786847453499,0.00153066061770925,1.339901282,0.265222308,111.5589668,18.93538861
2,M,Algae_Dom,13,25,50.36512908655286,0.37271581231808976,0.9756666666666668,0.06466000000000027,1.040326666666667,0.0193718686776956,0.0012838247646393599,1.593027564,0.254822692,132.6340317,18.19291427
6,J,Algae_Dom,1,2,58.17561902636177,0.2686183707459777,1.7978666666666665,0.2048099999999999,2.0026766666666664,0.03090412610374704,0.00352054698196479,1.71301859,0.236815513,142.6243757,16.90730242
8,J,Coral_Dom,6,11,73.79659890597961,0.1680901313054264,1.04135,-0.17021000000000003,0.87114,0.01411108391688887,-0.00230647485811077,1.264372436,0.24369782,105.2705035,17.39866068
10,G,Coral_Dom,9,17,54.63197081292995,0.6419405977515961,1.3322833333333333,0.08515999999999987,1.4174433333333332,0.0243865142256495,0.00155879421403578,1.459732051,0.252799615,121.535968,18.0484779
11,M,Control,3,6,77.59336484894227,0.7400478135184619,1.138583333333334,0.22693000000000024,1.3655133333333342,0.01467372030500793,0.00292460573708449,1.604995513,0.258013205,133.6304722,18.42069903
13,U,Rubble_Dom,5,9,60.34519956519759,0.7423689095865751,0.4116333333333333,0.05652999999999983,0.46816333333333304,0.0068213103323296,9.367770825652078e-4,1.499395513,0.269822436,124.8383119,19.26381203
14,B,Control,3,6,86.99488051723078,0.2952449597871762,1.6497333333333335,0.14484999999999978,1.7945833333333332,0.01896356801081027,0.00166504050737444,1.604995513,0.258013205,133.6304722,18.42069903
15,V,Control,8,15,56.83771102741302,0.43508296785690515,3.511,0.6505400000000001,4.1615400000000005,0.06177236796441061,0.0114455699958894,1.884205128,0.255255385,156.8772118,18.22380608
16,B,Algae_Dom,4,7,60.52599794343391,0.24838053912055968,3.737466666666667,0.6321200000000002,4.369586666666668,0.06174977354973401,0.01044377658385123,1.857941667,0.237480128,154.6905398,16.95475224
18,V,Rubble_Dom,2,4,52.71550800362499,0.4269331901051275,1.0677166666666669,0.11568000000000005,1.1833966666666669,0.02025431807783521,0.00219442066270138,2.192633974,0.24941782,182.5567181,17.80703667
