Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-72.1,NaN,23.9,,,,
0.0600,14,-72.1,0.0045,23.8,,,,
0.1200,34,-62.3,0.0030,23.8,,,,
0.1800,54,-49.1,0.0030,23.9,,,,
0.2400,74,-30.5,0.0030,23.9,,,,
0.3000,94,-10.5,0.0030,23.9,,,,
0.3600,114,2.6,0.0030,23.9,,,,
0.4200,134,11.9,0.0030,23.9,,,,
0.4800,155,19.9,0.0030,24.0,,,,
0.5400,175,26.9,0.0030,24.0,,,,
0.6000,195,33.4,0.0030,24.0,,,,
0.6600,215,39.6,0.0030,24.0,,,,
0.7200,235,45.4,0.0030,24.0,,,,
0.7800,255,51.0,0.0030,24.1,,,,
0.8400,275,56.6,0.0030,24.1,,,,
0.9000,296,62.2,0.0030,24.1,,,,
0.9600,316,68.0,0.0030,24.1,,,,
1.0200,336,74.1,0.0030,24.1,,,,
1.0800,354,80.7,0.0035,24.2,,,,
1.1400,373,88.2,0.0030,24.2,,,,
1.2000,390,97.5,0.0035,24.2,,,,
1.2600,406,109.6,0.0035,24.2,268.80,2.43,,
1.3200,420,127.2,0.0040,24.2,318.12,2.50,,
1.3800,430,152.6,0.0060,24.2,338.52,2.53,,
1.4400,437,174.1,0.0080,24.2,312.68,2.50,,
1.5000,444,187.1,0.0090,24.2,242.84,2.39,,
1.5300,540,192.1,0.0005,24.3,187.27,2.27,,
1.5600,546,196.3,0.0050,24.3,130.44,2.12,,
1.5900,552,199.9,0.0050,24.3,105.75,2.02,,
1.6200,557,203.1,0.0060,24.3,97.76,1.99,,
1.6500,562,205.9,0.0060,24.3,88.42,1.95,,
1.6800,567,208.4,0.0060,24.3,80.34,1.90,,
1.7100,572,210.7,0.0060,24.3,73.96,1.87,,
1.7400,577,212.9,0.0055,24.3,68.70,1.84,,
1.7700,582,214.9,0.0055,24.3,64.22,1.81,,
1.8000,588,216.7,0.0055,24.3,59.95,1.78,,
1.8300,593,218.5,0.0065,24.3,55.61,1.75,,
1.8600,598,220.1,0.0060,24.4,51.55,1.71,,
1.8900,603,221.6,0.0060,24.4,48.42,1.69,,
1.9200,608,223.0,0.0060,24.4,45.95,1.66,,
1.9500,613,224.3,0.0060,24.4,43.95,1.64,,
1.9800,618,225.6,0.0060,24.4,42.33,1.63,,
2.0100,623,226.9,0.0055,24.4,40.32,1.61,,
2.0400,628,228.1,0.0055,24.4,38.14,1.58,,
2.0700,634,229.2,0.0055,24.4,36.15,1.56,,
2.1000,639,230.2,0.0065,24.4,34.28,1.54,,
2.1300,644,231.2,0.0065,24.4,,,,
2.1600,649,232.2,0.0060,24.4,,,,
2.1900,654,233.2,0.0060,24.4,,,,
2.2200,659,234.1,0.0060,24.4,,,,
2.2500,664,235.0,0.0060,24.4,,,,
6/21/2024 4:05:47 PMSystemInternal,,,,,,,,1/1
