SampleID,TA,Mass,Salinity
Junk,2227.779044,60.07,36.4
CRM,2234.107005,59.937,33.6
Junk2,2361.502618,59.902,36.4
Tank7_0620_1200,2337.289483,59.975,36.4
Tank8_0620_1200,2382.152856,60.104,36.4
Tank9_0620_1200,2284.680617,60.014,36.4
Tank10_0620_1200,2183.149331,59.953,36.4
Tank11_0620_1200,2372.619694,60.226,36.4
Tank12_0620_1200,2285.651753,60.305,36.4
Tank13_0620_1200,2364.268818,59.994,36.4
Tank14_0620_1200,2355.660884,60.033,36.4
Junk3,2321.237666,60.077,36.4
Tank15_0620_1200,2369.510558,60.351,36.4
Tank16_0620_1200,2228.207009,60.263,36.4
Intake1_0620_2100,2370.924852,60.108,36.4
Intake2_0620_2100,2367.620913,60.06,36.4
Tank1_0620_2100,2379.713425,60.07,36.4
Tank2_0620_2100,2365.744469,59.864,36.4
Tank3_0620_2100,2387.105854,60.088,36.4
Tank4_0620_2100,2336.958861,60.139,36.4
