Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-38.2,NaN,25.2,,,,
0.0600,17,-50.2,0.0035,25.3,,,,
0.1200,38,-33.0,0.0030,25.3,,,,
0.1800,58,-13.2,0.0030,25.3,,,,
0.2400,78,0.0,0.0030,25.3,,,,
0.3000,98,9.2,0.0030,25.3,,,,
0.3600,118,17.2,0.0030,25.3,,,,
0.4200,138,24.5,0.0030,25.3,,,,
0.4800,158,31.2,0.0030,25.3,,,,
0.5400,178,37.3,0.0030,25.3,,,,
0.6000,198,43.0,0.0030,25.3,,,,
0.6600,219,48.3,0.0030,25.3,,,,
0.7200,239,53.3,0.0030,25.3,,,,
0.7800,259,58.3,0.0030,25.3,,,,
0.8400,279,63.4,0.0030,25.3,,,,
0.9000,298,68.7,0.0030,25.3,,,,
0.9600,318,74.6,0.0030,25.3,,,,
1.0200,337,80.9,0.0030,25.3,,,,
1.0800,355,88.3,0.0035,25.3,,,,
1.1400,372,97.5,0.0035,25.3,,,,
1.2000,389,109.5,0.0035,25.3,267.37,2.43,,
1.2600,404,127.1,0.0040,25.3,318.05,2.50,,
1.3200,414,152.3,0.0060,25.3,339.49,2.53,,
1.3800,421,173.9,0.0085,25.3,314.82,2.50,,
1.4400,427,187.5,0.0100,25.3,245.29,2.39,,
1.4700,523,192.4,0.0005,25.3,189.80,2.28,,
1.5000,528,196.5,0.0055,25.3,132.58,2.12,,
1.5300,534,200.2,0.0050,25.3,106.20,2.03,,
1.5600,539,203.3,0.0060,25.3,97.58,1.99,,
1.5900,545,206.2,0.0055,25.3,89.82,1.95,,
1.6200,550,208.8,0.0065,25.3,81.56,1.91,,
1.6500,555,211.1,0.0060,25.3,74.46,1.87,,
1.6800,560,213.3,0.0060,25.3,68.69,1.84,,
1.7100,565,215.2,0.0060,25.3,63.16,1.80,,
1.7400,570,217.1,0.0060,25.3,59.08,1.77,,
1.7700,575,218.8,0.0060,25.3,55.42,1.74,,
1.8000,580,220.4,0.0055,25.3,52.09,1.72,,
1.8300,585,221.9,0.0055,25.3,49.14,1.69,,
1.8600,590,223.4,0.0055,25.3,46.27,1.67,,
1.8900,596,224.7,0.0055,25.3,43.95,1.64,,
1.9200,601,226.0,0.0065,25.3,41.81,1.62,,
1.9500,606,227.2,0.0065,25.3,39.80,1.60,,
1.9800,611,228.4,0.0060,25.3,37.94,1.58,,
2.0100,616,229.5,0.0060,25.3,36.66,1.56,,
2.0400,621,230.6,0.0060,25.3,35.15,1.55,,
2.0700,626,231.6,0.0060,25.3,,,,
2.1000,631,232.6,0.0060,25.3,,,,
2.1300,636,233.6,0.0060,25.3,,,,
2.1600,641,234.5,0.0055,25.3,,,,
2.1900,646,235.4,0.0055,25.3,,,,
SystemInternal6/21/2024 11:15:48 AM,,,,,,,,1/1
