Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-59.9,NaN,25.4,,,,
0.0600,17,-61.6,0.0035,25.5,,,,
0.1200,37,-49.7,0.0030,25.5,,,,
0.1800,58,-32.9,0.0030,25.5,,,,
0.2400,78,-13.1,0.0030,25.5,,,,
0.3000,98,0.4,0.0030,25.5,,,,
0.3600,118,10.2,0.0030,25.5,,,,
0.4200,138,18.1,0.0030,25.5,,,,
0.4800,158,25.0,0.0030,25.5,,,,
0.5400,178,31.4,0.0030,25.5,,,,
0.6000,198,37.2,0.0030,25.5,,,,
0.6600,218,42.8,0.0030,25.5,,,,
0.7200,239,48.2,0.0030,25.5,,,,
0.7800,259,53.4,0.0030,25.5,,,,
0.8400,278,58.6,0.0030,25.5,,,,
0.9000,298,63.8,0.0030,25.5,,,,
0.9600,317,69.1,0.0030,25.5,,,,
1.0200,335,74.9,0.0035,25.5,,,,
1.0800,354,81.1,0.0030,25.5,,,,
1.1400,372,88.3,0.0035,25.5,,,,
1.2000,388,96.8,0.0035,25.5,,,,
1.2600,404,107.9,0.0035,25.5,248.25,2.39,,
1.3200,418,123.5,0.0045,25.5,302.62,2.48,,
1.3800,429,147.1,0.0055,25.5,333.61,2.52,,
1.4400,436,170.6,0.0080,25.5,321.27,2.51,,
1.5000,442,185.1,0.0095,25.5,261.20,2.42,,
1.5300,538,190.5,0.0005,25.5,209.98,2.32,,
1.5600,543,195.0,0.0055,25.5,149.14,2.17,,
1.5900,549,198.9,0.0050,25.5,113.84,2.06,,
1.6200,554,202.3,0.0060,25.5,103.92,2.02,,
1.6500,559,205.3,0.0055,25.5,93.89,1.97,,
1.6800,564,208.0,0.0055,25.5,84.67,1.93,,
1.7100,570,210.4,0.0055,25.5,77.25,1.89,,
1.7400,575,212.6,0.0065,25.5,70.98,1.85,,
1.7700,580,214.7,0.0060,25.5,65.68,1.82,,
1.8000,585,216.6,0.0060,25.5,61.42,1.79,,
1.8300,590,218.4,0.0060,25.5,57.23,1.76,,
1.8600,595,220.0,0.0060,25.5,53.60,1.73,,
1.8900,600,221.6,0.0060,25.5,50.29,1.70,,
1.9200,605,223.1,0.0055,25.5,47.41,1.68,,
1.9500,610,224.4,0.0055,25.5,44.95,1.65,,
1.9800,616,225.8,0.0055,25.5,43.00,1.63,,
2.0100,621,227.0,0.0065,25.5,40.94,1.61,,
2.0400,626,228.2,0.0060,25.5,39.14,1.59,,
2.0700,631,229.4,0.0060,25.5,37.52,1.57,,
2.1000,636,230.5,0.0060,25.5,35.62,1.55,,
2.1300,641,231.5,0.0060,25.5,,,,
2.1600,646,232.5,0.0060,25.5,,,,
2.1900,651,233.5,0.0060,25.5,,,,
2.2200,656,234.4,0.0055,25.5,,,,
2.2500,661,235.3,0.0055,25.5,,,,
6/21/2024 4:05:29 PMSystemInternal,,,,,,,,1/1
