Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-62.3,NaN,24.8,,,,
0.0600,17,-63.1,0.0035,24.8,,,,
0.1200,38,-51.4,0.0030,24.8,,,,
0.1800,58,-34.8,0.0030,24.8,,,,
0.2400,78,-14.7,0.0030,24.8,,,,
0.3000,98,-0.5,0.0030,24.8,,,,
0.3600,118,9.1,0.0030,24.8,,,,
0.4200,138,17.1,0.0030,24.9,,,,
0.4800,158,24.0,0.0030,24.9,,,,
0.5400,178,30.4,0.0030,24.9,,,,
0.6000,198,36.3,0.0030,24.9,,,,
0.6600,219,41.9,0.0030,24.9,,,,
0.7200,239,47.2,0.0030,24.9,,,,
0.7800,259,52.5,0.0030,24.9,,,,
0.8400,279,57.7,0.0030,24.9,,,,
0.9000,299,62.9,0.0030,25.0,,,,
0.9600,318,68.1,0.0030,25.0,,,,
1.0200,337,73.8,0.0030,25.0,,,,
1.0800,356,80.2,0.0030,25.0,,,,
1.1400,373,87.0,0.0035,25.0,,,,
1.2000,390,95.3,0.0035,25.0,,,,
1.2600,405,105.8,0.0040,25.0,236.56,2.37,,
1.3200,420,120.6,0.0040,25.0,292.93,2.47,,
1.3800,431,142.9,0.0055,25.0,330.39,2.52,,
1.4400,439,167.1,0.0075,25.0,325.58,2.51,,
1.5000,445,182.8,0.0095,25.0,272.22,2.43,,
1.5300,541,188.6,0.0005,25.1,224.13,2.35,,
1.5600,547,193.4,0.0050,25.1,162.79,2.21,,
1.5900,553,197.4,0.0050,25.1,120.70,2.08,,
1.6200,558,200.9,0.0060,25.1,107.35,2.03,,
1.6500,564,204.1,0.0055,25.1,96.83,1.99,,
1.6800,569,206.8,0.0055,25.1,87.09,1.94,,
1.7100,574,209.3,0.0055,25.1,79.25,1.90,,
1.7400,580,211.6,0.0050,25.1,72.64,1.86,,
1.7700,585,213.7,0.0060,25.1,67.50,1.83,,
1.8000,590,215.6,0.0060,25.1,62.89,1.80,,
1.8300,595,217.5,0.0060,25.1,58.60,1.77,,
1.8600,600,219.2,0.0060,25.1,54.75,1.74,,
1.8900,605,220.8,0.0055,25.1,51.42,1.71,,
1.9200,610,222.2,0.0055,25.1,48.28,1.68,,
1.9500,616,223.7,0.0055,25.1,45.61,1.66,,
1.9800,621,225.0,0.0065,25.1,43.80,1.64,,
2.0100,626,226.3,0.0060,25.1,41.62,1.62,,
2.0400,631,227.5,0.0060,25.1,39.85,1.60,,
2.0700,636,228.7,0.0060,25.1,37.62,1.58,,
2.1000,641,229.8,0.0060,25.1,36.13,1.56,,
2.1300,646,230.8,0.0060,25.1,34.48,1.54,,
2.1600,651,231.9,0.0060,25.1,,,,
2.1900,656,232.8,0.0055,25.2,,,,
2.2200,661,233.8,0.0055,25.2,,,,
2.2500,666,234.7,0.0055,25.2,,,,
2.2800,672,235.6,0.0055,25.2,,,,
SystemInternal6/22/2024 8:41:47 AM,,,,,,,,1/1
