year,benthic_group,mean_percent_cover
2006,coral,43.8
2006,ctb,34.1
2006,CCA,1.84
2006,macroalgae,1.67
2006,sand,18.5
2011,coral,15.4
2011,ctb,34
2011,CCA,25
2011,macroalgae,0.653
2011,sand,24.9
2019,coral,6.3
2019,ctb,54
2019,CCA,0.8
2019,macroalgae,19.7
2019,sand,19.2
