Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-50.2,NaN,23.5,,,,
0.0600,3,-64.4,0.0175,23.5,,,,
0.1200,24,-53.0,0.0030,23.5,,,,
0.1800,44,-35.6,0.0030,23.5,,,,
0.2400,64,-14.1,0.0030,23.5,,,,
0.3000,84,0.8,0.0030,23.5,,,,
0.3600,104,11.1,0.0030,23.6,,,,
0.4200,124,19.3,0.0030,23.6,,,,
0.4800,144,26.7,0.0030,23.6,,,,
0.5400,164,33.4,0.0030,23.6,,,,
0.6000,184,39.7,0.0030,23.6,,,,
0.6600,205,46.0,0.0030,23.7,,,,
0.7200,225,51.9,0.0030,23.7,,,,
0.7800,245,57.8,0.0030,23.7,,,,
0.8400,265,63.9,0.0030,23.7,,,,
0.9000,285,70.0,0.0030,23.8,,,,
0.9600,305,76.9,0.0030,23.8,,,,
1.0200,325,84.2,0.0030,23.8,,,,
1.0800,345,92.8,0.0030,23.8,,,,
1.1400,364,103.6,0.0030,23.8,249.10,2.40,,
1.2000,382,119.1,0.0035,23.9,306.69,2.49,,
1.2600,396,143.4,0.0045,23.9,343.48,2.54,,
1.3200,405,167.8,0.0070,23.9,334.98,2.53,,
1.3800,412,183.5,0.0090,23.9,275.10,2.44,,
1.4100,509,189.2,0.0005,24.0,221.99,2.35,,
1.4400,516,193.9,0.0045,24.0,156.84,2.20,,
1.4700,522,197.8,0.0050,24.0,117.28,2.07,,
1.5000,528,201.2,0.0050,24.0,104.61,2.02,,
1.5300,534,204.3,0.0050,24.0,95.16,1.98,,
1.5600,540,207.0,0.0050,24.0,86.13,1.94,,
1.5900,545,209.5,0.0060,24.0,78.45,1.89,,
1.6200,550,211.8,0.0055,24.0,71.63,1.86,,
1.6500,556,213.8,0.0050,24.0,65.98,1.82,,
1.6800,562,215.7,0.0055,24.0,61.56,1.79,,
1.7100,567,217.5,0.0060,24.0,57.74,1.76,,
1.7400,572,219.2,0.0060,24.0,54.42,1.74,,
1.7700,578,220.8,0.0055,24.0,51.47,1.71,,
1.8000,583,222.3,0.0065,24.0,48.28,1.68,,
1.8300,588,223.7,0.0060,24.1,45.61,1.66,,
1.8600,593,225.0,0.0060,24.1,43.48,1.64,,
1.8900,598,226.3,0.0060,24.1,41.47,1.62,,
1.9200,603,227.5,0.0055,24.1,39.47,1.60,,
1.9500,609,228.7,0.0055,24.1,37.47,1.57,,
1.9800,614,229.8,0.0065,24.1,35.80,1.55,,
2.0100,619,230.8,0.0060,24.1,34.29,1.54,,
2.0400,624,231.8,0.0060,24.1,,,,
2.0700,629,232.8,0.0060,24.1,,,,
2.1000,634,233.8,0.0060,24.1,,,,
2.1300,639,234.7,0.0060,24.1,,,,
2.1600,644,235.6,0.0060,24.1,,,,
SystemInternal6/29/2024 8:08:57 AM,,,,,,,,1/1
