Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-67.0,NaN,22.0,,,,
0.0600,5,-77.5,0.0110,21.8,,,,
0.1200,26,-69.2,0.0030,21.8,,,,
0.1800,46,-57.8,0.0030,21.8,,,,
0.2400,66,-42.1,0.0030,21.9,,,,
0.3000,86,-21.0,0.0030,21.9,,,,
0.3600,106,-3.4,0.0030,22.0,,,,
0.4200,126,9.2,0.0030,22.0,,,,
0.4800,146,17.7,0.0030,22.0,,,,
0.5400,166,24.8,0.0030,22.1,,,,
0.6000,186,31.7,0.0030,22.1,,,,
0.6600,207,38.5,0.0030,22.1,,,,
0.7200,227,44.8,0.0030,22.2,,,,
0.7800,247,51.1,0.0030,22.2,,,,
0.8400,267,57.2,0.0030,22.3,,,,
0.9000,287,63.4,0.0030,22.3,,,,
0.9600,307,69.8,0.0030,22.3,,,,
1.0200,327,76.9,0.0030,22.4,,,,
1.0800,348,84.8,0.0030,22.4,,,,
1.1400,368,94.2,0.0030,22.4,,,,
1.2000,386,106.2,0.0035,22.5,274.52,2.44,,
1.2600,404,124.2,0.0035,22.5,323.67,2.51,,
1.3200,415,150.4,0.0055,22.5,343.97,2.54,,
1.3800,423,172.7,0.0070,22.5,317.44,2.50,,
1.4400,430,184.7,0.0085,22.5,245.87,2.39,,
1.4700,527,190.0,0.0005,22.7,188.22,2.27,,
1.5000,533,194.4,0.0050,22.7,130.89,2.12,,
1.5300,539,198.2,0.0050,22.7,109.15,2.04,,
1.5600,545,201.5,0.0050,22.7,105.07,2.02,,
1.5900,550,204.4,0.0055,22.7,92.22,1.96,,
1.6200,556,207.1,0.0050,22.7,83.52,1.92,,
1.6500,562,209.5,0.0055,22.7,76.44,1.88,,
1.6800,567,211.7,0.0060,22.7,70.32,1.85,,
1.7100,572,213.7,0.0055,22.7,65.21,1.81,,
1.7400,578,215.6,0.0055,22.7,60.56,1.78,,
1.7700,583,217.4,0.0065,22.8,56.74,1.75,,
1.8000,588,219.0,0.0065,22.8,53.09,1.72,,
1.8300,593,220.6,0.0065,22.8,50.14,1.70,,
1.8600,598,222.0,0.0060,22.8,47.09,1.67,,
1.8900,603,223.4,0.0060,22.8,44.80,1.65,,
1.9200,608,224.7,0.0060,22.8,42.47,1.63,,
1.9500,613,226.0,0.0060,22.8,40.27,1.61,,
1.9800,618,227.1,0.0060,22.8,38.67,1.59,,
2.0100,623,228.3,0.0055,22.8,36.81,1.57,,
2.0400,628,229.3,0.0055,22.8,35.13,1.55,,
2.0700,634,230.4,0.0055,22.8,33.28,1.52,,
2.1000,639,231.4,0.0065,22.8,,,,
2.1300,644,232.3,0.0065,22.8,,,,
2.1600,649,233.2,0.0060,22.9,,,,
2.1900,654,234.1,0.0060,22.9,,,,
2.2200,659,235.1,0.0060,22.9,,,,
6/29/2024 8:03:30 AMSystemInternal,,,,,,,,1/1
