Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-72.0,NaN,25.2,,,,
0.0600,13,-74.3,0.0045,25.3,,,,
0.1200,34,-65.3,0.0030,25.3,,,,
0.1800,54,-53.5,0.0030,25.3,,,,
0.2400,74,-37.3,0.0030,25.3,,,,
0.3000,94,-16.5,0.0030,25.3,,,,
0.3600,114,-1.0,0.0030,25.3,,,,
0.4200,134,9.3,0.0030,25.3,,,,
0.4800,154,17.9,0.0030,25.3,,,,
0.5400,174,25.3,0.0030,25.3,,,,
0.6000,195,32.1,0.0030,25.3,,,,
0.6600,215,38.4,0.0030,25.4,,,,
0.7200,235,44.4,0.0030,25.4,,,,
0.7800,255,50.2,0.0030,25.4,,,,
0.8400,275,55.9,0.0030,25.4,,,,
0.9000,295,61.6,0.0030,25.4,,,,
0.9600,315,67.3,0.0030,25.4,,,,
1.0200,336,73.3,0.0030,25.4,,,,
1.0800,354,79.8,0.0030,25.4,,,,
1.1400,374,87.1,0.0030,25.4,,,,
1.2000,393,95.9,0.0030,25.4,,,,
1.2600,411,107.2,0.0035,25.4,255.90,2.41,,
1.3200,429,123.7,0.0035,25.4,309.99,2.49,,
1.3800,441,148.0,0.0050,25.4,339.33,2.53,,
1.4400,450,171.2,0.0070,25.4,323.69,2.51,,
1.5000,456,185.6,0.0095,25.4,260.45,2.42,,
1.5300,553,191.1,0.0005,25.4,207.09,2.32,,
1.5600,559,195.5,0.0055,25.4,146.91,2.17,,
1.5900,565,199.4,0.0050,25.4,113.43,2.05,,
1.6200,571,202.8,0.0055,25.4,103.00,2.01,,
1.6500,576,205.7,0.0060,25.4,92.84,1.97,,
1.6800,582,208.4,0.0055,25.4,84.39,1.93,,
1.7100,587,210.8,0.0065,25.5,76.72,1.88,,
1.7400,592,213.0,0.0060,25.5,70.64,1.85,,
1.7700,597,215.1,0.0060,25.5,65.75,1.82,,
1.8000,602,217.0,0.0060,25.5,61.03,1.79,,
1.8300,607,218.7,0.0060,25.5,57.08,1.76,,
1.8600,613,220.4,0.0055,25.5,53.28,1.73,,
1.8900,618,222.0,0.0060,25.5,50.08,1.70,,
1.9200,623,223.4,0.0060,25.5,47.62,1.68,,
1.9500,628,224.8,0.0055,25.5,44.95,1.65,,
1.9800,633,226.1,0.0055,25.5,42.79,1.63,,
2.0100,638,227.4,0.0055,25.5,41.15,1.61,,
2.0400,644,228.6,0.0055,25.5,39.47,1.60,,
2.0700,649,229.7,0.0065,25.5,37.67,1.58,,
2.1000,654,230.9,0.0065,25.5,36.00,1.56,,
2.1300,659,231.9,0.0060,25.5,,,,
2.1600,664,232.9,0.0060,25.5,,,,
2.1900,669,233.9,0.0060,25.5,,,,
2.2200,674,234.8,0.0060,25.5,,,,
2.2500,679,235.7,0.0060,25.5,,,,
6/29/2024 8:07:19 AMSystemInternal,,,,,,,,1/1
