Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-81.1,NaN,25.3,,,,
0.0600,9,-82.6,0.0065,25.4,,,,
0.1200,29,-74.3,0.0030,25.4,,,,
0.1800,49,-64.6,0.0030,25.4,,,,
0.2400,69,-51.4,0.0030,25.4,,,,
0.3000,89,-32.8,0.0030,25.4,,,,
0.3600,110,-10.8,0.0030,25.4,,,,
0.4200,130,3.3,0.0030,25.4,,,,
0.4800,150,13.7,0.0030,25.4,,,,
0.5400,170,22.4,0.0030,25.3,,,,
0.6000,190,30.7,0.0030,25.3,,,,
0.6600,210,37.6,0.0030,25.3,,,,
0.7200,230,44.4,0.0030,25.3,,,,
0.7800,250,51.1,0.0030,25.3,,,,
0.8400,270,57.6,0.0030,25.3,,,,
0.9000,290,64.2,0.0030,25.3,,,,
0.9600,311,71.0,0.0030,25.3,,,,
1.0200,331,78.3,0.0030,25.3,,,,
1.0800,351,86.6,0.0030,25.3,,,,
1.1400,370,96.3,0.0030,25.3,,,,
1.2000,387,109.4,0.0035,25.3,289.26,2.46,,
1.2600,402,129.2,0.0040,25.3,336.52,2.53,,
1.3200,412,156.1,0.0060,25.3,350.78,2.55,,
1.3800,420,176.8,0.0080,25.3,315.81,2.50,,
1.4400,426,189.6,0.0105,25.3,236.40,2.37,,
1.4700,522,194.1,0.0005,25.3,176.30,2.25,,
1.5000,527,198.2,0.0060,25.3,121.53,2.08,,
1.5300,533,201.7,0.0055,25.3,102.16,2.01,,
1.5600,538,204.8,0.0065,25.3,94.88,1.98,,
1.5900,543,207.5,0.0060,25.3,87.58,1.94,,
1.6200,548,210.1,0.0060,25.3,79.06,1.90,,
1.6500,553,212.3,0.0060,25.3,72.43,1.86,,
1.6800,558,214.4,0.0060,25.3,66.70,1.82,,
1.7100,563,216.4,0.0055,25.3,61.69,1.79,,
1.7400,569,218.1,0.0055,25.3,57.70,1.76,,
1.7700,574,219.8,0.0060,25.3,54.82,1.74,,
1.8000,579,221.4,0.0060,25.3,51.41,1.71,,
1.8300,584,222.9,0.0060,25.3,48.80,1.69,,
1.8600,589,224.4,0.0060,25.3,46.34,1.67,,
1.8900,594,225.7,0.0060,25.3,43.42,1.64,,
1.9200,599,226.9,0.0060,25.3,41.14,1.61,,
1.9500,604,228.2,0.0055,25.3,39.14,1.59,,
1.9800,609,229.3,0.0055,25.3,37.61,1.58,,
2.0100,614,230.4,0.0055,25.3,36.34,1.56,,
2.0400,620,231.5,0.0055,25.3,,,,
2.0700,625,232.5,0.0065,25.3,,,,
2.1000,630,233.5,0.0065,25.3,,,,
2.1300,635,234.4,0.0060,25.3,,,,
2.1600,640,235.3,0.0060,25.3,,,,
SystemInternal6/28/2024 12:20:00 PM,,,,,,,,1/1
