Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-84.0,NaN,22.8,,,,
0.0600,9,-85.6,0.0065,22.7,,,,
0.1200,29,-78.1,0.0030,22.7,,,,
0.1800,49,-69.2,0.0030,22.7,,,,
0.2400,69,-57.5,0.0030,22.8,,,,
0.3000,89,-41.7,0.0030,22.8,,,,
0.3600,110,-19.8,0.0030,22.8,,,,
0.4200,130,-2.8,0.0030,22.9,,,,
0.4800,150,8.2,0.0030,22.9,,,,
0.5400,170,17.4,0.0030,22.9,,,,
0.6000,190,25.2,0.0030,23.0,,,,
0.6600,210,32.4,0.0030,23.0,,,,
0.7200,230,39.1,0.0030,23.0,,,,
0.7800,250,45.7,0.0030,23.0,,,,
0.8400,270,52.1,0.0030,23.1,,,,
0.9000,291,58.5,0.0030,23.1,,,,
0.9600,311,64.9,0.0030,23.1,,,,
1.0200,331,71.6,0.0030,23.2,,,,
1.0800,351,79.0,0.0030,23.2,,,,
1.1400,371,87.1,0.0030,23.2,,,,
1.2000,391,97.3,0.0030,23.2,,,,
1.2600,411,110.9,0.0030,23.3,295.97,2.47,,
1.3200,427,131.5,0.0040,23.3,339.48,2.53,,
1.3800,438,158.6,0.0055,23.3,347.94,2.54,,
1.4400,445,178.0,0.0090,23.3,306.41,2.49,,
1.5000,451,189.8,0.0095,23.3,224.58,2.35,,
1.5300,548,194.4,0.0005,23.4,164.40,2.22,,
1.5600,554,198.3,0.0055,23.4,113.63,2.06,,
1.5900,559,201.6,0.0055,23.4,99.40,2.00,,
1.6200,565,204.6,0.0050,23.4,92.62,1.97,,
1.6500,571,207.4,0.0055,23.5,84.14,1.92,,
1.6800,576,209.7,0.0060,23.5,77.06,1.89,,
1.7100,582,211.9,0.0055,23.5,71.04,1.85,,
1.7400,587,214.0,0.0060,23.5,65.34,1.82,,
1.7700,593,215.9,0.0050,23.5,60.69,1.78,,
1.8000,598,217.7,0.0060,23.5,56.95,1.76,,
1.8300,603,219.3,0.0060,23.5,52.89,1.72,,
1.8600,608,220.8,0.0060,23.5,49.75,1.70,,
1.8900,613,222.3,0.0060,23.5,47.47,1.68,,
1.9200,618,223.7,0.0055,23.5,45.28,1.66,,
1.9500,624,225.0,0.0055,23.5,43.33,1.64,,
1.9800,629,226.3,0.0060,23.5,41.00,1.61,,
2.0100,634,227.5,0.0055,23.5,38.61,1.59,,
2.0400,639,228.6,0.0055,23.5,36.81,1.57,,
2.0700,644,229.7,0.0055,23.5,34.95,1.54,,
2.1000,650,230.7,0.0055,23.6,33.80,1.53,,
2.1300,655,231.7,0.0060,23.6,,,,
2.1600,660,232.7,0.0060,23.6,,,,
2.1900,665,233.6,0.0060,23.6,,,,
2.2200,670,234.6,0.0055,23.6,,,,
2.2500,675,235.4,0.0055,23.6,,,,
6/29/2024 8:04:05 AMSystemInternal,,,,,,,,1/1
