Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-31.3,NaN,24.2,,,,
0.0600,7,-50.5,0.0080,24.2,,,,
0.1200,28,-35.8,0.0030,24.2,,,,
0.1800,48,-15.7,0.0030,24.2,,,,
0.2400,68,-1.1,0.0030,24.2,,,,
0.3000,88,8.3,0.0030,24.2,,,,
0.3600,108,16.1,0.0030,24.3,,,,
0.4200,128,22.8,0.0030,24.3,,,,
0.4800,148,28.9,0.0030,24.3,,,,
0.5400,168,34.4,0.0030,24.3,,,,
0.6000,188,39.7,0.0030,24.3,,,,
0.6600,209,44.8,0.0030,24.3,,,,
0.7200,229,49.6,0.0030,24.3,,,,
0.7800,249,54.4,0.0030,24.4,,,,
0.8400,269,59.2,0.0030,24.4,,,,
0.9000,289,64.1,0.0030,24.4,,,,
0.9600,309,69.1,0.0030,24.4,,,,
1.0200,328,74.3,0.0030,24.4,,,,
1.0800,346,80.1,0.0035,24.4,,,,
1.1400,365,86.6,0.0030,24.4,,,,
1.2000,383,94.2,0.0035,24.4,,,,
1.2600,400,103.7,0.0035,24.4,,,,
1.3200,417,116.3,0.0035,24.5,275.44,2.44,,
1.3800,431,135.8,0.0045,24.5,316.55,2.50,,
1.4400,441,160.7,0.0060,24.5,325.54,2.51,,
1.5000,448,178.6,0.0085,24.5,289.43,2.46,,
1.5600,454,190.5,0.0100,24.5,215.67,2.33,,
1.5900,550,195.1,0.0005,24.5,161.01,2.21,,
1.6200,556,198.9,0.0045,24.5,115.61,2.06,,
1.6500,562,202.2,0.0050,24.5,100.87,2.00,,
1.6800,567,205.2,0.0055,24.5,91.49,1.96,,
1.7100,573,207.8,0.0050,24.5,83.99,1.92,,
1.7400,578,210.3,0.0055,24.5,77.12,1.89,,
1.7700,584,212.5,0.0055,24.5,71.15,1.85,,
1.8000,589,214.5,0.0065,24.6,65.71,1.82,,
1.8300,594,216.5,0.0060,24.6,61.07,1.79,,
1.8600,600,218.2,0.0055,24.6,56.89,1.76,,
1.8900,605,219.9,0.0065,24.6,53.62,1.73,,
1.9200,610,221.4,0.0060,24.6,50.27,1.70,,
1.9500,615,222.9,0.0060,24.6,47.08,1.67,,
1.9800,620,224.3,0.0060,24.6,44.80,1.65,,
2.0100,625,225.6,0.0060,24.6,42.62,1.63,,
2.0400,630,226.8,0.0055,24.6,40.81,1.61,,
2.0700,636,228.0,0.0055,24.6,38.80,1.59,,
2.1000,640,229.2,0.0065,24.6,37.33,1.57,,
2.1300,646,230.3,0.0055,24.6,35.81,1.55,,
2.1600,651,231.3,0.0060,24.6,,,,
2.1900,656,232.3,0.0060,24.6,,,,
2.2200,661,233.3,0.0060,24.6,,,,
2.2500,666,234.2,0.0060,24.6,,,,
2.2800,671,235.1,0.0060,24.6,,,,
6/29/2024 8:12:27 AMSystemInternal,,,,,,,,1/1
