SampleID,TA,Mass,Salinity
Junk,2336.857259,60.151,36.4
CRM,2235.109493,60.141,33.6
Junk2,2209.983227,60.218,36.4
C9_End_0626_1400,2115.166377,60.37,36.4
C10_End_0626_1400,2130.810709,59.807,36.4
C11_End_0626_1400,2181.861676,59.983,36.4
C12_End_0626_1400,2231.476635,60.046,36.4
C13_End_0626_1400,2282.803418,60.069,36.4
C14_End_0626_1400,2214.500414,60.233,36.4
C15_End_0626_1400,2197.796684,60.16,36.4
C16_End_0626_1400,2220.994194,59.917,36.4
Junk3,2111.45117,60.146,36.4
C17_End_0626_1400,1980.421109,60.167,36.4
C18_End_0626_1400,2043.27656,60.069,36.4
C19_End_0626_1400,2270.740718,59.993,36.4
C20_End_0626_1400,2242.143658,60.127,36.4
C21_End_0626_1400,2245.711486,59.827,36.4
C22_End_0626_1400,2252.818463,60.205,36.4
C23_End_0626_1400,2285.178885,60.022,36.4
C24_End_0626_1400,2247.653343,59.87,36.4
Junk4,2222.006691,59.846,36.4
C25_End_0626_1400,2243.803272,60.359,36.4
C26_End_0626_1400,2292.331007,60.201,36.4
C27_End_0626_1400,2298.530986,60.292,36.4
C28_End_0626_1400,2078.106685,60.098,36.4
C29_End_0626_1400,2069.380172,60.318,36.4
C30_End_0626_1400,2045.161302,59.857,36.4
C31_End_0626_1400,2102.909432,59.924,36.4
C32_End_0626_1400,2204.489741,60.163,36.4
Junk5,2270.199728,60.236,36.4
Tank1_Initial_0626_2100,2368.338591,59.977,36.4
Tank2_Initial_0626_2100,2376.517014,59.877,36.4
Tank3_Initial_0626_2100,2382.421234,60.086,36.4
Tank4_Initial_0626_2100,2348.827058,60.182,36.4
Tank5_Initial_0626_2100,2373.146052,59.831,36.4
Tank6_Initial_0626_2100,2322.248517,60.204,36.4
Tank7_Initial_0626_2100,2393.878762,60.06,36.4
Tank8_Initial_0626_2100,2382.340525,60.398,36.4
Junk6,2376.458123,59.858,36.4
Tank9_Initial_0626_2100,2156.369852,60.305,36.4
Tank10_Initial_0626_2100,2239.985054,60.322,36.4
Tank11_Initial_0626_2100,2388.573692,60.127,36.4
Tank12_Initial_0626_2100,2388.875606,59.882,36.4
Tank13_Initial_0626_2100,2380.445606,59.923,36.4
Tank14_Initial_0626_2100,2395.685285,60.353,36.4
Tank15_Initial_0626_2100,2382.436714,60.204,36.4
Tank16_Initial_0626_2100,2363.382042,59.864,36.4
