Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-74.8,NaN,25.4,,,,
0.0600,12,-76.0,0.0050,25.5,,,,
0.1200,33,-67.2,0.0030,25.5,,,,
0.1800,53,-56.0,0.0030,25.5,,,,
0.2400,73,-40.6,0.0030,25.5,,,,
0.3000,93,-19.8,0.0030,25.5,,,,
0.3600,113,-3.2,0.0030,25.5,,,,
0.4200,133,7.9,0.0030,25.5,,,,
0.4800,153,16.9,0.0030,25.5,,,,
0.5400,174,24.6,0.0030,25.5,,,,
0.6000,194,31.5,0.0030,25.5,,,,
0.6600,214,38.1,0.0030,25.5,,,,
0.7200,234,44.2,0.0030,25.5,,,,
0.7800,254,50.0,0.0030,25.5,,,,
0.8400,274,55.9,0.0030,25.5,,,,
0.9000,294,61.5,0.0030,25.5,,,,
0.9600,315,67.4,0.0030,25.5,,,,
1.0200,335,73.5,0.0030,25.5,,,,
1.0800,354,80.1,0.0030,25.4,,,,
1.1400,373,87.5,0.0030,25.4,,,,
1.2000,390,96.5,0.0035,25.4,,,,
1.2600,406,108.4,0.0035,25.4,263.96,2.42,,
1.3200,420,125.4,0.0045,25.4,316.12,2.50,,
1.3800,432,150.6,0.0050,25.4,341.36,2.53,,
1.4400,440,173.0,0.0075,25.4,320.16,2.51,,
1.5000,446,186.8,0.0100,25.4,252.53,2.40,,
1.5300,543,192.0,0.0005,25.4,197.66,2.30,,
1.5600,549,196.4,0.0050,25.4,138.08,2.14,,
1.5900,555,200.0,0.0055,25.4,109.34,2.04,,
1.6200,560,203.3,0.0055,25.4,100.13,2.00,,
1.6500,566,206.2,0.0050,25.4,90.54,1.96,,
1.6800,571,208.8,0.0055,25.4,81.81,1.91,,
1.7100,576,211.2,0.0055,25.4,75.30,1.88,,
1.7400,582,213.3,0.0055,25.4,69.65,1.84,,
1.7700,587,215.3,0.0055,25.4,65.22,1.81,,
1.8000,593,217.2,0.0050,25.4,60.93,1.78,,
1.8300,598,219.1,0.0055,25.4,56.94,1.76,,
1.8600,604,220.7,0.0055,25.4,53.28,1.73,,
1.8900,609,222.2,0.0065,25.4,49.43,1.69,,
1.9200,614,223.6,0.0065,25.4,46.27,1.67,,
1.9500,619,225.0,0.0060,25.4,43.95,1.64,,
1.9800,624,226.3,0.0060,25.4,41.94,1.62,,
2.0100,629,227.5,0.0060,25.4,39.61,1.60,,
2.0400,634,228.7,0.0060,25.4,38.00,1.58,,
2.0700,639,229.8,0.0060,25.4,36.62,1.56,,
2.1000,644,230.8,0.0060,25.4,35.47,1.55,,
2.1300,649,231.9,0.0055,25.4,,,,
2.1600,654,233.0,0.0055,25.4,,,,
2.1900,660,233.9,0.0055,25.4,,,,
2.2200,665,234.8,0.0065,25.4,,,,
2.2500,670,235.7,0.0065,25.4,,,,
6/28/2024 8:21:04 AMSystemInternal,,,,,,,,1/1
