Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-80.6,NaN,25.4,,,,
0.0600,10,-81.8,0.0060,25.4,,,,
0.1200,30,-73.7,0.0030,25.4,,,,
0.1800,50,-63.7,0.0030,25.4,,,,
0.2400,70,-50.1,0.0030,25.4,,,,
0.3000,90,-31.2,0.0030,25.4,,,,
0.3600,110,-9.7,0.0030,25.4,,,,
0.4200,130,3.9,0.0030,25.4,,,,
0.4800,151,14.3,0.0030,25.4,,,,
0.5400,171,22.9,0.0030,25.4,,,,
0.6000,191,30.6,0.0030,25.4,,,,
0.6600,211,37.7,0.0030,25.4,,,,
0.7200,231,44.5,0.0030,25.4,,,,
0.7800,251,51.2,0.0030,25.4,,,,
0.8400,271,57.8,0.0030,25.4,,,,
0.9000,292,64.4,0.0030,25.4,,,,
0.9600,312,71.1,0.0030,25.4,,,,
1.0200,332,78.4,0.0030,25.4,,,,
1.0800,352,86.5,0.0030,25.4,,,,
1.1400,372,96.3,0.0030,25.4,,,,
1.2000,391,109.4,0.0030,25.4,289.12,2.46,,
1.2600,408,129.1,0.0035,25.4,336.76,2.53,,
1.3200,418,156.1,0.0060,25.4,351.54,2.55,,
1.3800,426,176.8,0.0080,25.4,316.64,2.50,,
1.4400,432,189.7,0.0105,25.4,237.61,2.38,,
1.4700,528,194.3,0.0005,25.4,177.53,2.25,,
1.5000,534,198.4,0.0050,25.4,122.19,2.09,,
1.5300,540,201.9,0.0050,25.4,102.65,2.01,,
1.5600,546,205.0,0.0055,25.4,94.99,1.98,,
1.5900,551,207.7,0.0060,25.4,87.33,1.94,,
1.6200,556,210.2,0.0060,25.4,78.91,1.90,,
1.6500,562,212.6,0.0055,25.4,72.30,1.86,,
1.6800,566,214.6,0.0065,25.4,66.65,1.82,,
1.7100,572,216.5,0.0055,25.4,61.90,1.79,,
1.7400,577,218.3,0.0065,25.4,57.74,1.76,,
1.7700,582,220.0,0.0060,25.4,54.22,1.73,,
1.8000,587,221.6,0.0060,25.4,51.47,1.71,,
1.8300,592,223.1,0.0060,25.4,48.28,1.68,,
1.8600,597,224.5,0.0060,25.4,45.61,1.66,,
1.8900,602,225.8,0.0055,25.4,43.28,1.64,,
1.9200,607,227.1,0.0055,25.4,41.47,1.62,,
1.9500,612,228.3,0.0055,25.4,39.81,1.60,,
1.9800,618,229.5,0.0055,25.4,38.33,1.58,,
2.0100,623,230.6,0.0065,25.4,36.67,1.56,,
2.0400,628,231.7,0.0065,25.4,,,,
2.0700,633,232.7,0.0060,25.4,,,,
2.1000,638,233.7,0.0060,25.4,,,,
2.1300,643,234.6,0.0060,25.4,,,,
2.1600,648,235.5,0.0060,25.4,,,,
SystemInternal6/29/2024 8:03:08 AM,,,,,,,,1/1
