Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-30.9,NaN,25.3,,,,
0.0600,4,-49.4,0.0140,25.3,,,,
0.1200,24,-32.9,0.0030,25.3,,,,
0.1800,45,-11.9,0.0030,25.3,,,,
0.2400,65,1.2,0.0030,25.3,,,,
0.3000,85,10.4,0.0030,25.3,,,,
0.3600,105,18.1,0.0030,25.3,,,,
0.4200,125,25.3,0.0030,25.3,,,,
0.4800,145,31.9,0.0030,25.3,,,,
0.5400,165,38.0,0.0030,25.3,,,,
0.6000,185,43.6,0.0030,25.3,,,,
0.6600,206,48.9,0.0030,25.3,,,,
0.7200,226,53.9,0.0030,25.3,,,,
0.7800,246,59.0,0.0030,25.3,,,,
0.8400,266,64.1,0.0030,25.3,,,,
0.9000,284,69.3,0.0035,25.3,,,,
0.9600,303,75.0,0.0030,25.3,,,,
1.0200,321,81.3,0.0035,25.3,,,,
1.0800,340,88.7,0.0030,25.3,,,,
1.1400,356,97.4,0.0035,25.3,,,,
1.2000,374,109.2,0.0035,25.3,260.84,2.42,,
1.2600,389,126.4,0.0040,25.3,312.25,2.49,,
1.3200,400,150.7,0.0050,25.3,336.73,2.53,,
1.3800,408,172.9,0.0070,25.3,316.18,2.50,,
1.4400,415,186.8,0.0090,25.3,249.65,2.40,,
1.4700,511,191.8,0.0005,25.3,196.13,2.29,,
1.5000,517,196.1,0.0045,25.3,139.00,2.14,,
1.5300,523,199.9,0.0050,25.3,109.12,2.04,,
1.5600,529,203.2,0.0050,25.3,99.90,2.00,,
1.5900,534,206.0,0.0060,25.3,91.09,1.96,,
1.6200,540,208.6,0.0055,25.3,82.39,1.92,,
1.6500,545,211.0,0.0060,25.3,75.44,1.88,,
1.6800,550,213.2,0.0055,25.3,69.64,1.84,,
1.7100,556,215.2,0.0055,25.3,64.75,1.81,,
1.7400,561,217.1,0.0065,25.3,59.90,1.78,,
1.7700,566,218.8,0.0060,25.3,55.88,1.75,,
1.8000,571,220.4,0.0060,25.3,52.62,1.72,,
1.8300,576,222.0,0.0060,25.3,49.61,1.70,,
1.8600,581,223.4,0.0055,25.3,46.94,1.67,,
1.8900,586,224.8,0.0055,25.3,44.48,1.65,,
1.9200,592,226.1,0.0055,25.3,42.13,1.62,,
1.9500,597,227.3,0.0065,25.3,39.95,1.60,,
1.9800,602,228.5,0.0065,25.3,38.14,1.58,,
2.0100,607,229.6,0.0060,25.3,36.47,1.56,,
2.0400,612,230.7,0.0060,25.3,35.15,1.55,,
2.0700,617,231.7,0.0060,25.3,,,,
2.1000,622,232.7,0.0060,25.3,,,,
2.1300,627,233.7,0.0060,25.3,,,,
2.1600,632,234.6,0.0055,25.3,,,,
2.1900,638,235.5,0.0055,25.3,,,,
SystemInternal6/28/2024 8:21:18 AM,,,,,,,,1/1
