Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-78.8,NaN,23.3,,,,
0.0600,10,-81.3,0.0060,23.2,,,,
0.1200,30,-72.8,0.0030,23.3,,,,
0.1800,50,-62.6,0.0030,23.3,,,,
0.2400,70,-48.6,0.0030,23.3,,,,
0.3000,90,-28.0,0.0030,23.3,,,,
0.3600,110,-7.7,0.0030,23.4,,,,
0.4200,130,4.7,0.0030,23.4,,,,
0.4800,151,14.6,0.0030,23.4,,,,
0.5400,171,22.8,0.0030,23.4,,,,
0.6000,191,30.3,0.0030,23.4,,,,
0.6600,211,37.3,0.0030,23.5,,,,
0.7200,231,43.9,0.0030,23.5,,,,
0.7800,251,50.6,0.0030,23.5,,,,
0.8400,272,57.0,0.0030,23.5,,,,
0.9000,292,63.4,0.0030,23.6,,,,
0.9600,312,70.0,0.0030,23.6,,,,
1.0200,332,77.2,0.0030,23.6,,,,
1.0800,352,85.2,0.0030,23.6,,,,
1.1400,370,94.6,0.0030,23.6,,,,
1.2000,389,107.0,0.0030,23.6,278.38,2.44,,
1.2600,404,125.4,0.0040,23.7,329.51,2.52,,
1.3200,416,151.9,0.0050,23.7,350.74,2.54,,
1.3800,423,174.0,0.0085,23.7,323.32,2.51,,
1.4400,430,187.5,0.0090,23.7,248.66,2.40,,
1.4700,526,192.4,0.0005,23.8,189.58,2.28,,
1.5000,533,196.5,0.0045,23.8,130.03,2.11,,
1.5300,538,200.2,0.0055,23.8,104.81,2.02,,
1.5600,544,203.3,0.0050,23.8,96.82,1.99,,
1.5900,550,206.1,0.0055,23.8,88.81,1.95,,
1.6200,555,208.7,0.0055,23.8,80.58,1.91,,
1.6500,561,211.0,0.0055,23.8,73.58,1.87,,
1.6800,566,213.1,0.0060,23.8,67.84,1.83,,
1.7100,571,215.1,0.0060,23.8,62.88,1.80,,
1.7400,577,216.9,0.0050,23.8,58.90,1.77,,
1.7700,582,218.6,0.0060,23.8,55.42,1.74,,
1.8000,587,220.2,0.0060,23.8,52.13,1.72,,
1.8300,592,221.8,0.0060,23.8,48.95,1.69,,
1.8600,597,223.2,0.0060,23.8,46.28,1.67,,
1.8900,602,224.5,0.0055,23.8,43.62,1.64,,
1.9200,608,225.8,0.0055,23.8,41.46,1.62,,
1.9500,613,227.0,0.0060,23.8,39.61,1.60,,
1.9800,618,228.2,0.0060,23.8,38.33,1.58,,
2.0100,623,229.3,0.0060,23.8,36.47,1.56,,
2.0400,628,230.4,0.0055,23.8,34.80,1.54,,
2.0700,633,231.4,0.0055,23.8,,,,
2.1000,638,232.4,0.0055,23.9,,,,
2.1300,644,233.3,0.0055,23.9,,,,
2.1600,649,234.3,0.0065,23.9,,,,
2.1900,654,235.2,0.0065,23.9,,,,
SystemInternal6/28/2024 12:21:34 PM,,,,,,,,1/1
