Sample,NPOC (mg/L),TN (mg/L),NPOC (uM),TN (uM)
F1 6/6/24 21:00 ,5.424266667,0.182525,451.6195281,13.03126361
T1 6/6/24 21:00 ,1.283266667,0.162695,106.84362,11.61551258
T2 6/6/24 21:00 ,1.375266667,0.151215,114.5034566,10.79590482
T3 6/6/24 21:00 ,1.488266667,0.165725,123.9117343,11.83183762
T4 6/6/24 21:00 ,1.279266667,0.170525,106.5105836,12.17453076
T5 6/6/24 21:00 ,1.234266667,0.155635,102.7639244,11.11146808
T6 6/6/24 21:00 ,1.078266667,0.168025,89.77550573,11.99604475
T7 6/6/24 21:00 ,1.259266667,0.181825,104.8454017,12.98128753
T8 6/6/24 21:00 ,1.141266667,0.152175,95.02082865,10.86444344
T9 6/6/24 21:00 ,1.674266667,0.170725,139.3979257,12.18880964
T10 6/6/24 21:00 ,1.152266667,0.186425,95.93667868,13.30970179
T11 6/6/24 21:00 ,1.276266667,0.190825,106.2608063,13.62383716
T12 6/6/24 21:00 ,1.177266667,0.170625,98.01815603,12.1816702
T13 6/6/24 21:00 ,1.124266667,0.163315,93.60542405,11.65977711
T14 6/6/24 21:00 ,1.139266667,0.149915,94.85431046,10.70309209
T15 6/6/24 21:00 ,1.230266667,0.280125,102.430888,19.99935745
T16 6/6/24 21:00 ,1.114266667,0.160315,92.77283311,11.44559389
F1 6/11/24 12:00 ,4.375266667,0.168925,364.2807386,12.06029971
F2 6/11/24 12:00 ,1.000266667,0.152775,83.2812964,10.90728009
T1 6/11/24 12:00 ,3.586266667,0.202125,298.5893134,14.43059393
T2 6/11/24 12:00 ,3.993266667,0.162145,332.4757647,11.57624565
T3 6/11/24 12:00 ,1.009266667,0.176125,84.03062825,12.57433942
T4 6/11/24 12:00 ,3.531266667,0.163075,294.0100632,11.64264245
T5 6/11/24 12:00 ,1.766266667,0.311625,147.0577624,22.24828118
T6 6/11/24 12:00 ,1.554266667,0.327825,129.4068345,23.40487053
T7 6/11/24 12:00 ,1.420266667,0.328425,118.2501159,23.44770717
T8 6/11/24 12:00 ,1.675266667,0.394025,139.4811848,28.13118008
T9 6/11/24 12:00 ,2.313266667,0.430825,192.6004868,30.75849415
T10 6/11/24 12:00 ,1.560266667,0.303125,129.906389,21.64142874
T11 6/11/24 12:00 ,2.383266667,0.317825,198.4286234,22.69092649
T12 6/11/24 12:00 ,1.437266667,0.262525,119.6655205,18.74281594
T13 6/11/24 12:00 ,1.479266667,0.262825,123.1624024,18.76423426
T14 6/11/24 12:00 ,2.062266667,0.334725,171.7024542,23.89749191
T15 6/11/24 12:00 ,1.246266667,0.252825,103.7630335,18.05029022
T16 6/11/24 12:00 ,1.307266667,0.263725,108.8418382,18.82848922
F1 6/11/24 21:00 ,1.065266667,0.409625,88.69313751,29.24493278
F2 6/11/24 21:00 ,1.312266667,0.422325,109.2581337,30.15164171
T1 6/11/24 21:00 ,1.311266667,0.418925,109.1748746,29.90890074
T2 6/11/24 21:00 ,4.183266667,0.171825,348.2949925,12.26734349
T3 6/11/24 21:00 ,1.717266667,0.384525,142.9780668,27.45293324
T4 6/11/24 21:00 ,1.650266667,0.434025,137.3997075,30.98695624
T5 6/11/24 21:00 ,1.291266667,0.272225,107.5096927,19.43534166
T6 6/11/24 21:00 ,0.817466667,0.160155,68.06153402,11.43417079
T7 6/11/24 21:00 ,1.081266667,0.380225,90.02528301,27.1459373
T8 6/11/24 21:00 ,4.280266667,0.174925,356.3711246,12.48866614
T9 6/11/24 21:00 ,0.941566667,0.228025,78.39398758,16.279709
T10 6/11/24 21:00 ,0.906066667,0.194825,75.43828975,13.90941478
T11 6/11/24 21:00 ,2.446608333,0.461575,203.7023931,32.95387208
T12 6/11/24 21:00 ,1.132608333,0.410075,94.29994366,29.27706026
T13 6/11/24 21:00 ,1.680608333,0.490175,139.9259272,34.99575203
T14 6/11/24 21:00 ,1.096608333,0.463675,91.30261628,33.10380032
T15 6/11/24 21:00 ,2.825608333,0.449375,235.2575898,32.08286035
T16 6/11/24 21:00 ,1.318608333,0.374775,109.7861351,26.7568378
IN_1 6/16/24 12:00,1.281608333,0.420775,106.7055487,30.04098039
IN_2 6/16/24 12:00 ,1.076608333,0.379875,89.6374344,27.12094926
T7 6/16/24 12:00 ,1.070608333,0.345775,89.13787983,24.68640008
T8 6/16/24 12:00 ,2.398608333,0.536275,199.7059566,38.28703406
T9 6/16/24 12:00 ,1.160608333,0.370875,96.63119829,26.47839962
T10 6/16/24 12:00 ,1.000608333,0.386375,83.30974326,27.58501289
T11 6/16/24 12:00 ,1.823608333,0.303675,151.8319776,21.68069567
T12 6/16/24 12:00 ,1.709608333,0.339075,142.3404409,24.20805757
T13 6/16/24 12:00 ,1.113608333,0.350275,92.71802088,25.0076749
T14 6/16/24 12:00 ,1.199608333,0.381975,99.87830296,27.27087751
T15 6/16/24 12:00 ,1.086608333,0.415975,90.47002534,29.69828725
T16 6/16/24 12:00 ,1.779608333,0.440775,148.1685775,31.46886847
IN_1 6/16/24 21:00,0.940008333,0.274675,78.26424216,19.61025795
IN_2 6/16/24 21:00 ,0.922808333,0.301675,76.83218575,21.53790686
T1A 6/16/24 21:00 ,1.276608333,0.356775,106.2892532,25.47173853
T2A 6/16/24 21:00 ,1.097608333,0.314875,91.38587537,22.48031299
T3A 6/16/24 21:00 ,1.111608333,0.309475,92.55150269,22.09478321
T4A 6/16/24 21:00 ,1.290608333,0.354475,107.4548805,25.3075314
T5A 6/16/24 21:00 ,1.134608333,0.300975,94.46646185,21.48793078
T6A 6/16/24 21:00 ,0.892408333,0.218175,74.30110929,15.57647412
T1B 6/16/24 21:00 ,1.431608333,0.223875,119.1944128,15.98342222
T2B 6/16/24 21:00 ,2.166608333,0.317075,180.3898468,22.63738068
T3B 6/16/24 21:00 ,1.897608333,0.362875,157.9931506,25.90724439
T4B 6/16/24 21:00 ,1.433608333,0.239575,119.3609309,17.10431436
T5B 6/16/24 21:00 ,0.889608333,0.287175,74.06798383,20.502688
T6B 6/16/24 21:00 ,0.974608333,0.314375,81.14500681,22.44461579
T7 6/16/24 21:00,0.935008333,0.186075,77.84794669,13.28471374
T8 6/16/24 21:00 ,0.883608333,0.228475,73.56842926,16.31183648
T9 6/16/24 21:00 ,1.379608333,0.253875,114.8649399,18.12525434
T10 6/16/24 21:00 ,1.132608333,0.256475,94.29994366,18.31087979
T11 6/16/24 21:00 ,0.848608333,0.229075,70.65436097,16.35467312
T12 6/16/24 21:00 ,0.935908333,0.199675,77.92287988,14.25567764
T13 6/16/24 21:00 ,0.922508333,0.237175,76.80720802,16.93296779
T14 6/16/24 21:00 ,0.991608333,0.233975,82.56041141,16.7045057
T15 6/11/24 21:00 ,0.958608333,0.262075,79.81286131,18.71068846
T16 6/11/24 21:00 ,0.895208333,0.203175,74.53423475,14.50555805
IN_1 6/20/24 9PM,1.474608333,0.515875,122.7745538,36.83058822
IN_2 6/20/24 9PM ,1.759608333,0.219575,146.5033956,15.67642628
T1 6/20/24 9PM ,1.775608333,0.398375,147.8355411,28.44174574
T2 6/20/24 9PM ,2.359608333,0.452175,196.458852,32.28276468
T3 6/20/24 9PM ,1.157608333,0.556875,96.38142101,39.75775879
T4 6/20/24 9PM ,2.018608333,0.460375,168.0675009,32.86819879
T5 6/20/24 9PM ,0.907108333,0.461875,75.52501797,32.9752904
T6 6/20/24 9PM ,0.947208333,0.429175,78.86370764,30.64069338
T7 6/20/24 9PM ,1.023683333,0.443083333,85.23094685,31.63367055
T8 6/20/24 9PM ,1.009183333,0.297083333,84.02368999,21.21008755
T9 6/20/24 9PM ,0.913983333,0.352083333,76.09742424,25.13677978
T10 6/20/24 9PM ,1.015683333,0.388783333,84.5648741,27.75695441
T11 6/20/24 9PM,1.799683333,0.431183333,149.8400038,30.78407714
T12 6/20/24 9PM ,2.479683333,0.525783333,206.4561877,37.53798777
T13 6/20/24 9PM ,1.040683333,0.394383333,86.64635145,28.15676307
T14 6/20/24 9PM ,1.652683333,0.636583333,137.600917,45.44848775
T15 6/20/24 9PM ,1.115683333,0.251683333,92.8907835,17.96878161
T16 6/20/24 9PM ,1.133683333,0.351583333,94.38944719,25.10108258
IN_1 6/20/24 NOON ,1.255683333,0.547683333,104.5470567,39.10152522
IN_2 6/20/24 NOON ,1.189683333,0.153203333,99.05195645,10.93786069
T1 6/20/24 NOON ,1.495683333,0.180983333,124.5292392,12.92119724
T2 6/20/24 NOON ,1.165683333,0.192783333,97.05373819,13.76365121
T3 6/20/24 NOON ,1.231683333,0.245883333,102.5488384,17.55469406
T4 6/20/24 NOON ,2.304683333,0.247583333,191.8858462,17.67606455
T5 6/20/24 NOON ,1.091683333,0.244983333,90.89256524,17.4904391
T6 6/20/24 NOON ,1.264683333,0.417383333,105.2963885,29.79883437
T7 6/20/24 NOON ,2.173683333,0.591783333,180.9789049,42.25001844
T8 6/20/24 NOON ,1.221683333,0.497783333,101.7162475,35.53894446
T9 6/20/24 NOON ,1.099633333,0.247458333,91.55447504,17.66714025
T10 6/20/24 NOON ,1.248633333,0.244158333,103.96008,17.43153872
T11 6/20/24 NOON ,1.346633333,0.255058333,112.1194712,18.20973772
T12 6/20/24 NOON ,1.217633333,0.383758333,101.3790481,27.39819753
T13 6/20/24 NOON,0.934833333,0.339158333,77.83337635,24.21400711
T14 6/20/24 NOON ,1.372633333,0.257458333,114.2842077,18.38108429
T15 6/20/24 NOON ,4.513633333,0.657958333,375.8010219,46.97454314
T16 6/20/24 NOON ,1.067633333,0.500058333,88.89018403,35.70136673
C1 6/26/24 14:00 ,1.911633333,0.393358333,159.1608593,28.08358381
C2 6/26/24 14:00 ,1.519633333,0.786758333,126.5232945,56.17014238
C3 6/26/24 14:00 ,2.213633333,0.434058333,184.3051057,30.98933606
C4 6/26/24 14:00 ,1.563633333,0.940258333,130.1866946,67.12918341
C5 6/26/24 14:00 ,1.192633333,0.624358333,99.29757078,44.57569116
C6 6/26/24 14:00 ,1.184633333,0.937658333,98.63149803,66.94355796
C7 6/26/24 14:00 ,1.896633333,0.662658333,157.9119729,47.31009683
C8 6/26/24 14:00,1.102633333,0.335658333,91.80425232,23.96412669
C9 6/26/24 14:00 ,1.161633333,0.457158333,96.71653886,32.63854679
C10 6/26/24 14:00 ,1.224633333,0.665858333,101.9618618,47.53855893
C11 6/26/24 14:00 ,1.073633333,0.528358333,89.38973859,37.72182836
C12 6/26/24 14:00 ,1.137633333,0.452558333,94.71832061,32.31013253
C13 6/26/24 14:00 ,2.105633333,0.627758333,175.3131236,44.81843213
